mnemonic,number,id
ACCT,531,2863
ACCT,533,2864
AIRS,120,2866
AIRS,220,2867
AIRS,320,2868
AIRS,420,2869
ALAR,652,2870
ALAR,702,2871
ALAR,802,2872
ALAR,806,2873
ALAR,808,2874
AM,607,2875
AAS,401,2850
BIOL,801,3278
BIOL,804,3279
BIOL,807,3280
BIOL,808,3281
BIOL,887,3282
BIOL,996,3313
BIOL,997,3314
BIOL,902,3285
BIOL,904,3286
BIOL,910,3287
BIOL,912,3288
BIOL,916,3289
BIOL,920,3290
BIOL,922,3291
BIOL,924,3292
BIOL,926,3293
BIOL,930,3294
BIOL,934,3295
BIOL,938,3296
BIOL,942,3297
BIOL,944,3298
BIOL,946,3299
BIOL,948,3300
BIOL,950,3301
BIOL,958,3302
BIOL,962,3303
BIOL,964,3304
BIOL,966,3305
BIOL,976,3306
BIOL,978,3307
BIOL,980,3308
BIOL,982,3309
BIOP,898,3350
BIOL,983,3310
BIOL,985,3311
BIOL,992,3312
BIOL,999,3315
BIOM,693,3333
BIOM,695,3334
BIOM,202,3316
BIOM,204,3317
BIOM,315,3318
BIOM,322,3319
BIOM,464,3327
BIOM,324,3320
BIOM,345,3321
BIOP,995,3351
BIOM,390,3322
BIOM,406,3323
BIOM,411,3324
BIOM,417,3325
BIOM,454,3326
BIOM,496,3328
BIOM,499,3329
BIOM,602,3330
BIOM,604,3331
BIOM,611,3332
BIOM,793,3337
BIOP,997,3352
BIOM,895,3338
BIOM,704,3335
BIOM,706,3336
BIOM,897,3340
BIOM,898,3341
BIOM,896,3339
BIOM,997,3342
BIOM,999,3343
BIOP,897,3349
BIOP,999,3353
CE,231,3361
BIOP,506,3344
BIOP,751,3345
BIOP,801,3346
BIOP,805,3347
BIOP,812,3348
BUS,342,3354
BUS,502,3355
CHEM,722,3456
CHEM,382,3438
CHEM,392,3439
CHEM,222,3432
CHEM,241,3433
CHEM,394,3440
CHEM,396,3442
CHEM,442,3444
CHEM,432,3443
CHEM,744,3457
CHEM,495,3447
CHEM,834,3458
CHEM,862,3459
CHEM,452,3445
CHEM,492,3446
CHEM,496,3448
CHEM,702,3454
CHEM,897,3460
CHEM,996,3488
CHEM,908,3462
CHEM,911,3463
CHEM,916,3464
CHEM,922,3465
CHEM,924,3466
CHEM,926,3467
CHEM,928,3468
CHEM,942,3469
CHEM,946,3470
CHEM,949,3471
CHEM,952,3472
CHEM,956,3473
CHEM,960,3474
CHEM,962,3475
CHEM,964,3476
CHEM,966,3477
CHEM,968,3478
CHEM,971,3479
CHEM,974,3480
CHEM,976,3481
CHEM,978,3482
CHEM,980,3483
CHEM,982,3484
CHEM,984,3485
CHEM,986,3486
CHEM,987,3487
CHEM,997,3489
CHEM,999,3490
CHEM,342,3436
COMM,483,3559
COMM,420,3538
CHIN,402,3495
COMM,304,3518
CHIN,502,3499
CHIN,403,3496
CHIN,406,3497
CHIN,494,3498
CHIN,702,3500
CLAS,204,3505
CHIN,703,3501
CHIN,802,3502
CHTR,122,3503
COMM,423,3539
COMM,425,3540
CLAS,202,3504
COMM,487,3560
COMM,451,3541
COMM,305,3519
COMM,180,3512
CLAS,304,3506
CLAS,313,3507
CLAS,496,3508
COGS,396,3509
COGS,497,3510
COMM,453,3542
COMM,454,3543
COMM,488,3561
COMM,306,3520
COMM,455,3544
COMM,456,3545
COMM,312,3521
COLA,101,3511
COMM,457,3546
COMM,341,3522
COMM,342,3523
COMM,351,3524
CS,201,3580
COMM,201,3514
COMM,200,3513
COMM,353,3525
COMM,499,3562
COMM,273,3517
COMM,361,3526
COMM,202,3515
COMM,260,3516
COMM,381,3534
COMM,366,3527
COMM,462,3548
COMM,464,3549
COMM,466,3550
COMM,372,3528
COMM,373,3529
COMM,374,3530
COMM,375,3531
COMM,379,3532
COMM,380,3533
COMM,384,3536
COMM,468,3551
COMM,383,3535
COMM,460,3547
COMM,385,3537
CPLT,305,3570
EDLF,716,3943
COMM,469,3552
COMM,521,3563
COMM,472,3553
COMM,473,3554
COMM,475,3555
COMM,476,3556
COMM,478,3557
COMM,479,3558
COMM,531,3564
CPLT,342,3571
COMM,546,3565
COMM,587,3566
CPLT,346,3572
CPLT,351,3573
CPLT,202,3567
CPLT,247,3568
CPLT,300,3569
CPLT,482,3574
CPLT,492,3575
CPLT,498,3576
CS,110,3578
CS,150,3579
CS,290,3584
CS,333,3586
CS,302,3585
CS,101,3577
CS,202,3581
CS,216,3582
CS,230,3583
CS,340,3587
CS,414,3588
CS,416,3589
CS,425,3590
CS,433,3591
CS,451,3592
CS,457,3593
CS,493,3594
CS,495,3595
CS,651,3596
CS,656,3597
CS,661,3598
CS,671,3599
CHIN,302,3494
CS,997,3609
CS,999,3610
DRAM,101,3611
DRAM,102,3612
DRAM,201,3613
DRAM,361,3644
DRAM,364,3645
DRAM,365,3646
DRAM,371,3647
DRAM,703,3667
DRAM,202,3614
DRAM,204,3615
DRAM,221,3618
DRAM,385,3648
DRAM,411,3649
DRAM,213,3617
DRAM,223,3619
DRAM,421,3650
DRAM,431,3651
DRAM,432,3652
DRAM,307,3635
DRAM,225,3620
DRAM,231,3621
DRAM,714,3668
DRAM,450,3653
DRAM,233,3622
DRAM,491,3654
DRAM,718,3669
DRAM,243,3623
DRAM,245,3624
DRAM,246,3625
DRAM,248,3626
DRAM,250,3627
DRAM,262,3628
DRAM,263,3629
DRAM,498,3660
DRAM,281,3630
DRAM,283,3631
DRAM,292,3632
DRAM,304,3633
DRAM,305,3634
DRAM,308,3636
DRAM,321,3637
DRAM,332,3638
DRAM,341,3639
DRAM,344,3640
DRAM,351,3641
DRAM,352,3642
DRAM,353,3643
DRAM,719,3670
DRAM,897,3686
DRAM,495,3657
DRAM,496,3658
DRAM,728,3671
DRAM,497,3659
DRAM,734,3672
DRAM,736,3673
DRAM,738,3674
DRAM,898,3687
DRAM,739,3675
DRAM,499,3661
DRAM,500,3662
DRAM,503,3663
DRAM,507,3664
DRAM,545,3665
DRAM,594,3666
DRAM,740,3676
DRAM,742,3677
DRAM,744,3678
DRAM,746,3679
DRAM,747,3680
ECE,303,3697
DRAM,750,3681
DRAM,764,3682
DRAM,766,3683
DRAM,803,3684
DRAM,815,3685
ECE,407,3702
DRAM,969,3688
EALC,497,3689
EAST,101,3690
EAST,192,3691
EAST,211,3692
EAST,492,3693
ECE,200,3694
ECE,408,3703
ECE,333,3700
ECE,363,3701
ECE,204,3695
ECE,310,3698
ECE,324,3699
ECE,230,3696
ECE,412,3704
ECE,415,3705
ECE,436,3706
ECE,457,3707
ECE,473,3708
ECE,482,3709
ECE,485,3710
ECE,556,3711
ECE,564,3712
ECE,587,3713
ECE,614,3714
CS,897,3607
CS,898,3608
DRAM,208,3616
DRAM,492,3655
ECE,642,3715
ECON,302,3741
ECE,652,3716
ECE,666,3717
ECE,673,3718
ECE,682,3719
ECE,685,3720
ECE,693,3723
ECON,898,3783
ECON,451,3759
ECON,304,3742
ECON,305,3743
ECON,456,3760
ECE,687,3722
ECE,695,3724
ECE,793,3729
ECON,371,3744
ECON,996,3784
ECON,472,3761
ECE,712,3725
ECE,723,3726
ECE,726,3727
ECE,736,3728
ECE,895,3731
ECE,887,3730
ECE,897,3732
ECE,898,3733
ECE,997,3735
ECE,996,3734
ECE,999,3736
ECON,372,3745
ECON,481,3762
ECON,401,3746
ECON,402,3747
ECON,488,3763
ECON,489,3764
ECON,415,3748
ECON,495,3765
ECON,416,3749
ECON,202,3738
ECON,207,3739
ECON,418,3750
ECON,419,3751
EDHS,359,3794
ECON,897,3782
ECON,420,3752
ECON,997,3785
ECON,510,3767
ECON,440,3757
ECON,423,3754
ECON,595,3768
ECON,431,3755
ECON,703,3769
ECON,301,3740
ECON,998,3786
ECON,704,3770
ECON,437,3756
ECON,772,3771
ECON,816,3772
ECON,443,3758
ECON,818,3773
ECON,999,3787
ECON,822,3774
ECON,823,3775
ECON,832,3776
ECON,835,3777
ECON,851,3778
ECON,872,3779
ECON,894,3780
ECON,896,3781
EDHS,445,3795
EDHS,502,3802
EDHS,289,3788
EDHS,341,3789
EDHS,344,3790
EDHS,351,3791
EDHS,354,3792
EDHS,358,3793
EDHS,450,3797
EDHS,451,3798
EDHS,481,3799
EDHS,493,3800
EDHS,497,3801
EDHS,505,3803
EDHS,508,3804
EDHS,544,3805
EDHS,550,3806
EDHS,551,3807
EDHS,552,3808
EDHS,554,3809
EDHS,589,3810
EDHS,722,3811
EDHS,724,3812
EDHS,727,3813
EDHS,730,3814
EDHS,743,3815
EDHS,744,3816
EDHS,761,3818
EDHS,763,3819
EDHS,793,3820
ECE,686,3721
ECON,201,3737
ECON,421,3753
ECON,496,3766
EDHS,446,3796
EDHS,750,3817
EDHS,803,3821
EDHS,810,3822
EDHS,811,3823
EDHS,813,3824
EDHS,817,3826
EDHS,825,3827
EDHS,829,3828
EDHS,834,3829
EDIS,534,3881
EDHS,838,3830
EDHS,839,3831
EDHS,841,3832
EDHS,842,3833
EDHS,846,3834
EDIS,540,3882
EDIS,388,3861
EDHS,850,3835
EDHS,853,3836
EDHS,867,3837
EDHS,869,3838
EDIS,541,3883
EDHS,873,3840
EDHS,875,3841
EDHS,893,3842
EDIS,546,3884
EDIS,488,3862
EDHS,997,3853
EDHS,909,3844
EDHS,921,3845
EDHS,929,3846
EDHS,939,3847
EDHS,950,3848
EDHS,974,3849
EDHS,976,3850
EDHS,977,3851
EDHS,995,3852
EDIS,493,3863
EDIS,547,3885
EDIS,500,3864
EDHS,999,3854
EDIS,201,3855
EDIS,503,3866
EDIS,288,3856
EDIS,289,3857
EDIS,549,3886
EDIS,504,3867
EDIS,301,3858
EDIS,365,3860
EDIS,505,3868
EDIS,510,3870
EDIS,508,3869
EDIS,588,3893
EDIS,511,3871
EDIS,512,3872
EDIS,551,3887
EDIS,521,3876
EDIS,514,3873
EDIS,515,3874
EDIS,517,3875
EDIS,557,3888
EDIS,522,3877
EDIS,523,3878
EDIS,561,3889
EDIS,531,3879
EDIS,532,3880
EDIS,571,3890
EDIS,705,3897
EDIS,573,3891
EDIS,711,3898
EDIS,713,3899
EDIS,574,3892
EDIS,731,3900
EDIS,793,3908
EDIS,775,3904
EDIS,882,3910
EDIS,785,3905
EDIS,591,3896
EDIS,771,3902
EDIS,891,3913
EDIS,789,3907
EDIS,772,3903
EDIS,788,3906
EDIS,885,3911
EDIS,889,3912
EDIS,925,3915
EDIS,945,3917
EDIS,974,3918
EDIS,996,3919
EDIS,997,3920
EDLF,345,3926
EDLF,101,3922
EDLF,102,3923
EDLF,315,3924
EDLF,316,3925
EDHS,815,3825
EDHS,870,3839
EDHS,897,3843
EDIS,302,3859
EDIS,502,3865
EDIS,589,3894
EDIS,590,3895
EDIS,809,3909
EDIS,897,3914
EDLF,355,3927
EDLF,586,3935
EDLF,730,3952
EDLF,505,3929
EDLF,545,3930
EDLF,549,3931
EDLF,831,3978
EDLF,555,3932
EDLF,565,3933
EDLF,571,3934
EDLF,834,3979
EDLF,739,3954
EDLF,753,3956
EDLF,835,3980
EDLF,836,3981
EDLF,760,3957
EDLF,761,3958
EDLF,762,3959
EDLF,763,3960
EDLF,770,3962
EDLF,844,3982
EDLF,776,3963
EDLF,777,3964
EDLF,845,3983
EDLF,850,3984
EDLF,878,3993
EDLF,778,3965
EDLF,782,3966
EDLF,858,3986
EDLF,786,3968
EDLF,787,3969
EDLF,593,3937
EDLF,702,3938
EDLF,706,3939
EDLF,710,3940
EDLF,711,3941
EDLF,715,3942
EDLF,789,3970
EDLF,720,3947
EDLF,717,3944
EDLF,718,3945
EDLF,719,3946
EDLF,721,3948
EDLF,731,3953
EDLF,725,3949
EDLF,726,3950
EDLF,729,3951
EDLF,862,3987
EDLF,793,3971
EDLF,794,3972
EDLF,799,3973
EDLF,801,3974
EDLF,803,3975
EDLF,810,3976
EDLF,866,3988
EDLF,830,3977
EDLF,868,3989
EDLF,871,3990
EDLF,875,3991
EDLF,876,3992
EDLF,881,3994
EDLF,999,4006
EDLF,894,3996
EDLF,895,3997
ENAM,314,4007
EDLF,897,3998
EDLF,898,3999
ENAM,315,4008
EDLF,900,4000
EDLF,981,4001
EDLF,996,4004
EDLF,995,4003
EDLF,997,4005
ENAM,317,4009
ENGL,494,4027
ENAM,482,4013
ENAM,991,4017
ENAM,854,4014
ENAM,330,4011
ENAM,382,4012
ENAM,882,4015
ENAM,982,4016
ENCR,300,4018
ENCR,965,4019
ENEC,384,4021
ENCR,982,4020
ENEC,482,4022
ENEC,892,4023
ENEC,991,4024
ENGL,382,4025
ENGL,492,4026
ENGL,895,4028
ENGL,897,4029
ENGL,995,4030
EDLF,740,3955
EDLF,765,3961
EDLF,783,3967
EDLF,852,3985
EDLF,893,3995
ENAM,322,4010
ENGR,302,4040
ENMD,813,4073
ENGR,307,4041
ENGR,400,4042
ENGR,402,4043
ENGR,450,4044
ENGR,488,4045
ENMD,982,4074
ENMD,991,4075
ENGR,495,4046
ENNC,311,4076
ENNC,325,4077
ENGR,499,4047
ENGR,592,4048
ENGR,600,4049
ENLS,303,4050
ENSP,250,4098
ENLT,214,4052
ENNC,482,4078
ENSP,106,4095
ENSP,267,4099
ENNC,812,4079
ENLT,223,4053
ENNC,883,4080
ENLT,224,4054
ENNC,991,4081
ENPG,550,4082
ENLT,226,4055
ENPG,880,4083
ENLT,247,4056
ENLT,250,4057
ENPG,885,4084
ENLT,255,4058
ENMC,311,4059
ENMC,316,4060
ENMC,317,4061
ENMC,341,4062
ENMC,356,4063
ENMC,360,4064
ENMC,372,4065
ENMC,382,4066
ENPW,282,4085
ENMC,482,4067
ENMC,484,4068
ENPW,482,4086
ENMC,982,4069
ENMC,991,4070
ENMD,326,4071
ENMD,482,4072
ENPW,492,4087
ENSP,281,4100
ENRN,311,4088
ENSP,315,4101
ENSP,317,4102
ENSP,367,4103
ENSP,381,4104
ENSP,382,4105
ENSP,387,4106
ENRN,322,4089
ENRN,340,4090
ENRN,482,4091
ENRN,813,4092
ENRN,832,4093
ENRN,982,4094
ENSP,419,4107
ENWR,270,4126
ENSP,220,4096
ENSP,223,4097
ENSP,882,4114
ENWR,105,4115
ENWR,357,4129
ENSP,482,4108
ENWR,250,4125
ENSP,545,4109
ENSP,552,4110
ENWR,215,4121
ENSP,583,4111
ENSP,592,4112
ENSP,648,4113
ENWR,216,4122
ENWR,110,4119
ENWR,221,4123
ENWR,106,4116
ENWR,107,4117
ENWR,108,4118
ENWR,482,4131
ENWR,210,4120
EP,793,4145
ENWR,230,4124
ENWR,332,4127
ENWR,484,4132
ENWR,352,4128
ENWR,380,4130
ENWR,492,4133
ENWR,496,4134
ENWR,532,4135
ENWR,552,4136
ENWR,732,4137
ENWR,752,4138
ENWR,801,4139
ENWR,895,4140
ENWR,991,4141
EP,700,4142
EP,733,4143
EP,734,4144
ARTH,280,6077
ENLT,201,4051
EP,898,4147
EP,997,4148
EP,999,4149
ETP,387,4150
ETP,401,4151
EVAT,793,4152
EVSC,606,4193
EVAT,796,4153
EVSC,710,4194
EVEC,522,4154
EVSC,791,4195
EVEC,523,4155
EVSC,350,4177
EVEC,525,4156
EVEC,793,4157
EVGE,781,4158
EVGE,793,4159
EVGE,796,4160
EVSC,793,4196
EVHY,544,4161
EVHY,746,4162
EVHY,793,4163
EVSC,102,4165
EVSC,415,4181
FREN,346,4217
EVSC,376,4179
EVSC,215,4172
EVSC,105,4166
EVSC,410,4180
EVSC,107,4167
EVSC,140,4168
EVSC,145,4169
EVSC,150,4170
EVSC,494,4187
EVSC,201,4171
EVSC,362,4178
EVSC,225,4173
EVSC,465,4182
EVSC,468,4183
EVSC,470,4184
EVSC,280,4174
FREN,893,4240
FREN,494,4226
EVSC,485,4185
EVSC,486,4186
EVSC,320,4175
FREN,202,4207
FREN,353,4218
EVSC,796,4197
EVSC,496,4188
EVSC,340,4176
EVSC,498,4189
EVSC,898,4199
EVSC,994,4200
EVSC,999,4202
FREN,101,4203
FREN,232,4208
EVSC,515,4191
FREN,102,4204
FREN,402,4219
EVSC,503,4190
EVSC,562,4192
FREN,406,4220
FREN,105,4205
EVSC,897,4198
FREN,331,4209
FREN,498,4227
FREN,411,4221
FREN,332,4210
FREN,333,4211
FREN,435,4222
FREN,499,4228
FREN,341,4213
FREN,342,4214
FREN,438,4223
FREN,343,4215
FREN,444,4224
FREN,485,4225
FREN,511,4229
FREN,540,4230
FREN,544,4231
FREN,545,4232
FREN,571,4233
FREN,580,4234
FREN,810,4235
FREN,840,4236
FREN,844,4237
FREN,870,4238
FREN,880,4239
FREN,894,4241
FREN,898,4244
FREN,897,4243
FREN,999,4246
FREN,997,4245
GBUS,723,4249
FRTR,221,4247
GBUS,721,4248
GBUS,725,4250
EP,897,4146
GBUS,734,4251
EVSC,101,4164
FREN,201,4206
FREN,334,4212
FREN,345,4216
FREN,896,4242
GBUS,735,4252
GBUS,815,4271
GBUS,816,4272
GCOM,731,4353
GCOM,732,4354
GCOM,737,4355
GCOM,740,4356
GCOM,742,4357
GCOM,752,4358
GCOM,753,4359
EDIS,8980,7771
GBUS,820,4273
GBUS,821,4274
GBUS,822,4275
GBUS,823,4276
GBUS,824,4277
GBUS,825,4278
GBUS,8450,4301
GBUS,827,4279
LAW,9307,14117
ASTR,5640,9450
GBUS,8457,4304
MAE,8999,1874
PETR,3340,11075
GBUS,833,4284
PSYC,5720,10834
GBUS,8471,4308
GBUS,884,4319
GBUS,843,4294
GBUS,8449,4299
GBUS,845,4300
GBUS,8455,4303
GBUS,849,4309
GBUS,850,4310
GBUS,851,4311
GBUS,855,4312
GBUS,861,4313
GBUS,863,4314
GBUS,893,4325
GBUS,875,4317
GBUS,8953,4326
GBUS,8899,4324
GBUS,887,4320
GBUS,8896,4321
GBUS,8897,4322
GBUS,8898,4323
GBUS,895,4328
GBUS,899,4332
GBUS,8954,4327
GBUS,897,4329
GBUS,8993,4330
GBUS,8994,4331
GBUS,965,4333
GBUS,970,4334
GBUS,9851,4335
GBUS,996,4336
GBUS,729,4337
GBUS,731,4338
GBUS,753,4339
GBUS,782,4341
GBUS,842,4290
GBUS,780,4340
GBUS,784,4342
GBUS,790,4343
GBUS,828,4344
GBUS,857,4345
GBUS,883,4318
GCNL,502,4346
GCNL,503,4347
GCNL,512,4348
GERM,112,4383
GCNL,513,4349
GERM,897,4408
GCNL,518,4350
GCOM,708,4351
GCOM,720,4352
GCOM,760,4360
GCOM,761,4361
GCOM,771,4362
GCOM,772,4363
GCOM,773,4364
GCOM,774,4365
GCOM,775,4366
GCOM,776,4367
GCOM,777,4368
GERM,999,4411
GCOM,778,4369
GCOM,784,4371
GCOM,785,4372
GCOM,786,4373
GCOM,787,4374
GERM,997,4410
GCOM,788,4375
GCOM,789,4376
GCOM,790,4377
GCOM,799,4378
GCOM,895,4379
GCOM,897,4380
GERM,596,4401
GERM,300,4386
GERM,301,4387
GERM,312,4388
GERM,102,4382
GERM,322,4389
GERM,323,4390
GERM,327,4391
GNUR,550,4425
GERM,329,4392
GERM,333,4393
GERM,356,4394
GERM,460,4395
GERM,470,4396
GERM,490,4397
GERM,491,4398
GERM,505,4399
GERM,510,4400
GERM,898,4409
GERM,742,4402
GERM,746,4403
GERM,881,4404
GERM,882,4405
GERM,894,4406
GERM,896,4407
GETR,247,4412
GNUR,586,4432
GETR,401,4421
GETR,275,4413
GETR,342,4414
GNUR,551,4426
GETR,348,4416
GETR,350,4417
GNUR,515,4422
GETR,351,4418
GETR,374,4419
GETR,393,4420
GNUR,523,4423
GNUR,546,4424
GNUR,585,4431
GNUR,571,4428
GNUR,590,4434
GNUR,570,4427
GNUR,587,4433
GNUR,575,4429
GNUR,580,4430
GNUR,723,4437
GNUR,724,4438
GNUR,594,4435
GNUR,722,4436
GNUR,765,4442
GNUR,745,4439
GNUR,757,4440
GNUR,762,4441
GNUR,776,4444
GNUR,773,4443
GNUR,782,4445
GCOM,781,4370
GERM,101,4381
GERM,201,4384
GERM,202,4385
GNUR,784,4446
GNUR,850,4453
GNUR,800,4449
GNUR,820,4450
HIEA,322,4490
GNUR,822,4451
GNUR,840,4452
HIEA,403,4491
GNUR,973,4459
GNUR,862,4454
GNUR,873,4455
GNUR,875,4456
GNUR,895,4457
GNUR,972,4458
GNUR,981,4460
GNUR,982,4461
GNUR,990,4462
GNUR,998,4464
GREE,999,4476
HIEA,404,4492
HIEA,802,4493
GREE,102,4466
GREE,202,4467
HIEU,507,4516
GREE,224,4468
GREE,302,4469
GREE,502,4470
GREE,516,4471
GREE,595,4472
GREE,897,4473
GREE,898,4474
HBIO,496,4478
HBIO,498,4479
HEBR,102,4480
HEBR,202,4481
HIEU,517,4517
HEBR,302,4482
HEBR,494,4483
HIME,355,4535
HIEU,314,4501
HIEU,334,4502
HIEA,210,4489
HIAF,401,4485
HIAF,404,4486
HIEA,100,4487
HIEA,201,4488
HIEU,202,4494
HIEU,552,4518
HIEU,337,4503
HIEU,349,4504
HIEU,350,4505
HIEU,204,4495
HIEU,701,4519
HIEU,703,4520
HIEU,210,4496
HIEU,757,4521
HIEU,354,4506
HIEU,355,4507
HIEU,212,4497
HIEU,367,4508
HIEU,823,4522
HIEU,375,4509
HIEU,216,4498
HIEU,301,4499
HIEU,381,4510
HIEU,312,4500
HILA,202,4523
HIEU,385,4511
HIEU,401,4512
HIEU,403,4513
HIEU,404,4514
HIEU,506,4515
HILA,211,4524
HILA,305,4525
HILA,402,4526
HILA,404,4527
HILA,702,4528
HIME,100,4529
HIME,401,4536
HIME,402,4537
HIME,202,4530
HIME,224,4531
HIME,309,4532
HIME,315,4533
HIME,345,4534
HIME,404,4538
HIND,202,4540
HIND,494,4543
HIND,206,4541
HIND,302,4542
HIND,502,4544
HIND,802,4545
HISA,100,4546
HISA,202,4547
HISA,303,4548
HISA,505,4549
HIST,100,4550
HIST,202,4551
HIST,212,4552
HIST,220,4553
HIST,300,4554
GNUR,795,4448
GNUR,997,4463
GNUR,999,4465
HIND,102,4539
HIST,323,4555
HIUS,804,4600
HIUS,851,4601
HIUS,358,4583
HIST,351,4556
HR,401,4602
HR,402,4603
HIUS,360,4584
HR,503,4609
HR,409,4605
HIST,361,4557
HIST,385,4558
HIUS,361,4585
HIST,401,4559
HR,410,4606
HR,411,4607
HIST,406,4562
HIST,592,4563
HIST,705,4564
HIST,824,4565
HIST,897,4566
HIST,898,4567
HIST,902,4568
HR,412,4608
HIST,993,4569
HIUS,366,4586
HIST,995,4570
HIST,997,4572
HIST,999,4573
HIUS,202,4575
HR,506,4612
HIUS,100,4574
HR,504,4610
HR,505,4611
HIUS,367,4587
HIUS,403,4589
HIUS,250,4576
HIUS,305,4577
HIUS,309,4578
HSCI,102,4613
HIUS,351,4581
HSCI,202,4614
IMP,450,4615
HIUS,401,4588
HIUS,352,4582
INST,257,4624
IMP,497,4616
HR,403,4604
HIUS,404,4590
HIUS,502,4591
HIUS,623,4592
HIUS,624,4593
HIUS,625,4594
HIUS,702,4595
HIUS,707,4596
HIUS,720,4597
HIUS,757,4598
HIUS,802,4599
INST,258,4625
INST,204,4617
INST,211,4618
INST,259,4626
INST,235,4619
INST,251,4620
INST,253,4621
INST,255,4622
INST,256,4623
INST,266,4627
INST,273,4628
INST,277,4629
INST,279,4630
INST,288,4636
INST,295,4637
INST,280,4631
INST,281,4632
INST,283,4633
INST,284,4634
INST,286,4635
INST,382,4638
ISBU,341,4639
ISBU,361,4640
ISBU,381,4641
ISBU,450,4642
ISCP,400,4643
ISHU,318,4644
ISHU,327,4645
ISHU,350,4646
ISHU,357,4647
ISHU,358,4648
ISHU,381,4649
ISHU,382,4650
ISHU,411,4651
ISHU,413,4652
ISHU,421,4653
ISHU,427,4654
ISHU,499,4655
ISLS,302,4656
ISLS,318,4657
ISLS,319,4658
ISLS,321,4659
ISLS,328,4660
HIST,403,4560
HIST,404,4561
HIST,996,4571
ISLS,331,4661
ISLS,411,4662
ISLS,417,4663
ISLS,425,4664
ISSS,301,4666
ISSS,326,4667
ISSS,339,4668
ISSS,346,4669
ISSS,353,4670
ISSS,358,4671
ISSS,382,4672
ISSS,420,4673
ISSS,427,4674
ISSS,450,4675
ISSS,461,4676
ISSS,499,4679
ISSS,485,4678
LAR,732,4727
IT,322,4680
IT,324,4681
IT,326,4682
IT,504,4683
IT,505,4684
JAPN,102,4703
LAR,734,4728
JAPN,202,4704
LAR,851,4729
JAPN,302,4705
JAPN,311,4706
ITAL,301,4688
ITAL,302,4689
JAPN,471,4707
ITAL,401,4691
ITAL,325,4690
ITAL,402,4692
JAPN,481,4708
ITAL,499,4693
ITAL,795,4694
ITAL,855,4695
ITAL,856,4696
ITAL,897,4697
ITTR,263,4698
LAR,852,4730
ITTR,341,4700
ITTR,401,4701
ITTR,525,4702
JAPN,494,4709
JPTR,332,4711
JPTR,532,4712
JWST,495,4713
KOR,102,4714
KOR,202,4715
KOR,302,4716
LAR,513,4717
LAR,880,4731
LAR,514,4718
LAR,520,4719
LAR,523,4720
LAR,534,4721
LAR,538,4722
LAR,543,4723
LAR,592,4724
LAR,602,4725
LAR,731,4726
LATI,501,4745
LASE,151,4732
LASE,152,4733
LASE,161,4734
LASE,251,4735
LASE,360,4736
LAST,491,4737
LATI,510,4746
LATI,526,4747
LATI,102,4738
LATI,595,4748
LATI,311,4741
LATI,897,4749
LATI,314,4742
LATI,401,4743
LATI,997,4751
LATI,410,4744
LATI,898,4750
LING,495,4764
LATI,999,4752
LING,101,4753
LING,102,4754
LING,103,4755
LING,105,4756
LING,109,4758
LING,110,4759
LING,111,4760
LING,112,4761
LING,200,4762
LING,300,4763
LING,496,4765
LING,497,4766
LING,498,4767
ISPS,399,4665
ISSS,480,4677
ITAL,102,4685
ITAL,201,4686
ITAL,202,4687
ITTR,272,4699
LATI,201,4739
LATI,202,4740
LING,499,4768
LING,509,4769
LING,510,4770
LING,897,4771
LING,898,4772
LING,902,4773
LING,903,4774
LNGS,222,4775
MATH,300,4831
LNGS,500,4776
LNGS,722,4777
MATH,122,4826
MAE,642,4803
MAE,643,4804
MAE,231,4779
MAE,671,4805
MAE,695,4808
MAE,232,4780
MAE,301,4781
MAE,312,4782
MAE,672,4806
MAE,314,4783
MAE,322,4784
MAE,362,4785
MATH,534,4841
MATH,552,4842
MAE,382,4786
MATH,553,4843
MAE,692,4807
MAE,793,4813
MAE,703,4809
MAE,384,4787
MAE,462,4788
MAE,466,4789
MAE,468,4790
MAE,753,4810
MAE,756,4811
MAE,791,4812
MAE,471,4791
MAE,473,4792
MAE,474,4793
MAE,476,4794
MAE,492,4795
MAE,494,4796
MAE,496,4797
MAE,498,4798
MAE,607,4799
MAE,611,4800
MAE,897,4815
MAE,794,4814
MAE,898,4816
MAE,623,4801
MAE,636,4802
MAE,997,4818
MAE,991,4817
MAE,999,4819
MATH,114,4823
MATH,104,4820
MATH,105,4821
MATH,554,4844
MATH,111,4822
MATH,325,4832
MATH,121,4825
MATH,116,4824
MATH,131,4827
MATH,570,4845
MATH,493,4837
MATH,334,4834
MATH,132,4828
MATH,572,4846
MATH,351,4835
MATH,583,4847
MATH,354,4836
MATH,896,4870
MATH,596,4848
MATH,231,4829
MATH,654,4851
MATH,501,4838
MATH,522,4839
MATH,533,4840
MATH,331,4833
MATH,270,4830
MATH,599,4849
MATH,653,4850
MATH,662,4852
MATH,701,4854
MATH,732,4855
MATH,734,4856
MATH,736,4857
MATH,742,4858
MATH,752,4859
MATH,754,4860
MATH,780,4861
MATH,782,4862
MATH,825,4863
MATH,831,4864
MATH,845,4865
MATH,851,4866
MATH,860,4867
MATH,883,4868
MATH,885,4869
MATH,897,4871
MATH,898,4872
MATH,900,4873
MATH,901,4874
MATH,902,4875
MATH,915,4876
MAE,210,4778
MATH,675,4853
MATH,925,4877
MATH,931,4878
MATH,941,4879
MDST,498,4919
MATH,942,4880
MATH,945,4881
MATH,950,4882
