mnemonic,number,id
ARTS,3810,254
ASL,2010,266
ARTS,4110,256
ARTS,4220,257
ARTS,4370,258
ARTS,4450,259
ARTS,4670,260
PLIR,4320,10820
BIOL,8999,366
ARTS,4710,261
ECE,4209,7659
ASTR,6410,284
PHS,7185,9318
HIST,2201,10065
ANTH,2370,11197
ASTR,9995,288
ASTR,8999,287
ASTR,5010,278
FREN,4750,12392
ENNC,3110,1094
NESC,8250,2168
EVGE,7860,7840
ASTR,6220,282
PSYC,1010,2535
EVHY,5700,7841
WGS,4200,11162
ISSS,3280,9911
ASTR,5110,279
ENRN,3110,1104
CE,895,3392
MDST,3710,14302
PSLP,5310,14576
PHS,7212,9319
BME,4280,382
HIEU,7004,6793
BIMS,8071,301
WGS,4800,12044
PHYE,1000,2304
NCPR,502,8457
BIMS,5030,295
BIMS,8010,296
BIMS,8041,297
BIMS,8091,302
BIMS,8051,298
BIMS,8121,303
FREN,5510,6724
BIMS,8201,309
BIMS,8191,307
BIMS,8193,308
BIMS,8471,311
BIMS,8311,310
APMA,312,2960
APMA,311,2959
BIMS,9999,314
CLAS,4993,11798
GREE,997,4475
UNST,5400,13479
BIOC,5050,315
BIOL,1210,322
WGS,2895,12021
BIOC,8250,318
BIOC,9995,319
BIOL,2070,325
PHYE,1435,9320
BIOL,3180,330
BIOC,9999,321
BIOC,8130,316
BIOC,8150,317
ENNC,3600,1096
BIOL,3140,328
EVSC,5559,6715
BIOL,3170,329
BIOL,3585,334
BIOL,3450,333
BIOL,4050,335
BIOL,2071,326
BIOL,3220,331
MDST,7704,14304
PHYS,2620,8561
CHEM,9998,523
BIOL,4330,341
WGS,4559,11489
STS,2201,10229
PLAP,7110,7031
BIOL,7559,357
CHEM,9430,11793
ENNC,8500,1099
BIOL,4190,339
BME,7806,7459
BIOL,4912,346
BIOL,4180,338
BIOL,4913,347
EVHY,7662,7842
BIOL,4915,349
BIOL,4916,350
BIOL,4917,351
BIOL,5010,353
BIOL,4370,342
BIOL,4914,348
BIOL,7370,356
APMA,496,2961
BIOL,4918,352
BIOL,7190,355
COMM,4890,11490
BIOL,8010,359
HIST,3162,10066
BIOL,8070,361
WGS,4620,13480
BIOL,9998,369
BIOP,9998,375
BIOL,9999,370
BIOP,8010,373
BIOL,8998,365
BIOP,5050,371
BIOP,7051,372
FREN,3046,7865
BIOL,8060,360
BIOP,9995,374
BIOP,9999,376
CHEM,9440,11794
CHEM,9720,11795
EDLF,3150,952
GBUS,7251,1249
ANTH,3070,11199
PHYS,8710,9321
PLCP,5500,10819
BIOL,9910,367
BIOL,9995,368
PLAC,5870,9322
BME,6280,391
MDST,8001,14305
EDLF,3440,7775
ARTS,2580,9960
CE,897,3393
CE,898,3394
EDHS,2850,11491
BME,7003,394
ENWR,3610,1127
ANTH,3270,11200
CLAS,3040,7575
FREN,3050,12632
FREN,5520,6725
WGS,4999,11163
FREN,4035,7866
FREN,5999,12633
ISSS,3410,9912
CHTR,2800,11796
HIST,4511,10067
CE,3200,411
GBUS,7108,10969
ANTH,5235,11201
PLAP,5526,9324
BME,8823,397
GBUS,7343,6735
CE,997,3395
CE,999,3396
BUS,5340,407
BME,9000,401
HIUS,7232,10068
ANTH,5420,66
BUS,3410,403
GDS,3559,6756
BME,8900,398
CCSC,2000,408
PLAD,7500,9323
PLCP,4180,9325
PPOL,4200,10823
CE,2010,409
BME,9999,402
APMA,507,2962
BME,3030,12552
BME,8999,400
GBUS,7291,6733
PLAP,8999,2427
GETR,2770,11492
MDST,8966,14306
CE,4320,418
HIUS,7261,10069
CE,6000,423
CE,4400,419
GBUS,7311,6734
EDLF,4082,14634
CELL,595,3398
CE,6260,425
CE,6320,426
FREN,4510,7867
PLAP,9998,2428
GBUS,7110,10971
ANTH,5480,11202
CLAS,3130,11797
CE,6400,427
LAW,9291,13607
CHIN,102,3491
BME,8730,9468
CELL,9030,447
CELL,5030,441
CE,6430,428
CELL,9999,448
MESA,5110,12937
ENCR,3410,14059
CE,6555,430
HIUS,7652,10070
INST,2559,10071
CE,7460,434
CELL,8030,444
ISSS,3461,9914
MED,8657,10768
CELL,5060,442
ENRN,4410,1106
CHE,2246,450
CHE,4491,455
CELL,8559,445
CELL,8660,446
FREN,4559,7869
APMA,642,2963
APMA,643,2964
MICR,8402,10126
EVSC,2070,10250
LAW,7674,10253
CHE,6442,458
CHE,7995,463
CHE,9897,466
EDLF,6040,14635
CE,2300,410
LAW,9048,6913
FREN,4581,7870
PSHM,3805,13217
ENCW,4993,12101
HIUS,7041,10385
HIUS,7658,10386
CELL,506,3397
CELL,999,3402
CHEM,1810,472
ENRN,4500,1107
CHE,6665,461
PPOL,4993,10826
CHEM,2810,475
CHE,6625,460
APMA,672,2965
MICR,8410,12479
ANTH,5625,11203
CHEM,5360,490
CHIN,1010,525
ENRN,8559,1108
FREN,4530,7868
CHIN,3010,528
CHEM,4411,485
CHEM,3910,480
CHEM,5110,488
GBUS,7278,10350
GBUS,7256,1251
CHEM,5710,491
DRAM,2430,647
HIAF,202,4484
CHEM,5210,489
CHIN,3015,529
DS,4002,14582
FREN,4586,7871
ENRN,9270,1109
COMM,2610,11799
CHEM,9310,506
LAW,7713,11493
CHEM,7710,496
CHEM,7430,494
CHEM,7510,495
CHEM,9150,500
CHEM,9330,507
ENRN,9995,1110
CHEM,9350,508
CHEM,9110,499
CHEM,9410,509
CHEM,9210,501
CHEM,9450,510
CHEM,9290,505
HIUS,8022,10387
CHEM,9230,502
CHEM,9710,515
CHEM,9730,516
CHEM,9250,503
CHEM,9999,524
PLIR,2050,9327
HIST,1501,1510
CHEM,9610,511
CHEM,9630,512
CHEM,9270,504
CHEM,9750,517
CHEM,9650,513
CHEM,9690,514
CHEM,9790,518
CELL,805,3399
PPOL,6775,10828
CHEM,8998,497
HIUS,8756,10388
LAW,7718,11494
CELL,5950,443
PPOL,8210,10829
CHIN,8993,537
LAW,9264,12460
CHIN,4993,532
CLAS,2020,538
COGS,4970,541
COGS,4980,542
EDLF,7120,14055
CHIN,7010,536
HISA,2002,6796
HIST,3559,6798
CHIN,5830,535
HIST,2559,6797
RELG,4900,12754
ISBU,3602,10073
CE,5340,13739
APMA,793,2971
COMM,2000,545
APMA,708,2968
