Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2021 Fall,LAW,9308,Liberalism and Its Critics,045185,"Schwartzman,Micah Jacob",1,19273,LAW,3.638461538,13,0,4,4,5,0,0,0,0,0,0
2021 Fall,LAW,9306,Securities Litigtn & Enforcemt,045176,"Gilman,Charles Alan",1,19241,LAW,3.463636364,11,0,1,5,2,3,0,0,0,0,0
2022 Spring,LAW,9305,LawTech,045175,"Livermore,Michael A.",1,17520,LAW,3.425,12,0,0,6,3,3,0,0,0,0,0
2021 Fall,LAW,9303,Nonprofit Orgs: P&P,044843,"Clark,Polly A",1,19218,LAW,3.484615385,13,0,0,6,7,0,0,0,0,0,0
2021 Fall,LAW,9298,Appellate Practice,044750,"Stetson,Catherine Emily",1,20405,LAW,3.547368421,19,0,5,6,4,4,0,0,0,0,0
2022 Spring,LAW,9297,Wrongful Convictions Seminar,044741,"Frampton,Thomas Ward",1,17749,LAW,3.544444444,9,0,2,2,5,0,0,0,0,0,0
2022 Spring,LAW,9297,Wrongful Convictions Seminar,044741,"Spellman,Barbara A",1,17749,LAW,3.544444444,9,0,2,2,5,0,0,0,0,0,0
2021 Fall,LAW,9295,Fed Crim Pre-Trial&Trial Prac,044736,"Quagliana,Rhonda",1,19178,LAW,3.633333333,6,0,1,4,0,1,0,0,0,0,0
2021 Fall,LAW,9295,Fed Crim Pre-Trial&Trial Prac,044736,"Zlotnick,Howard J.",1,19178,LAW,3.633333333,6,0,1,4,0,1,0,0,0,0,0
2021 Fall,LAW,9294,Drug Prod Liability Litgn Sem,044731,"Grossi Jr.,Peter T",1,19298,LAW,3.54,10,0,0,6,4,0,0,0,0,0,0
2022 Spring,LAW,9289,Juvenile Justice Seminar,044710,"Shin,Crystal Sue",1ZT,17730,LAW,3.39375,16,0,0,7,7,1,0,1,0,0,0
2021 Fall,LAW,9287,Law and Economics Colloquium,044727,"Cope,Kevin",1,19176,LAW,3.583333333,12,0,3,4,4,1,0,0,0,0,0
2021 Fall,LAW,9287,Law and Economics Colloquium,044727,"Stevenson,Megan",1,19176,LAW,3.583333333,12,0,3,4,4,1,0,0,0,0,0
2022 Spring,LAW,9287,Law and Economics Colloquium,044727,"Cope,Kevin",1,17729,LAW,3.444444444,9,0,0,4,4,1,0,0,0,0,0
2022 Spring,LAW,9287,Law and Economics Colloquium,044727,"Stevenson,Megan",1,17729,LAW,3.444444444,9,0,0,4,4,1,0,0,0,0,0
2021 Fall,LAW,9284,World War I,044663,"Setear,John K",1,19316,LAW,3.41875,16,0,1,3,12,0,0,0,0,0,0
2021 Fall,LAW,9283,Constitutionalism and Culture,044662,"Howard,A. E. Dick",1,19170,LAW,3.575,16,0,3,9,2,1,0,1,0,0,0
2021 Fall,LAW,9281,Legal Theory Workshop Seminar,044664,"Barzun,Charles Lowell",1,20116,LAW,3.588888889,9,0,3,2,3,1,0,0,0,0,0
2021 Fall,LAW,9281,Legal Theory Workshop Seminar,044664,"Hellman,Deborah",1,20116,LAW,3.588888889,9,0,3,2,3,1,0,0,0,0,0
2022 Spring,LAW,9277,Conservation Planning and Law,044342,"Szeptycki,Leon",1,17515,LAW,3.5,9,0,2,1,6,0,0,0,0,0,0
2022 Spring,LAW,9277,Conservation Planning and Law,044342,"Verkerke,J H",1,17515,LAW,3.5,9,0,2,1,6,0,0,0,0,0,0
2022 Spring,LAW,9264,Discrimination Theory,044231,"Hellman,Deborah",1,17727,LAW,3.453846154,13,0,1,4,7,1,0,0,0,0,0
2022 Spring,LAW,9263,Government Contract Law,044206,"Smith,Gregory",1,17831,LAW,3.44,15,0,3,3,7,0,2,0,0,0,0
2022 Spring,LAW,9248,Therptc Jus Evol Role Spec Crt,043851,"Hogshire,Edward L",1,17822,LAW,3.39,10,0,0,3,6,1,0,0,0,0,0
2022 Spring,LAW,9242,Feminism and Free Market,043826,"Mahoney,Julia D",1,17463,LAW,3.522222222,18,0,2,8,6,2,0,0,0,0,0
2022 Spring,LAW,9240,Con Law II: Poverty,043825,"Goluboff,Risa L",1,17598,LAW,3.684615385,26,0,4,18,4,0,0,0,0,0,0
2021 Fall,LAW,9239,BigLaw Prof (and Bus) of Law,043824,"Duncan,Robert Bruce",1,19156,LAW,3.447368421,19,0,0,7,12,0,0,0,0,0,0
2021 Fall,LAW,9233,Global Legal History,043306,"Halliday,Paul D",1,20114,LAW,3.4125,8,0,1,2,3,2,0,0,0,0,0
2021 Fall,LAW,9232,Bioethics and the Law Seminar,043277,"Shepherd,Lois L.",1,20188,LAW,3.447368421,19,0,3,8,3,4,0,0,1,0,0
2022 Spring,LAW,9222,International Arbitration,043219,"Simmons,Joshua Bradford",1,17830,LAW,3.411764706,17,0,1,7,7,1,0,0,1,0,0
2022 Spring,LAW,9208,Monetary Constitution Seminar,042780,"Kitch,Edmund W",1,17725,LAW,3.5,12,0,0,6,6,0,0,0,0,0,0
2022 Spring,LAW,9208,Monetary Constitution Seminar,042780,"Mahoney,Julia D",1,17725,LAW,3.5,12,0,0,6,6,0,0,0,0,0,0
2022 Spring,LAW,9200,Federal Litigation Practice,042756,"O'Keeffe,James",1,17462,LAW,3.561538462,13,1,2,4,5,0,1,0,0,0,0
2022 Spring,LAW,9200,Federal Litigation Practice,042756,"Russell,Anthony Marc",1,17462,LAW,3.561538462,13,1,2,4,5,0,1,0,0,0,0
2022 Spring,LAW,9175,Theor/Prac of Biodiv Consrvatn,041893,"Szeptycki,Leon",1,17564,LAW,3.533333333,6,0,2,0,4,0,0,0,0,0,0
2022 Spring,LAW,9172,Capitalism & Socialism Seminar,041720,"Johnston,Jason S",1,17744,LAW,3.507142857,14,1,4,0,6,3,0,0,0,0,0
2021 Fall,LAW,9156,Advanced Campaign Finance,041727,"Sanderson,Matthew",1,20442,LAW,3.48,5,0,0,3,1,1,0,0,0,0,0
2022 Spring,LAW,9139,Internet Regulation Seminar,040195,"Nugent,Nicholas",1,21029,LAW,3.571428571,7,0,1,3,3,0,0,0,0,0,0
2022 Spring,LAW,9122,Governing the World,022317,"Verdier,Pierre-Hugues",1,17742,LAW,3.407692308,13,0,1,4,6,1,1,0,0,0,0
2022 Spring,LAW,9111,Sexuality and the Law,022296,"Konnoth,Craig",1,17750,LAW,3.442857143,7,1,1,2,0,1,2,0,0,0,0
2021 Fall,LAW,9087,Internatl Environmental Law,022036,"Setear,John K",1,19265,LAW,3.342105263,19,0,2,3,9,4,1,0,0,0,0
2021 Fall,LAW,9081,Trial Advocacy,022023,"Cook,John Tandy",4,20445,LAW,3.558333333,12,0,2,5,4,1,0,0,0,0,0
2021 Fall,LAW,9081,Trial Advocacy,022023,"Livingston,Ronald L",3,20444,LAW,3.591666667,12,0,1,7,4,0,0,0,0,0,0
2021 Fall,LAW,9081,Trial Advocacy,022023,"McKay,Jordan",3,20444,LAW,3.591666667,12,0,1,7,4,0,0,0,0,0,0
2021 Fall,LAW,9081,Trial Advocacy,022023,"Russell,Anthony Marc",2,19169,LAW,3.5,9,0,0,6,1,2,0,0,0,0,0
2021 Fall,LAW,9081,Trial Advocacy,022023,"Stolpe,Kristin Elysse",1,19135,LAW,3.633333333,12,0,0,10,2,0,0,0,0,0,0
2021 Fall,LAW,9081,Trial Advocacy,022023,"Watson,James Frederick",4,20445,LAW,3.558333333,12,0,2,5,4,1,0,0,0,0,0
2022 Spring,LAW,9081,Trial Advocacy,022023,"Antony,Nina-Alice",3,17989,LAW,3.454545455,11,0,2,3,3,3,0,0,0,0,0
2022 Spring,LAW,9081,Trial Advocacy,022023,"Benes,Bethany Ruth",1,17466,LAW,3.45,6,1,1,1,0,2,1,0,0,0,0
2022 Spring,LAW,9081,Trial Advocacy,022023,"Stolpe,Kristin Elysse",4,20917,LAW,3.54,15,0,2,7,4,2,0,0,0,0,0
2021 Fall,LAW,9076,Natural Resources Law & Policy,021787,"Szeptycki,Leon",1,20522,LAW,3.54,15,0,4,2,9,0,0,0,0,0,0
2021 Fall,LAW,9074,Legis Drafting & Public Policy,022000,"Hallock Jr.,David Halsey",1,19131,LAW,3.433333333,6,0,1,1,3,1,0,0,0,0,0
2021 Fall,LAW,9074,Legis Drafting & Public Policy,022000,"Kneedler,H Lane",1,19131,LAW,3.433333333,6,0,1,1,3,1,0,0,0,0,0
2022 Spring,LAW,9069,Antitrust Review of Mergers,021987,"Fullerton,Lawrence R",1,17817,LAW,3.314285714,14,0,1,5,4,1,2,1,0,0,0
2021 Fall,LAW,9068,Historic Preservation Law,021980,"Wenger,Larry B",1,19140,LAW,3.62,10,2,0,3,5,0,0,0,0,0,0
2021 Fall,LAW,9062,Supreme Crt Warren to Roberts,022172,"Howard,A. E. Dick",1,19285,LAW,3.6125,16,0,2,9,5,0,0,0,0,0,0
