ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10019,ANTH,2890,1,Lecture,"3","Rachel Most","MoTuWeThFr 9:30AM - 11:30AM","Monroe Hall 118","01/04/2010 - 01/15/2010","Staff","MoTuWeThFr 12:30PM - 2:30PM","Monroe Hall 118","01/04/2010 - 01/15/2010","","","","","","","","","Unearthing the Past","",Closed,22,20,0,"The study of past cultures through their material remains. Students gain an understanding of how archaeologists study ancient civilizations as well as the everyday lives of people who lived in these societies. Archaeological methods are reviewed to demystify the process of reconstructing the past. The course also covers some of the major developments in prehistory such as the origins of modern humans, the rise of the first villages and cities, and the emergence of ancient civilizations in North America."
10083,ANTH,3559,1,Lecture,"3","Todne Thomas","MoTuWeThFr 10:00AM - 12:00PM","Monroe Hall 113","01/04/2010 - 01/15/2010","Staff","MoTuWeThFr 1:00PM - 3:00PM","Monroe Hall 113","01/04/2010 - 01/15/2010","","","","","","","","","New Course in Anthropology","Relig Kinship in Church Comm.",Open,4,30,0,"New course in the subject of Anthropology"
10059,ARTS,1610,1,Studio,"3","Dean Dass","MoTuWeThFr 10:00AM - 12:00PM","Ruffner Hall 223","01/04/2010 - 01/15/2010","Staff","MoTuWeThFr 1:00PM - 3:00PM","Ruffner Hall 223","01/04/2010 - 01/15/2010","","","","","","","","","Introduction to Drawing I","",Closed,19,11,0,"Introduces the materials and techniques of drawing, provides training in the coordination of hand and eye, and encourages development of visual analysis. Emphasizes understanding form, space, light and composition."
10060,ARTS,2620,1,Studio,"3","Dean Dass","MoTuWeThFr 10:00AM - 12:00PM","Ruffner Hall 223","01/04/2010 - 01/15/2010","Staff","MoTuWeThFr 1:00PM - 3:00PM","Ruffner Hall 223","01/04/2010 - 01/15/2010","","","","","","","","","Introduction to Drawing II","",Closed,8,8,0,"Continuation of ARTS 1610 with projects emphasizing on drawing skills and analytical thinking. The majority of assignments will be concept-based to encourage students to develop individual visual language.  Prerequisite: ARTS 1610."
10090,ASTR,1210,502,Lecture,"3","Staff","TBA","Semester At Sea","01/04/2010 - 01/15/2010","","","","","","","","","","","","","Introduction to the Sky and Solar System","",Open,0,30,0,"A study of the night sky primarily for non-science majors. Provides a brief history of astronomy through Newton. Topics include the properties of the sun, earth, moon, planets, asteroids, meteors and comets; origin and evolution of the solar system; life in the universe; and recent results from space missions and ground-based telescopes."
10020,COMM,3791,1,Lecture,"3","Norwood Davis","MoTuWeThFr 10:00AM - 12:00PM","Rouss Hall 410","01/04/2010 - 01/15/2010","Staff","TBA","TBA","01/04/2010 - 01/15/2010","","","","","","","","","Financing New Ventures","",Open,16,30,0,"The course will examine the challenges, processes, and sources of financing for new ventures in the focused and engaging format of the January Term. Primarily from perspective of the entrepreneur or business owners through both empirical field research and analyses. It will explore the fit and viability of a venture's maturity. The course will emphasize the integration of these financial concepts with entrepreneurial strategy."
10071,COMM,3845,1,Lecture,"3","William Wilkerson","MoTuWeThFr 10:00AM - 12:00PM","Rouss Hall 403","01/04/2010 - 01/15/2010","Staff","MoTuWeThFr 1:00PM - 3:00PM","TBA","01/04/2010 - 01/15/2010","","","","","","","","","Foundations of International Business","",Open,18,30,0,"An introduction to the field of international business through an examination of the practice and theory of international business, focusing on managerial, operational, strategic, ethical, and environmental factors. The student develops an understanding of global trade theory and the various forms of global and regional economic integration; examines the major functions of managing an international business; becomes familiar with the instruments, procedures, and processes of international business; ascertains the modes of international market entry and foreign direct investment; generates an appreciation of the importance of culture on international business; and evaluates ethical issues in international business.  Prerequisite: Non-Commerce students. Note: See course descriptions for other international courses available for a concentration in international business. These courses include: COMM 4310 and COMM 4650."
10021,DRAM,3320,1,Seminar,"3","Gweneth West","MoTuWeThFr 10:00AM - 12:00PM","Drama Education Bldg 206","01/04/2010 - 01/15/2010","Staff","MoTuWeThFr 1:00PM - 3:00PM","TBA","01/04/2010 - 01/15/2010","","","","","","","","","The Fine Art of Dress 1: Conformity & Individuality","",Open,14,15,0,"Expores the cultural influences on fashion choices and expression of identity you create for  the 21st century.  Examination of your own wardrobe and study of the History of Dress serves as grounding for research into selected garments from The Collection of Historic Dress, c. 1795-1965. Working with extant garments  provides insight into these  periods of American history, the cultural influences, and  the people who inhabited these clothes."
10044,EDIS,2910,1,Seminar,"3","Karlin Luedtke","MoTuWeThFr 9:30AM - 11:30AM","Monroe Hall 114","01/04/2010 - 01/15/2010","Staff","MoTuWeThFr 12:30PM - 2:30PM","Monroe Hall 114","01/04/2010 - 01/15/2010","","","","","","","","","Beyond the Second Year: Academic Realities and Skills","",Open,20,22,0,"A three-credit course that will assist upper level students attain their academic goals at the University of Virginia.  The class will address strategies for dealing with lenghty and complex readings, the analytical and evaluative skills of scholarship, methods of time mangement in academic pursuits and stress management."
10087,EDLF,5500,1,Lecture,"1 - 6","Carol Spreen","TBA","TBA","01/04/2010 - 01/15/2010","","","","","","","","","","","","","Selected Topics","Ethics Pro & Prac of Int'l Res",Open,2,15,0,"Pilot courses to meet new program requirements and changing needs in the field. Used also to offer experimental courses, and courses under development, these courses are announced and offered on a semester-to-semester basis. May be graded or S/U, depending on the instructor, and may be repeated."
