ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,WaitlistLimit,Description,Disciplines,Cost
10153,GBUS,8391,001,Lecture,1.5,Shane Dikolli,sa 2:00pm - 5:10pm,***,01/03/2026 - 01/03/2026,Shane Dikolli,su 10:00am - 1:00pm,***,01/04/2026 - 01/04/2026,Shane Dikolli,tu 6:00pm - 9:10pm,***,01/06/2026 - 01/06/2026,Shane Dikolli,th 6:00pm - 9:10pm,***,01/08/2026 - 01/08/2026,Strategic Costing,,Open,32,72,0,0,Strategic costing is concerned with use of internal cost accounting information to plan and evaluate strategic operations and interactions with stakeholders of the firm. The focus is on planning and strategic decision-making by the organization and on the accounting systems that managers have to assist them in their decisions about resource allocation and performance evaluation. The course is intended as an extension of foundational cost accounting.,,
10034,GBUS,8500,001,Lecture,1.5,"Carolyn Miles, R. Marc Johnson",motuwethfr 9:00am - 4:00pm,***,01/05/2026 - 01/09/2026,,,,,,,,,,,,,Special Topics Seminar,The CEO in the 21st Century,Open,58,73,0,0,Each seminar is a course of study for students with special interests in business administration topics not currently included in the normal course offerings of the MBA Program. The seminar topics should be consistent with the objectives of the Second Year Program.,,
10033,GBUS,8698,001,IND,1.5,Carolyn Miles,tba,***,01/02/2026 - 01/11/2026,,,,,,,,,,,,,Global Client Projects II,,Open,9,30,0,0,"Provide an opportunity for students to describe a specific business problem clearly, succinctly, and in a manner that fosters reflection, discussion, and learning. Challenge students to analyze and resolve an unstructured managerial problem and offer them an opportunity to work closely with a faculty member. Produce a case study of quality, focus suitable for inclusion in the MBA curriculum, together with a written analysis.",,
10041,GBUS,8698,002,IND,1.5,Carolyn Miles,tba,***,01/02/2026 - 01/11/2026,,,,,,,,,,,,,Global Client Projects II,,Open,3,100,0,0,"Provide an opportunity for students to describe a specific business problem clearly, succinctly, and in a manner that fosters reflection, discussion, and learning. Challenge students to analyze and resolve an unstructured managerial problem and offer them an opportunity to work closely with a faculty member. Produce a case study of quality, focus suitable for inclusion in the MBA curriculum, together with a written analysis.",,
10106,HIST,2013,001,SEM,3,Jeffrey Rossman,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Why Did They Kill? Interpreting Genocide and Its Perpetrators,,Open,26,30,0,10,"Grounded in discussion and analysis of primary sources from twentieth-century genocides, key works of scholarship, and documentary films, this course endeavors to understand the complex but tragically recurring process whereby regimes from across the political spectrum implement policies of one-sided mass killing and transform ordinary people into genocidal killers.","Artistic, Interpretive, & Philosophical Inquiry$Historical Perspectives",
10145,ISHU,4090,101,Lecture,3,Charlotte Matthews,fr 12:32am - 12:33am,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Writing: Comfortable as a Hearth Rug,,Open,28,30,0,0,"Writing begins with intuition, moves towards consciousness and strives for clarity. Such movement calls for a steady eye and an enduring approach. Accordingly, this course focuses upon resurrecting the fading art of patience, a faculty required for writing. Students will read widely, respond to assigned readings through weekly essays and share work in a workshop setting with an emphasis on revision. Writing intensive.",,
10144,ISSS,3045,101,Lecture,3,Lillian Wallace,fr 12:30am - 12:31am,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Science and Practice of Mindfulness,,Open,29,30,0,0,"Considers the latest scientific findings about the mind-body connection, offers students the opportunity to experience them through direct mindfulness meditative practices. Explores formal and informal mindfulness practices, the contextual background of mindfulness, and applies them to a variety of professions and settings. Covers a range of contemplative exercises that cultivate emotional balance and the ability to cope with stress.",,
10143,ISSS,4432,101,Lecture,3,Clair Berube,fr 12:31am - 12:32am,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Theories of Interpersonal Communication,,Open,16,30,0,0,"Examines latest research findings in interpersonal communication theories, with a focus on listening, verbal and non-verbal expression, interpersonal conflict, intimate relationships, and workplace communication. Engages students in independent research to apply theoretical constructs to a range of scenarios encountered in professional, social, and relationship settings.",,
10155,KRTR,3700,001,Lecture,3,YOON HWA CHOI,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Survey of Contemporary South Korean Popular Culture,,Open,17,20,0,10,"General introduction to South Korean popular culture. Examines contemporary media, including music, film, drama, and variety shows. Taught in English. ",Cultures & Societies of the World,
10051,LAW,7501,1,Lecture,1,Eugene Scalia,motuweth 9:00am - 12:00pm,***,01/12/2026 - 01/15/2026,,,,,,,,,,,,,Special Topics in Law Short Course (SC),Agencies in Court (SC),Open,10,16,0,199,Various short topics offered at the Law School.,,
