ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10584,AAS,2224,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 187","07/08/2019 - 07/31/2019","","","","","","","","","","","","","Black Femininities and Masculinities in the US Media","",Closed,11,14,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
12782,AAS,2559,002,Seminar,"3","Paul Joseph Lopez Oro","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 303","07/08/2019 - 07/31/2019","","","","","","","","","","","","","New Course in African and African American Studies","Black Latin America",Open,8,14,0,"New course in the subject of African and African American Studies"
12331,AAS,2559,003,Seminar,"3","Anne Rotich","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 111","07/08/2019 - 07/31/2019","","","","","","","","","","","","","New Course in African and African American Studies","Women Leaders in Africa",Open,4,18,0,"New course in the subject of African and African American Studies"
12783,AAS,2559,003,Seminar,"3","Ashleigh Wade","MoTuWeThFr 10:30AM - 12:45PM","Dell 2 102","06/10/2019 - 07/05/2019","","","","","","","","","","","","","New Course in African and African American Studies","Black Girlhood & the Media",Open,12,20,0,"New course in the subject of African and African American Studies"
10591,AAS,4993,003,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","05/13/2019 - 06/06/2019","","","","","","","","","","","","","Independent Study","",Open,0,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
10608,AAS,4993,004,Independent Study,"1 - 12","Maurice Apprey","TBA","TBA","07/08/2019 - 07/31/2019","","","","","","","","","","","","","Independent Study","",Open,0,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
10650,AAS,4993,005,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","07/08/2019 - 07/31/2019","","","","","","","","","","","","","Independent Study","",Open,0,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
12387,ACCT,2010,701,Lecture,"3","Marshall Kasten","Mo 2:08AM - 2:09AM","Web-Based Course-No class mtgs","05/13/2019 - 08/02/2019","","","","","","","","","","","","","Introductory Accounting I","",Open,16,24,0,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities."
12380,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/13/2019 - 07/29/2019","","","","","","","","","","","","","Introductory Accounting II","",Open,7,24,0,"Continuation of ACCT 2010. Approximately one third of the course deals with additional financial accounting topics, emphasizing managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized.  Prerequisite: ACCT 2010."
12381,ACCT,3110,701,Lecture,"3","Leon Hutton","We 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/15/2019 - 07/31/2019","","","","","","","","","","","","","Intermediate Accounting I","",Open,13,24,0,"An intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and the processes through which these principles evolve.  Prerequisite: ACCT 2020."
12382,ACCT,3120,701,Lecture,"3","Gary Brooks","Th 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/16/2019 - 08/01/2019","","","","","","","","","","","","","Intermediate Accounting II","",Open,11,24,0,"Continuation of ACCT 3110, emphasizing accounting for the equities of a firm's investors and creditors. Covers special problem areas in financial accounting including accounting for leases, pensions, and income taxes.  Prerequisite: ACCT 3110."
12383,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/14/2019 - 07/30/2019","","","","","","","","","","","","","Cost Accounting","",Open,8,24,0,"Addresses analysis of cost behavior and volume profit relationships; responsibility accounting and reporting flexible budgets; and the use of standard costs to guide and control performance.  Prerequisite: ACCT 2020."
12384,ACCT,4450,701,Lecture,"3","Todd Falcone","Mo 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/13/2019 - 07/29/2019","","","","","","","","","","","","","Federal Taxation I","",Open,7,24,0,"An analysis of the federal income tax law and its application to individuals. A study is made of problems covering personal and business tax situations. Several cases are assigned for which the student prepares illustrative tax returns.  Prerequisite: ACCT 2020 or instructor permission."
12385,ACCT,5210,701,Lecture,"3","Richard Evans","Th 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/16/2019 - 08/01/2019","","","","","","","","","","","","","Introductory Auditing","",Open,22,24,0,"Examines auditing methodology through a study of auditing standards. Includes the nature of evidence, program planning, work papers, internal control evaluation, types of audit tests, and audit reports.  Prerequisite: ACCT 3120."
12386,ACCT,5460,701,Lecture,"3","Todd Falcone","We 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/15/2019 - 07/31/2019","","","","","","","","","","","","","Federal Taxation II","",Open,7,24,0,"Analyzes the federal income tax law and its application to corporations, shareholders, partnerships, partners, estates, and gift transactions.  Prerequisite: ACCT 4450."
