ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10017,AAS,401,2017,Independent Study,"3","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Independent Study","",Closed,1,15,0,""
10018,AAS,402,2018,Independent Study,"3","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Independent Study","",Closed,1,15,0,""
10019,ACCT,201,6675,Lecture,"3","Marshall Kasten","MoTh 6:30PM - 10:00PM","TBA","05/18/2009 - 07/02/2009","","","","","","","","","","","","","Introductory Accounting I","",Open,8,24,0,""
10020,ACCT,202,6676,Lecture,"3","William Gregg","MoTh 6:30PM - 10:00PM","TBA","05/18/2009 - 07/02/2009","","","","","","","","","","","","","Introductory Accounting II","",Open,10,24,0,""
10021,ACCT,311,6677,Lecture,"3","Cory Kirchert","Mo 6:30PM - 10:00PM","TBA","06/01/2009 - 08/24/2009","","","","","","","","","","","","","Intermediate Accounting I","",Open,9,24,0,""
10022,ACCT,314,6678,Lecture,"3","William Cardine","MoTh 6:30PM - 10:00PM","TBA","05/18/2009 - 07/02/2009","","","","","","","","","","","","","Cost Accounting","",Open,11,24,0,""
11265,ACCT,445,6679,Lecture,"3","Thomas Hughes","WeFr 6:30PM - 10:00PM","TBA","05/11/2009 - 08/06/2009","","","","","","","","","","","","","Federal Taxation I","",Open,12,24,0,""
10023,ACCT,521,6690,Lecture,"3","Karen Young","MoTh 6:30PM - 10:00PM","TBA","05/18/2009 - 07/02/2009","","","","","","","","","","","","","Introductory Auditing","",Open,16,24,0,""
10024,ACCT,546W,6691,Lecture,"3","Gary Dittmer","MoTuWeThFrSa 1:00AM - 11:59PM","TBA","06/01/2009 - 08/22/2009","","","","","","","","","","","","","Federal Taxation II","",Open,13,24,0,""
10025,ALAR,501,3045,Lecture,"1","Craig Barton","MoTuWeThFr 2:00PM - 6:00PM","Campbell Hall 302","07/14/2009 - 08/14/2009","Staff","MoTuWeThFr 2:00PM - 6:00PM","TBA","07/14/2009 - 08/14/2009","","","","","","","","","Intro to Design (Institute)","",Open,26,30,0,""
10026,ALAR,502,3046,Lecture,"1","Kristina Hill","MoTuWeThFr 2:00PM - 6:00PM","Campbell Hall 302","07/14/2009 - 08/14/2009","Staff","MoTuWeThFr 2:00PM - 6:00PM","TBA","07/14/2009 - 08/14/2009","","","","","","","","","Intro Des Graphics (Institute)","",Open,26,30,0,""
10027,ALAR,503,3047,Lecture,"1","Staff","TuTh 2:00PM - 6:00PM","Campbell Hall 302","07/14/2009 - 08/14/2009","","","","","","","","","","","","","Intro Theory&Analy (Institute)","",Open,26,30,0,""
10007,AM,693,2294,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Independent Study","",Closed,0,15,0,""
10008,AM,695,2295,Independent Study,"1 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Supervised Project Research","",Closed,0,15,0,""
10009,AM,793,2296,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Independent Study","",Closed,0,15,0,""
10010,AM,795,2246,Independent Study,"1 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Supervised Project Research","",Closed,0,15,0,""
10011,AM,895,2297,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Supervised Project Research","",Closed,0,15,0,""
10012,AM,897,2298,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Graduate Teaching Instruction","",Closed,0,15,0,""
10013,AM,898,2299,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Masters Thesis Research","",Closed,0,15,0,""
10014,AM,997,2300,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Graduate Teaching Instruction","",Closed,0,15,0,""
10015,AM,999,2301,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Research","",Closed,0,15,0,""
10028,ANTH,101,103V,Lecture,"3","Asiya Malik","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 323","06/09/2009 - 07/07/2009","","","","","","","","","","","","","Introduction to Anthropology","",Closed,19,18,0,""
10029,ANTH,205,401S,Lecture,"3","M. Menair","MoTuWeThFr 8:00AM - 10:15AM","New Cabell Hall 323","07/09/2009 - 08/06/2009","","","","","","","","","","","","","Non-UVa Transfer/Test Credit","",Closed,20,20,0,""
10030,ANTH,240,002D,Lecture,"3","Adam Harr","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 323","05/11/2009 - 06/05/2009","","","","","","","","","","","","","Language and Culture","",Closed,25,25,0,""
10031,ANTH,256,001H,Lecture,"3","Felistas Osotsi","MoTuWeThFr 10:30AM - 12:45PM","Wilson Hall 140","05/11/2009 - 06/05/2009","","","","","","","","","","","","","Peoples and Cultures of Africa","",Closed,9,20,0,""
11501,ANTH,258,103G,Lecture,"3","Staff","TBA","TBA","TBA","","","","","","","","","","","","","Fertility and the Future","",Open,7,30,0,""
10032,ANTH,282,1015,Lecture,"3","Patricia Wattenmaker","MoTuWeThFr 1:00PM - 3:15PM","Wilson Hall 140","06/09/2009 - 07/07/2009","","","","","","","","","","","","","Rise of Civilization","",Open,15,20,0,""
10033,ANTH,292,401T,Lecture,"3","Lydia Marshall","MoTuWeThFr 10:30AM - 12:45PM","Wilson Hall 140","07/09/2009 - 08/06/2009","","","","","","","","","","","","","New World Civilizations","",Open,16,20,0,""
10034,ANTH,302,102E,Lecture,"3","Wende Marshall","MoTuWeThFr 1:00PM - 3:15PM","Mcleod Hall 2014","06/09/2009 - 07/07/2009","","","","","","","","","","","","","Top:Prin Sociocultural Anlys","",Closed,22,20,0,""
11264,ANTH,369Z,598N,Lecture,"6","George Mentore","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/11/2009 - 08/06/2009","","","","","","","","","","","","","Guiana Amerindian Studies","",Open,6,20,0,""
10035,ANTH,381,002E,Lecture,"6","Elizabeth Bollwerk","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/11/2009 - 06/19/2009","","","","","","","","","","","","","Field Methods in Archaeology","",Closed,7,25,0,""
10036,ANTH,461Z,597A,Lecture,"3","Robert Swap","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/19/2009 - 06/14/2009","","","","","","","","","","","","","People, Culture & Env S Africa","",Open,14,20,0,""
10039,ANTH,496,001U,Independent Study,"1 - 6","Staff","TBA","TBA","05/11/2009 - 06/05/2009","","","","","","","","","","","","","Indep Study in Anthropology","",Closed,1,15,0,""
10037,ANTH,496,1020,Independent Study,"1 - 6","Staff","TBA","TBA","06/09/2009 - 07/07/2009","","","","","","","","","","","","","Indep Study in Anthropology","",Closed,0,15,0,""
10038,ANTH,496,4018,Independent Study,"1 - 6","Staff","TBA","TBA","07/09/2009 - 08/06/2009","","","","","","","","","","","","","Indep Study in Anthropology","",Closed,1,15,0,""
10041,ANTH,589,2012,Lecture,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Topics in Archaeology","",Closed,0,15,0,""
10040,ANTH,589,6000,Lecture,"6","Fraser Neiman","MoTuWeThFr 8:00AM - 4:30PM","TBA","06/01/2009 - 07/10/2009","","","","","","","","","","","","","Topics in Archaeology","",Open,12,15,0,""
10042,ANTH,589,6001,Lecture,"6","William Kelso","MoTuWeThFr 8:00AM - 4:00PM","TBA","06/01/2009 - 07/10/2009","","","","","","","","","","","","","Topics in Archaeology","",Open,8,15,0,""
10043,ANTH,589,6002,Lecture,"5","Eric Proebsting, Jack Gary","MoTuWeThFr 8:00AM - 4:00PM","TBA","06/08/2009 - 07/10/2009","Staff","MoTuWeThFr 8:00AM - 4:00PM","TBA","06/08/2009 - 07/10/2009","","","","","","","","","Topics in Archaeology","",Closed,7,15,0,""
10044,ANTH,595,2013,Independent Study,"2","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Independent Study","",Open,0,40,0,""
10045,ANTH,898,2014,Independent Study,"1 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Non-Topical Research","",Closed,0,15,0,""
10046,ANTH,901,2015,Independent Study,"1 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Directed Readings","",Closed,0,20,0,""
10047,ANTH,999,2016,Independent Study,"1 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Non-Topical Research","",Closed,1,15,0,""
10048,APMA,109,301A,Lecture,"4","William Johnson","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 011","06/15/2009 - 07/24/2009","","","","","","","","","","","","","Single Variable Calculus I","",Closed,21,35,0,""
10049,APMA,212,201A,Lecture,"4","Manouchehr Mohajeri","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 005","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Multivariate Calculus","",Open,19,30,0,""
10050,APMA,213,2135,Lecture,"4","Bernard Fulgham","MoTuWeThFr 9:15AM - 10:15AM","Olsson Hall 005","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Ordinary Differentl Equations","",Closed,31,30,0,""
10051,APMA,308,201W,Lecture,"3","Paramasamy Karuppuchamy","MoTuWeThFr 1:00PM - 2:00PM","Olsson Hall 005","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Linear Algebra","",Open,24,30,0,""
10052,APMA,310,201B,Lecture,"3","Thomas Baber","MoTuWeThFr 9:15AM - 10:15AM","Olsson Hall 009","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Probability","",Open,11,30,0,""
10053,APMA,311,2090,Lecture,"3","Norman Beil","MoTuWeThFr 11:45AM - 12:45PM","Olsson Hall 009","06/09/2009 - 08/06/2009","","","","","","","","","","","","","App Probability & Statistics","",Closed,12,30,0,""
10054,APMA,312,201X,Lecture,"3","James Lark","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 009","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Statistics","",Open,8,20,0,""
10055,APMA,693,2286,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Independent Study","",Closed,0,15,0,""
10056,APMA,695,2287,Independent Study,"1 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Supervised Project Research","",Closed,0,15,0,""
10057,APMA,793,2288,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Independent Study","",Closed,0,15,0,""
10058,APMA,795,2252,Independent Study,"1 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Supervised Project Research","",Closed,0,15,0,""
10059,APMA,895,2289,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Supervised Project Research","",Closed,0,15,0,""
10060,APMA,897,2290,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Graduate Teaching Instruction","",Closed,0,15,0,""
10061,APMA,898,2291,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Thesis","",Closed,0,15,0,""
10062,APMA,997,2292,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Graduate Teaching Instruction","",Closed,0,15,0,""
10063,APMA,999,2293,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Dissertation","",Closed,0,15,0,""
10072,ARAB,101,001Y,Lecture,"4","Shadi Bayadsy","MoTuWeThFr 9:00AM - 12:30PM","New Cabell Hall 332","05/11/2009 - 06/05/2009","","","","","","","","","","","","","Elementary Arabic I","",Closed,9,20,0,""
11503,ARAB,101Z,598Y,Lecture,"3","Majida Bargach","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/11/2009 - 08/06/2009","","","","","","","","","","","","","Elementary Arabic I","",Open,6,20,0,""
10073,ARAB,102,101G,Lecture,"4","Omima El Araby","MoTuWeThFr 9:00AM - 12:30PM","New Cabell Hall 332","06/09/2009 - 07/07/2009","","","","","","","","","","","","","Elementary Arabic II","",Closed,8,20,0,""
10074,ARAB,201,002N,Lecture,"4","Omima El Araby","MoTuWeThFr 9:00AM - 12:30PM","New Cabell Hall 332","05/11/2009 - 06/05/2009","","","","","","","","","","","","","Intermediate Arabic I","",Open,5,20,0,""
11505,ARAB,201Z,598V,Lecture,"3","Majida Bargach","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/11/2009 - 08/06/2009","","","","","","","","","","","","","Intermediate Arabic I","",Open,5,20,0,""
10075,ARAB,202,104R,Lecture,"4","Shadi Bayadsy","MoTuWeThFr 9:00AM - 12:30PM","New Cabell Hall 332","06/09/2009 - 07/07/2009","","","","","","","","","","","","","Intermediate Arabic II","",Open,7,20,0,""
10076,ARAB,493,203V,Independent Study,"1 - 3","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Independent Study in Arabic","",Closed,0,1,0,""
10077,ARAH,563,6003,Lecture,"3","Daniel Ackermann, Johanna Brown, June Lucas, Louis Nelson, Michele Doyle, Sally Gant, Susan Kern","MoTuWeThFr 8:00AM - 4:00PM","TBA","07/06/2009 - 07/31/2009","","","","","","","","","","","","","Southern Hist & Material Cult","",Open,15,20,0,""
10078,ARCH,201,1011,Lecture,"6","Staff","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","06/09/2009 - 07/07/2009","","","","","","","","","","","","","Intro to Architectural Dsgn I","",Closed,10,25,0,""
10079,ARCH,202,403H,Independent Study,"6","Staff","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","07/09/2009 - 08/06/2009","","","","","","","","","","","","","Intro to Architectural Dsgn II","",Closed,10,25,0,""
10080,ARCH,204,403K,Lecture,"3","Staff","MoTuWeThFr 2:00PM - 6:00PM","Campbell Hall 301","07/09/2009 - 08/06/2009","","","","","","","","","","","","","Intro to Architectural Design","",Closed,3,18,0,""
11517,ARCH,489,201N,Independent Study,"1 - 4","Staff","TBA","TBA","TBA","","","","","","","","","","","","","Adv Independent Research","",Open,1,15,0,""
10081,ARCH,500Z,5973,Lecture,"3","Charles Menefee","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/21/2009 - 06/26/2009","","","","","","","","","","","","","Vincenza Program","",Closed,20,20,0,""
11518,ARCH,598,201Q,Independent Study,"1 - 6","Staff","TBA","TBA","TBA","","","","","","","","","","","","","Independent Study","",Open,0,15,0,""
10082,ARCH,852,2443,Independent Study,"1 - 3","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Independent Study","",Closed,0,15,0,""
10064,ARH,112,4006,Lecture,"3","Lisa Reilly","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 215","07/09/2009 - 08/06/2009","","","","","","","","","","","","","History of Architecture","",Open,6,20,0,""
10065,ARH,556Z,5986,Lecture,"3","Louis Nelson","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/20/2009 - 06/18/2009","","","","","","","","","","","","","Falmouth Field School","",Open,20,25,0,""
11222,ARH,599Z,598M,Lecture,"3","Louis Nelson","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/11/2009 - 08/06/2009","","","","","","","","","","","","","Indep Study Arch History-China","",Open,0,30,0,""
10066,ARH,599Z,5987,Lecture,"3","Louis Nelson","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/20/2009 - 06/18/2009","","","","","","","","","","","","","Indep Study Arch History-China","",Closed,0,25,0,""
10068,ARH,897,2002,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Individual Research","",Closed,0,15,0,""
10067,ARH,897,2079,Independent Study,"1 - 3","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Individual Research","",Closed,0,15,0,""
10069,ARH,898,202B,Independent Study,"3 - 6","Staff","TBA","TBA","06/09/2009 - 08/06/2009","","","","","","","","","","","","","Independent Research","",Closed,0,25,0,""
