ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,WaitlistLimit,Description,Disciplines,Cost
10134,AAS,2224,001,SEM,3,Lisa Shutt,motuwethfrsa 10:00am - 3:30pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Black Femininities and Masculinities in the US Media,,Open,8,12,0,10,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender.","Artistic, Interpretive, & Philosophical Inquiry$Social & Economic Systems",
10162,ARTH,2052,001,Lecture,3,Anastasia Dakouri-Hild,motuwethfrsa 10:00am - 2:00pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Ancient Egypt,,Open,6,20,0,5,"Survey of Egyptian art and architecture (Predynastic-New Kingdom, 4000-1100 BC). The course introduces students to the great monuments and works of art, and to the beliefs that engendered them. While the focus is on pharaonic 'visual' culture, neglected 'others' (women, cross-gendered persons, foreigners, commoners) and their material/visual cultures are brought to attention to provide a nuanced understanding of Egyptian society and culture.","Artistic, Interpretive, & Philosophical Inquiry$Historical Perspectives",
10106,ARTS,2560,001,STO,3,Akemi Ohira,motuwethfrsa 10:00am - 3:30pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Special Topics in Printmaking: Works On/Of Paper,Works On Paper,Open,11,15,0,5,"This studio class explores works on paper, including monotype, monoprint, mixed media and paper construction. There's no prerequisite for this class.","Artistic, Interpretive, & Philosophical Inquiry",
10126,ARTS,2610,001,STO,3,Maria Villanueva,motuwethfrsa 9:30am - 3:00pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Drawing I,,Open,7,16,0,10,"A continued introductory study of the materials and techniques of drawing. Provides training in the coordination of hand and eye and encourages development of visual analysis. Emphasizes understanding form, space, light and composition.","Artistic, Interpretive, & Philosophical Inquiry",
10144,BIOL,4559,001,Lecture,3,Antoine Perrier,motuwethfrsa 10:00am - 3:30pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,New Course in Biology,Plants and Global Warming,Open,9,15,0,5,New course in the subject of biology.,,
10119,BIOL,4585,001,SEM,3,Benedict Lenhart,motuwethfrsa 10:00am - 3:30pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Selected Topics in Biology,Genetics of Metabolic Health,Open,18,20,0,10,Periodic seminar offerings to provide intensive study of the scientific literature in focused areas of Biology.,,
10153,BME,6550,001,Lecture,2,Lloyd McMahon,motuwethfrsa 10:30am - 12:00pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Special Topics in Biomedical Engineering,Biomedical Design Practices,Open,13,17,0,0,"Applies engineering science, design methods, and system analysis to developing areas and current problems in biomedical engineering. Topics vary by semester.",,
10156,CS,4993,001,IND,1,Matthew Dwyer,mo 12:00am - 12:00am,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Independent Study,,Closed,1,0,0,0,"In-depth study of a computer science or computer engineering problem by an individual student in close consultation with departmental faculty. The study is often either a thorough analysis of an abstract computer science problem or the design, implementation, and analysis of a computer system (software or hardware). Prerequisite: Instructor permission.",,
10125,DS,4002,001,Lecture,3,Brian Wright,motuwethfrsa 10:00am - 3:30pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Data Science Project,,Open,18,25,0,10,The data science project course will allow students to take the knowledge gained in each of the four required courses and apply them to a data driven problem. Students will work in groups and can either choose a project provided by SDS faculty or can propose a project for approval. Upon completion of the course students will be required to present their results and publish project content to an open forum.,,
10105,ENCW,4830,001,WKS,3,Lisa Spaar,motuwethfrsa 10:00am - 4:00pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Advanced Poetry Writing I,,Open,8,12,0,0,"For advanced students with prior experience in writing poetry. Student work is discussed in class and in individual conferences. Reading in contemporary poetry is also assigned. May be repeated with different instructor. For instructions on how to apply to this class, see creativewriting.virginia.edu/ugrad.","Artistic, Interpretive, & Philosophical Inquiry",
10128,ENGL,3559,001,Lecture,3,Cristina Griffin,motuwethfrsa 10:00am - 3:30pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,New Course in English Literature,History of Romance,Open,10,15,0,10,"This course provides the opportunity to offer a new topic in the subject of English Literature. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.","Artistic, Interpretive, & Philosophical Inquiry",
10123,ENWR,3500,001,SEM,3,Rhiannon Goad,motuwethfrsa 10:00am - 3:30pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Topics in Advanced Writing & Rhetoric,Rhetoric of Documentary Films,Open,9,20,0,10,"This course provides the opportunity to offer a new, advanced topic in the subject area of writing and rhetoric. For more details on this class, please visit the department website at http://engl.virginia.edu/courses.","Artistic, Interpretive, & Philosophical Inquiry$Second Writing",
10143,ENWR,3559,001,SEM,3,"Stephen Parks, Srda Popovic",motuwethfrsa 10:00am - 3:45pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,New Course in Writing and Rhetoric,Rebuilding (&Expndg) Democracy,Open,13,15,0,5,"This course provides the opportunity to offer a new topic in the subject area of academic, professional, and creative writing. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.",,
10139,EVSC,2850,001,Lecture,3,Lauren Simkins,motuwethfrsa 10:00am - 3:30pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Polar Environments,,Open,14,20,0,10,"This course explores the unique aspects of polar systems (Arctic and Antarctic) and lessons for the larger globe by integrating relevant aspects of climate science, geology, glaciology and cryosphere science, oceanography, ecology, and human-dimensions.","Chemical, Mathematical, and Physical Universe",
10145,EVSC,4050,001,Lecture,3,Stephen Macko,motuwethfrsa 10:00am - 3:30pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Topics in Oceanography,,Open,7,20,0,0,Introduces oceanography together with a survey of marine resources and the scientific bases for their management. Prerequisite: One year college-level science.,"Chemical, Mathematical, and Physical Universe$Living Systems",
10159,EVSC,5050,001,Lecture,3,Stephen Macko,motuwethfrsa 10:00am - 3:30pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Advanced Oceanography,,Open,7,20,0,0,"The principles of oceanography with views on real world applications, especially to the teaching of this class at the high school as well. Prerequisite: At least one year of college-level chemisty or physics or instructor permission..",,
10021,GBUS,7900,001,Lecture,1.5,"Gopika Spaenle, Jennifer Windus, Jim Collins",th 7:00pm - 9:00pm,***,01/02/2025 - 01/02/2025,"Gopika Spaenle, Jennifer Windus, Jim Collins",tuweth 7:00pm - 9:00pm,***,01/07/2025 - 01/09/2025,"Gopika Spaenle, Jennifer Windus, Jim Collins",sa 9:00am - 12:00pm,***,01/11/2025 - 01/11/2025,,,,,Professional Advancement Course,,Open,72,100,0,0,This course is designed to provide the skills and perspectives MBA for Executives students need to advance their careers. There are two components: a highly individualized coaching experience and a series of cohort-based experiences intended to develop leadership skills. Prerequisites: Restricted to Darden Students,,
10022,GBUS,7900,002,Lecture,1.5,"Gopika Spaenle, Jennifer Windus, Jim Collins",th 7:00pm - 9:00pm,***,01/02/2025 - 01/02/2025,"Gopika Spaenle, Jennifer Windus, Jim Collins",tuweth 7:00pm - 9:00pm,***,01/07/2025 - 01/09/2025,"Gopika Spaenle, Jennifer Windus, Jim Collins",sa 9:00am - 12:30pm,***,01/11/2025 - 01/11/2025,,,,,Professional Advancement Course,,Closed,114,100,0,0,This course is designed to provide the skills and perspectives MBA for Executives students need to advance their careers. There are two components: a highly individualized coaching experience and a series of cohort-based experiences intended to develop leadership skills. Prerequisites: Restricted to Darden Students,,
10020,GBUS,8015,001,Lecture,1.5,Manuel Baucells,thfr 6:00pm - 8:45pm,***,01/02/2025 - 01/03/2025,Manuel Baucells,motuwethfr 6:00pm - 8:45pm,***,01/06/2025 - 01/10/2025,,,,,,,,,Behavioral Decision Making,,Open,59,150,0,0,"In this course, students will examine many behavioral anomalies and, more important, explore some frames that explain these apparently irrational behaviors. The emphasis of the course is on solving practical business problems.",,
10019,GBUS,8052,001,Lecture,1.5,Kim Whitler,motuwethfr 4:00pm - 6:45pm,***,01/06/2025 - 01/10/2025,,,,,,,,,,,,,Marketing Leadership,,Open,66,72,0,0,"Leading a marketing organization presents a unique set of leadership challenges, which every aspiring marketing leader will need to understand and manage as they navigate careers as leaders in the most dynamic function in the modern business enterprise -- marketing.",,
10017,GBUS,8058,001,Lecture,1.5,"Ming-Jer Chen, Varshik Nimmagadda",motuwethfr 8:00am - 5:00pm,***,01/06/2025 - 01/10/2025,,,,,,,,,,,,,"Disruption, Response, and Transformation",,Open,19,120,0,0,"This course focuses on disruption as a source of transformational change within a firm, an industry, or society. Disruptions generally require organizations to significantly change their operations, resource allocation, or business model. Examining disruption through three different lenses--customer (including technology), societal, and political--the course teaches students how to harness disturbances to drive positive change at their organizations.",,
10018,GBUS,8391,001,Lecture,1.5,To Be Announced,tba,***,TBA,,,,,,,,,,,,,Strategic Costing,,Open,0,120,0,0,Strategic costing is concerned with use of internal cost accounting information to plan and evaluate strategic operations and interactions with stakeholders of the firm. The focus is on planning and strategic decision-making by the organization and on the accounting systems that managers have to assist them in their decisions about resource allocation and performance evaluation. The course is intended as an extension of foundational cost accounting.,,
10016,GBUS,8500,001,Lecture,1.5 - 3,"R. Marc Johnson, Scott Beardsley",motuwethfr 8:00am - 5:00pm,***,01/06/2025 - 01/10/2025,,,,,,,,,,,,,Special Topics Seminar,The CEO in the 21st Century,Open,63,73,0,0,Each seminar is a course of study for students with special interests in business administration topics not currently included in the normal course offerings of the MBA Program. The seminar topics should be consistent with the objectives of the Second Year Program.,,
10015,GBUS,8698,001,IND,1,"Les Alexander, Timothy Laseter",tba,***,01/02/2025 - 01/12/2025,,,,,,,,,,,,,Global Client Projects II,,Open,11,30,0,0,"Provide an opportunity for students to describe a specific business problem clearly, succinctly, and in a manner that fosters reflection, discussion, and learning. Challenge students to analyze and resolve an unstructured managerial problem and offer them an opportunity to work closely with a faculty member. Produce a case study of quality, focus suitable for inclusion in the MBA curriculum, together with a written analysis.",,
10101,GBUS,8698,002,IND,1,Timothy Laseter,tba,***,01/02/2025 - 01/12/2025,,,,,,,,,,,,,Global Client Projects II,,Open,16,100,0,0,"Provide an opportunity for students to describe a specific business problem clearly, succinctly, and in a manner that fosters reflection, discussion, and learning. Challenge students to analyze and resolve an unstructured managerial problem and offer them an opportunity to work closely with a faculty member. Produce a case study of quality, focus suitable for inclusion in the MBA curriculum, together with a written analysis.",,
10136,HIST,2013,001,SEM,3,Jeffrey Rossman,motuwethfrsa 10:00am - 3:30pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Why Did They Kill? Interpreting Genocide and Its Perpetrators,,Open,24,30,0,10,"Grounded in discussion and analysis of primary sources from twentieth-century genocides, key works of scholarship, and documentary films, this course endeavors to understand the complex but tragically recurring process whereby regimes from across the political spectrum implement policies of one-sided mass killing and transform ordinary people into genocidal killers.","Artistic, Interpretive, & Philosophical Inquiry$Historical Perspectives",
10099,ISHU,3183,101,Lecture,3,Charlotte Matthews,motuwethfr 6:00pm - 10:00pm,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Writing the Story of Your Life: Creative Nonfiction,,Open,19,30,0,0,"Student learns how to bring together the imaginative strategies of fictional story telling with new ways of narrating true, real-life events. Explores how Creative Nonfiction writing allows you to share your stories in compelling ways, helps you write effectively in professional and personal situations, and provides new ways for you to document real-life experiences as they occurred.",,
10100,ISSS,4432,101,Lecture,3,Clair Berube,th 12:01am - 12:02am,***,01/02/2025 - 01/11/2025,,,,,,,,,,,,,Theories of Interpersonal Communication,,Closed,20,0,0,0,"Examines latest research findings in interpersonal communication theories, with a focus on listening, verbal and non-verbal expression, interpersonal conflict, intimate relationships, and workplace communication. Engages students in independent research to apply theoretical constructs to a range of scenarios encountered in professional, social, and relationship settings.",,
10028,LAW,7501,1,Lecture,1,"Eugene Scalia, Paul Mahoney",motuweth 9:00am - 12:00pm,***,01/13/2025 - 01/16/2025,,,,,,,,,,,,,Special Topics in Law Short Course (SC),Agencies in Court (SC),Open,5,16,0,199,Various short topics offered at the Law School.,,
10008,LAW,7600,1,Lecture,1,George Rutherglen,motuweth 9:00am - 12:00pm,***,01/13/2025 - 01/16/2025,,,,,,,,,,,,,Admiralty (SC),,Open,3,16,0,199,"This short course will examine the basic substantive and procedural doctrines in federal maritime law and compare them to analogous doctrines in other areas of law. Among the topics to be covered are: jurisdiction in admiralty, carriage of goods by sea, collision, personal injury and wrongful death, salvage, and piracy.",,
10038,LAW,7610,1,Lecture,1,"Malik Laazouzi, Marie Gore",motuwethfr 9:00am - 11:00am,***,01/08/2025 - 01/15/2025,,,,,,,,,,,,,French Public and Private Law (SC),,Open,18,20,0,0,"This short course will study the various sources of French Law, the French Civil Code, the increasing significance of case law and the impact of the European Convention of Human Rights, Towards a European Civil Code, basic principles of contracts and new directions, key notions on torts (recent trends in case law) and modern trends in family law (spouse, so-called Pacs, effects of foreign polygamy and repudiation in France, inheritance).",,
10037,LAW,7611,1,SEM,1,"Amul Thapar, Andrew Oldham",motuweth 9:00am - 12:00pm,***,01/13/2025 - 01/16/2025,,,,,,,,,,,,,The Great Writ (SC),,Open,11,12,0,199,"Blackstone described the writ of habeas corpus as ""the most celebrated writ in the English law."" Today we call it ""The Great Writ."" In this short course, we will trace the Great Writ from its origins in England to its roll in federal courts today.",,
10007,LAW,7637,1,Lecture,2,Stephen Saltzburg,motuwefrsasu 8:00am - 6:00pm,***,01/03/2025 - 01/08/2025,,,,,,,,,,,,,Trial Advocacy College (SC),,Open,16,50,0,199,"The Trial Advocacy College is a week-long course offered each January through the offices of Virginia Continuing Legal Education (CLE). This advocacy skills, hands-on course is the most advanced advocacy training offered at the law school. Each student gets to practice every aspect of advocacy culminating in a jury trial.",,
10004,LAW,7645,1,Lecture,1,John Setear,motuweth 1:00pm - 4:00pm,***,01/13/2025 - 01/16/2025,,,,,,,,,,,,,Baseball (SC),,Open,14,16,0,199,This course examines the effect of various laws and law-like rules on Major League Baseball. Suitable for non-experts and will include (optional) session aimed at bringing them up to speed.,,
10001,LAW,7692,1,Lecture,1,"Molly Shadel, Paul Devamithran, Susan Sajadi",motuweth 9:00am - 12:00pm,***,01/13/2025 - 01/16/2025,,,,,,,,,,,,,Persuasion (SC),,Open,21,30,0,199,This short course offers a quick but intensive training course in effective verbal communications.,,
10002,LAW,7702,1,Lecture,1,"Quinn Curtis, Rob Masri",motuweth 9:00am - 12:00pm,***,01/13/2025 - 01/16/2025,,,,,,,,,,,,,Legal Practice and the Startup Company: An Inside Look (SC),,Open,12,16,0,199,"This short course will provide students with a unique perspective into the many aspects of a start-up business - from creation and capitalization to IP protection and skills needed for day-to-day operations. Students will engage and explore business planning, entity choice, governance, financing, and exit opportunities.",,
10035,LAW,7706,1,SEM,1,"Danielle Citron, John Woods",motuweth 1:00pm - 4:00pm,***,01/13/2025 - 01/16/2025,,,,,,,,,,,,,Cyber Security and Privacy Boot Camp (SC),,Open,12,16,0,199,This short simulaton course helps prepare students for the nuts and bolts of cyber security and privacy practice.,,
10011,LAW,7762,1,SEM,1,Thomas Frampton,motuweth 9:00am - 12:00pm,***,01/13/2025 - 01/16/2025,,,,,,,,,,,,,Political Prisoners (SC),,Open,8,16,0,199,"This short course will explore the genealogy and contested contemporary use of the category ""political prisoner.""",,
10031,LAW,7795,1,Lecture,1,"Dotan Oliar, William Charron",motuweth 1:00pm - 4:00pm,***,01/13/2025 - 01/16/2025,,,,,,,,,,,,,Art Law (SC),,Open,8,16,0,199,"This short course will introduce students to the practice of ""art law,' which lies at the intersection of several bodies of law. Contract doctrines such as meetings of minds, mistakes of fact, warranties, and good faith will be explored. The Uniform Commercial Code, which is the primary regulatory schema in the U.S. governing disputes over art transactions, including claims of looted art and fake art, will also be studied.",,
10032,LAW,7797,1,Lecture,1,"Andrew Hayashi, Howard Wachtel",motuweth 9:00am - 12:00pm,***,01/13/2025 - 01/16/2025,,,,,,,,,,,,,Economic Statecraft and Public International Law (SC),,Open,10,14,0,199,"This course will examine the legal tools and frameworks available to United States government policymakers in dealing with threats from states and non-state actors. These tools -- most notably sanctions -- allow the government to use coercive measures to promote peace and security, further foreign policy objectives, and stem the rise of terrorism.",,
10033,LAW,7823,1,SEM,1,"Anne Coughlin, Naomi Cahn",motuweth 9:00am - 12:00pm,***,01/13/2025 - 01/16/2025,,,,,,,,,,,,,Reproductive Rights and Justice (SC),,Open,15,16,0,199,"This short course explores Reproductive Justice as a paradigm for understanding reproductive oppression -- that is, the subordination of individuals through their bodies, sexualities, and abilities to reproduce.",,
10152,LAW,8829,1,PRA,1,A. Ryan,tba,***,01/02/2025 - 01/18/2025,,,,,,,,,,,,,JT Externship: Field Experience (SC),,Closed,1,1,0,0,"This field experience is one part of a two-part externship combining academic study and work experience under the supervision of a faculty member and an educational, charitable, governmental or nonprofit host organization.",,
10013,LAW,8830,1,IND,1,A. Ryan,tba,***,01/02/2025 - 01/18/2025,,,,,,,,,,,,,JT Externship: Directed Study (SC),,Closed,1,1,0,0,"This directed study is one part of a two-part externship combining academic study and work experience under the supervision of a faculty member and an educational, charitable, governmental or nonprofit host organization.",,
