ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
12499,AAS,150,1,Lecture,"0","Kwame Otu","MoTuWeTh 11:00am - 12:00pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Special Topics in African American Studies","Africa is People",Open,9,18,0,""
11290,AAS,2224,001,SEM,"3","Lisa Shutt","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","05/24/2021 - 06/16/2021","","","","","","","","","","","","","Black Femininities and Masculinities in the US Media","",Open,18,20,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
11291,AAS,2224,002,SEM,"3","Lisa Shutt","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Black Femininities and Masculinities in the US Media","",Open,9,20,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
11304,AAS,2559,001,SEM,"3","Kwame Otu","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","05/24/2021 - 06/16/2021","","","","","","","","","","","","","New Course in African and African American Studies","Sensing Africa",Open,15,20,0,"New course in the subject of African and African American Studies"
11305,AAS,2559,002,SEM,"3","Anne Rotich","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","New Course in African and African American Studies","Women Leaders in Africa",Open,4,20,0,"New course in the subject of African and African American Studies"
10148,ACCT,2010,701,Lecture,"3","Marshall Kasten","Mo 1:00am - 1:01am","Web-Based Course-No class mtgs","05/24/2021 - 08/13/2021","","","","","","","","","","","","","Introductory Accounting I","",Open,21,24,0,""
10149,ACCT,2010,702,Lecture,"3","Gary Brooks","Mo 6:30pm - 9:30pm","Web-Based Course-No class mtgs","05/24/2021 - 08/09/2021","","","","","","","","","","","","","Introductory Accounting I","",Open,18,24,0,""
10150,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30pm - 9:30pm","Web-Based Course-No class mtgs","05/24/2021 - 08/09/2021","","","","","","","","","","","","","Introductory Accounting II","",Open,20,24,0,""
10151,ACCT,3110,701,Lecture,"3","Leon Hutton","Mo 6:30pm - 9:30pm","Web-Based Course-No class mtgs","05/24/2021 - 08/09/2021","","","","","","","","","","","","","Intermediate Accounting I","",Open,18,24,0,""
10152,ACCT,3120,701,Lecture,"3","Nammy Lee","Mo 6:30pm - 9:30pm","Web-Based Course-No class mtgs","05/24/2021 - 08/09/2021","","","","","","","","","","","","","Intermediate Accounting II","",Open,10,24,0,""
10153,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30pm - 9:30pm","Web-Based Course-No class mtgs","05/25/2021 - 08/10/2021","","","","","","","","","","","","","Cost Accounting","",Open,5,24,0,""
10154,ACCT,4450,701,Lecture,"3","Todd Falcone","We 6:30pm - 9:30pm","Web-Based Course-No class mtgs","05/26/2021 - 08/11/2021","","","","","","","","","","","","","Federal Taxation I","",Open,9,24,0,""
10155,ACCT,5210,701,Lecture,"3","Richard Evans","Th 6:30pm - 9:30pm","Web-Based Course-No class mtgs","05/27/2021 - 08/12/2021","","","","","","","","","","","","","Introductory Auditing","",Open,10,24,0,""
10156,ACCT,5460,701,Lecture,"3","Todd Falcone","Tu 6:30pm - 9:30pm","Web-Based Course-No class mtgs","05/25/2021 - 08/10/2021","","","","","","","","","","","","","Federal Taxation II","",Open,16,24,0,""
10157,ACCT,5480,701,Lecture,"3","Michael Hood","Th 6:30pm - 9:30pm","Web-Based Course-No class mtgs","05/27/2021 - 08/12/2021","","","","","","","","","","","","","Corporate Governance and Ethics","",Open,7,24,0,""
10158,ACCT,5710,701,Lecture,"3","Roger Pao","Mo 1:20am - 1:21am","Web-Based Course-No class mtgs","05/24/2021 - 08/13/2021","","","","","","","","","","","","","Business Law","",Open,10,24,0,""
11338,AMST,2001,001,Lecture,"3","Matthew Hedstrom, Stephen Betts","MoTuWeThFr 10:30am - 11:20am","Web-Based Course","05/24/2021 - 06/16/2021","","","","","","","","","","","","","Introduction to American Studies","",Closed,26,30,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
11340,AMST,3559,001,Lecture,"3","Sylvia Chong","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","New Course in American Studies","American Film",Open,21,30,0,"New Course in the subject of American Studies"
12605,AMST,4993,001,IND,"1 - 3","Lisa Cacho","TBA","TBA","06/21/2021 - 07/16/2021","","","","","","","","","","","","","Independent Study","",Open,0,1,0,""
12607,AMST,4993,002,IND,"1 - 3","Lisa Cacho","TBA","TBA","06/21/2021 - 07/16/2021","","","","","","","","","","","","","Independent Study","",Open,0,1,0,""
11958,ANTH,1010,001,Lecture,"3","Anna Eisenstein","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","06/21/2021 - 07/16/2021","","","","","","","","","","","","","Introduction to Anthropology","",Open,25,35,0,""
11965,ANTH,1010,002,Lecture,"3","Nichole Fournier","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Introduction to Anthropology","",Open,16,35,0,""
11966,ANTH,2250,001,Lecture,"3","Karim Mata","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Nationalism, Racism, Multiculturalism","",Open,15,30,0,""
11956,ANTH,2280,001,Lecture,"3","Anna Eisenstein","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","05/24/2021 - 06/16/2021","","","","","","","","","","","","","Medical Anthropology","",Open,33,35,0,""
11967,ANTH,2280,002,Lecture,"3","Richard Karl Deang","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Medical Anthropology","",Open,17,35,0,""
11979,ANTH,2557,1,Lecture,"3","Mingyun Zhang","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Culture Through Film","",Open,10,30,0,""
12207,ANTH,2589,100,Lecture,"3","Erin Eaker, Rachel Most","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","05/24/2021 - 06/06/2021","","","","","","","","","","","","","Topics in Archaeology","The Past, Present, and Future of Humankind",Open,7,40,0,""
11964,ANTH,3240,001,Lecture,"3","Dionisios Kavadias","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","06/21/2021 - 07/16/2021","","","","","","","","","","","","","The Anthropology of Food","",Open,23,30,0,""
12525,ANTH,8999,001,IND,"1 - 12","Richard Handler","TBA","TBA","05/24/2021 - 06/16/2021","","","","","","","","","","","","","Non-Topical Research","",Open,0,30,0,""
12526,ANTH,8999,001,IND,"1 - 12","Richard Handler","TBA","TBA","06/21/2021 - 07/16/2021","","","","","","","","","","","","","Non-Topical Research","",Open,0,30,0,""
12527,ANTH,8999,001,IND,"1 - 12","Richard Handler","TBA","TBA","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Non-Topical Research","",Open,0,30,0,""
10397,APMA,2120,001,Lecture,"4","Manouchehr Mohajeri","MoTuWeThFr 10:00am - 1:00pm","Web-Based Course","05/24/2021 - 06/16/2021","","","","","","","","","","","","","Multivariable Calculus","",Open,51,55,0,"Topics include vectors in three-space and vector valued functions. The multivariate calculus, including partial differentiation, multiple integrals, line and surface integrals, and the vector calculus, including Green's theorem, the divergence theorem, and Stokes's theorem. Applications. Prerequisite: APMA 1110."
11065,APMA,2130,001,Lecture,"4","Julie Spencer","TBA","TBA","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Ordinary Differential Equations","",Open,23,35,0,"First order differential equations, second order and higher order linear differential equations, reduction of order, undetermined coefficients, variation of parameters, series solutions, Laplace transforms, linear systems of first order differential equations and the associated matrix theory, numerical methods. Applications. Prerequisite: APMA 2120 or equivalent."
10399,APMA,3080,001,Lecture,"3","James Lark","MoTuWeThFr 9:00am - 10:00am","Web-Based Course","06/21/2021 - 08/12/2021","","","","","","","","","","","","","Linear Algebra","",Open,15,35,0,"Analyzes systems of linear equations; vector spaces; linear dependence; bases; dimension; linear mappings; matrices; determinants; eigenvalues; eigenvectors; coordinates; diagonalization; inner product spaces. Prerequisite: APMA 2120 or equivalent."
10400,APMA,3100,001,Lecture,"3","Megan Ryals","MoTuWeThFr 10:00am - 12:15pm","Web-Based Course","05/24/2021 - 06/16/2021","","","","","","","","","","","","","Probability","",Open,27,35,0,"A calculus-based introduction to probability theory and its applications in engineering and applied science. Includes counting techniques, conditional probability, independence, discrete and continuous random variables, probability distribution functions, expected value and variance, joint distributions, covariance, correlation, the Central Limit theorem, the Poisson process, an introduction to statistical inference. Prerequisite: APMA 2120 or equivalent."
12158,APMA,3100,002,Lecture,"3","Christian Hellings","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","06/21/2021 - 07/16/2021","","","","","","","","","","","","","Probability","",Open,16,35,0,""
10996,APMA,3110,001,Lecture,"3","Hui Ma","MoTuWeThFr 10:00am - 12:15pm","Web-Based Course","05/24/2021 - 06/16/2021","","","","","","","","","","","","","Applied Statistics and Probability","",Closed,41,45,0,"Examines variability and its impact on decision-making. Introduces students to basic concepts of probability, such as random variables, probability distribution functions, and the central limit theorem. Based on this foundation, the course then emphasizes applied statistics covering topics such as descriptive statistics, statistical inference, confidence intervals, hypothesis testing, correlation, regression modeling, statistical quality control. Students cannot receive credit for both this course and APMA 3120. Prerequisite: APMA 2120 or equivalent."
10988,APMA,3120,001,Lecture,"3","James Lark","MoTuWeThFr 10:30am - 11:30am","Web-Based Course","06/21/2021 - 08/12/2021","","","","","","","","","","","","","Statistics","",Open,8,35,0,"Includes confidence interval and point estimation methods, hypothesis testing for single samples, inference procedures for single-sample and two-sample studies, single and multifactor analysis of variance techniques, linear and non-linear regression and correlation, and using Minitab for large data sets. Students cannot receive credit for both this course and APMA 3110. Prerequisite: APMA 3100."
11023,APMA,3340,001,Lecture,"3","Diana Morris","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","05/24/2021 - 06/16/2021","","","","","","","","","","","","","Complex Variables with Applications","",Open,23,35,0,"Topics include analytic functions, Cauchy Theorems and formulas, power series, Taylor and Laurent series, complex integration, residue theorem, conformal mapping, and Laplace transforms. Prerequisite: APMA 2120 or equivalent."
12063,APMA,5070,001,Lecture,"3","Gianluca Guadagni","MoTuWeThFr 9:00am - 11:00am","Web-Based Course","05/24/2021 - 06/16/2021","","","","","","","","","","","","","Numerical Methods","",Open,4,35,0,""
12138,ARAB,2016,001,Lecture,"4","Bilal Humeidan","MoTuWeThFr 9:00am - 2:30pm","Web-Based Course","06/21/2021 - 07/16/2021","","","","","","","","","","","","","Intensive Intermediate Arabic","",Open,6,15,0,""
12353,ARAB,2026,001,Lecture,"4","Bilal Humeidan","MoTuWeThFr 9:00am - 3:30pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Intensive Intermediate Arabic","",Open,7,15,0,""
12140,ARAB,216,001,Lecture,"0","Bilal Humeidan","MoTuWeThFr 9:00am - 2:30pm","Web-Based Course","06/21/2021 - 07/16/2021","","","","","","","","","","","","","Intensive Intermediate Arabic","",Open,2,15,0,""
12154,ARAB,2256,002,Lecture,"0.5","Bilal Humeidan","TBA","TBA","06/21/2021 - 07/16/2021","","","","","","","","","","","","","Introduction to Colloquial Arabic I","",Open,5,15,0,""
12139,ARAB,226,001,Lecture,"0","Bilal Humeidan","MoTuWeThFr 9:00am - 3:30pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Intensive Intermediate Arabic","",Open,2,15,0,""
12156,ARAB,2266,002,Lecture,"0.5","Bilal Humeidan","MoTuWeThFr 12:00pm - 1:00pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Introduction to Colloquial Arabic II","",Open,6,15,0,""
12155,ARAB,256,001,Lecture,"0","Bilal Humeidan","TBA","TBA","06/21/2021 - 07/16/2021","","","","","","","","","","","","","Introduction to Levantine Arabic-I","",Open,2,15,0,""
12157,ARAB,266,001,Lecture,"0","Bilal Humeidan","MoTuWeThFr 12:00pm - 1:00pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Introduction to Levantine Arabic-II","",Open,2,15,0,""
12409,ARAH,5753,001,SEM,"3","Daniel Ackermann","MoTuWeThFr 8:00am - 8:00pm","Contact Department","06/21/2021 - 07/16/2021","","","","","","","","","","","","","Southern History and Material Culture","",Open,9,30,0,""
12606,ARAH,9999,001,IND,"1 - 12","Dorothy Wong","TBA","TBA","06/21/2021 - 08/12/2021","","","","","","","","","","","","","Non-Topical Research, Doctoral","",Open,1,8,0,""
10186,ARCH,1031,001,STO,"4","Kyle Schumann","MoTuWeThFr 1:00pm - 6:00pm","Web-Based Course","07/19/2021 - 08/12/2021","","","","","","","","","","","","","Summer Foundation Studio I","",Open,6,20,0,"The studio course introduces architecture, urban and environmental planning, and architectural history to the built environment related to scales from the body to buildings, landscapes, and cities.Students explore comprehensive and foundational design principles, skill sets, and critical thinking."
