ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,WaitlistLimit,Description,Disciplines,Cost
10103,AAS,2224,001,SEM,3,Lisa Shutt,motuwethfr 10:00am - 3:00pm,***,01/03/2022 - 01/14/2022,,,,,,,,,,,,,Black Femininities and Masculinities in the US Media,,Open,14,15,0,10,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender.","Artistic, Interpretive, & Philosophical Inquiry$Social & Economic Systems",
10091,ANTH,3240,001,Lecture,3,Sue Ann McCarty,motuwethfr 9:30am - 2:30pm,***,01/03/2022 - 01/14/2022,,,,,,,,,,,,,The Anthropology of Food,,Open,17,20,0,10,"This course approaches food from various social science perspectives, focusing on historically and culturally variable forms of food production, exchange, preparation and consumption as the means through which both individual and social bodies are constructed and reproduced. We examine food and the environment; food and colonialism; the globalization of food and food production; food and identities; and food and bodies.","Artistic, Interpretive, & Philosophical Inquiry$Cultures & Societies of the World",
10069,ARCH,3500,001,Lecture,3,"Katie MacDonald, Kyle Schumann",motuwethfr 10:00am - 3:00pm,***,01/03/2022 - 01/14/2022,,,,,,,,,,,,,Special Topics in Architecture,Biomaterial Building,Open,8,70,0,0,Topical offerings in architecture.,,
10123,ARCH,5500,001,Lecture,3,"Katie MacDonald, Kyle Schumann",motuwethfr 10:00am - 3:00pm,***,01/03/2022 - 01/14/2022,,,,,,,,,,,,,Special Topics in Architecture,Biomaterial Building,Open,0,20,0,0,Topical offerings in architecture.,,
10060,ARTH,2470,001,SEM,3,Christa Robbins,motuwethfr 10:00am - 3:00pm,***,01/03/2022 - 01/14/2022,,,,,,,,,,,,,Art Now,,Open,14,15,0,10,"This course is designed to familiarize you with the major themes, issues, and questions being pursued in today's art world. Focusing on the last twenty years, the class is organized around five themes that define the majority of art being made today: portraying, experiencing, performing, reproducing, and agitating.","Artistic, Interpretive, & Philosophical Inquiry",
10105,ARTS,2580,001,Discussion,3,Edward Miller,motuwethfr 10:00am - 3:00pm,***,01/03/2022 - 01/14/2022,,,,,,,,,,,,,Special Topics in Sculpture,The Human Figure,Open,13,15,0,10,"An introduction to the specialized materials, methods, processes, and cultural issues as they relate to the history and practice of Sculpture",,
10076,ARTS,2610,001,STO,3,Akemi Ohira,motuwethfr 10:00am - 3:00pm,***,01/03/2022 - 01/14/2022,,,,,,,,,,,,,Drawing I,,Closed,13,18,0,10,"A continued introductory study of the materials and techniques of drawing. Provides training in the coordination of hand and eye and encourages development of visual analysis. Emphasizes understanding form, space, light and composition. May be taken concurrently with ARTS 2000.","Artistic, Interpretive, & Philosophical Inquiry",
10065,BIOL,4559,001,Lecture,3,Fabiane Mundim,motuwethfr 9:00am - 1:00pm,***,01/03/2022 - 01/14/2022,,,,,,,,,,,,,New Course in Biology,Ecology in the Underworld,Closed,26,30,0,10,New course in the subject of biology.,,
10072,BIOL,4585,001,SEM,3,Joaquin Nunez,motuwethfr 10:00am - 3:30pm,***,01/03/2022 - 01/14/2022,,,,,,,,,,,,,Selected Topics in Biology,Evolutionary Genomics,Open,7,20,0,10,Periodic seminar offerings to provide intensive study of the scientific literature in focused areas of Biology.,,
10118,CE,4995,001,IND,1 - 4,Jose Gomez,tba,***,01/03/2022 - 01/14/2022,,,,,,,,,,,,,Civil Engineering Research,,Open,1,30,0,0,"Study of a civil engineering problem in depth by each student using library, computer, or laboratory facilities. The project is conducted in close consultation with departmental faculty and involves survey, analysis, or project development. Progress reports and a comprehensive written report are required. May be repeated if necessary. Prerequisite: Contact individual professor for Instructor Permission.",,
