ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
18725,ANTH,5470,001,Lecture,"3","Daniel Lefkowitz","TuTh 2:00pm - 3:15pm","The Rotunda Room 152","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Language and Identity","",Open,17,20,0,"In anthropology, where identity has become a central concern, language is seen as an important site for the construction of, and negotiation over social identities. In linguistics, reference to categories of social identity helps to explain language structure and change. This seminar explores the overlap between these converging trends by focusing on the notion of discourse as a nexus of cultural and linguistic processes."
18724,ANTH,5510,001,Lecture,"3","John Shepherd","MoWe 3:30pm - 4:45pm","Brooks Hall 103","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Topics in Ethnography","Modern Chinese Societies through Ethnography",Open,5,15,0,"Seminars on topics announced prior to each semester."
18727,ANTH,5541,001,Lecture,"3","Armik Mirzayan","We 5:00pm - 7:30pm","Brooks Hall 103","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Topics in Linguistics","Linguistic Typology",Open,9,20,0,"Topics to be announced prior to each semester, dealing with linguistics."
18726,ANTH,5559,001,Lecture,"3","Jarrett Zigon","Th 3:30pm - 6:00pm","Brooks Hall 103","08/27/2019 - 12/06/2019","","","","","","","","","","","","","New Course in Anthropology","Critical Hermeneutics",Open,11,15,0,"New course in the subject of anthropology."
18722,ANTH,5589,001,Lecture,"3","Sonia Alconini","Tu 5:00pm - 7:30pm","Brooks Hall 103","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Selected Topics in Archaeology","Archaeology of Frontiers and Boundary Interaction",Open,7,15,0,"Seminars in topics announced prior to each semester."
10689,ANTH,7010,001,SEM,"3","Ira Bashkow","TuTh 11:00am - 12:15pm","New Cabell Hall 064","08/27/2019 - 12/06/2019","","","","","","","","","","","","","History of Anthropological Theory","",Closed,16,15,0,"Introduces major historical figures, approaches, and debates in anthropology (sociocultural, linguistic, archaeological), with a focus on understanding the discipline's diverse intellectual history, and its complex involvement with dominant social and intellectual currents in western society."
12058,ANTH,7060,001,SEM,"3","Adria LaViolette","Th 6:15pm - 8:45pm","Brooks Hall 103","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Dissertation Research Proposal Workshop","",Open,4,10,0,"A workshop for graduates preparing dissertation proposals and writing grant applications. Each student prepares several drafts of a proposal, revising it at each stage in response to the criticisms of classmates and the instructor."
18756,ANTH,7100,001,Lecture,"3","Jim Igoe","TuTh 9:30am - 10:45am","New Cabell Hall 323","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Indigenous Landscapes","",Open,12,45,0,"This course engages with ways that historical process are inscribed in landscapes, which are the traditional territories of indigenous communities and have also been shaped by colonialism, extractive enterprise, and nature conservation. It challenges students to examine their assumptions to examine ways in which dominant values and stories are inscribed in landscapes and made to appear natural and how indigenous peoples contest these processes. Prerequisite: Graduate status or instructor permission."
18723,ANTH,7129,001,Lecture,"3","John Shepherd","TuTh 12:30pm - 1:45pm","New Cabell Hall 323","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Marriage, Mortality, Fertility","",Open,1,45,0,"Explores the ways that culturally formed systems of values and family organization affect population processes in a variety of cultures. Readings are drawn from comparative anthropology and historical demography. Cross-listed as ANTH 3129."
12121,ANTH,7400,001,Lecture,"3","Eve Danziger","Th 6:30pm - 9:00pm","New Cabell Hall 368","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Linguistic Anthropology","",Open,14,20,0,"An advanced introduction to the study of language from an anthropological point of view. No prior coursework in linguistics is expected, but the course is aimed at graduate students who will use what they learn in their own anthropologically-oriented research. Topics include an introduction to such basic concepts in linguistic anthropology as language in world-view, the nature of symbolic meaning, language and nationalism, universals and particulars in language, language in history and prehistory, the ethnography of speaking, the nature of everyday conversation, and the study of poetic language. The course is required for all Anthropology graduate students. It also counts toward the Theory requirement for the M.A. in Linguistics."
19311,ANTH,7450,001,Lecture,"3","Mark Sicoli","MoWeFr 9:00am - 9:50am","New Cabell Hall 132","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Native American Languages","",Open,3,25,0,"Surveys the classification and typological characteristics of Native American languages and the history of their study, with intensive work on one language by each student. Some linguistics background is helpful."
10034,ANTH,8998,001,IND,"1 - 12","Ira Bashkow","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,2,50,0,"For master's research, taken before a thesis director has been selected."
11549,ANTH,8998,004,IND,"1 - 12","Frederick Damon","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,0,30,0,"For master's research, taken before a thesis director has been selected."
11550,ANTH,8998,005,IND,"1 - 12","Eve Danziger","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,1,30,0,"For master's research, taken before a thesis director has been selected."
11551,ANTH,8998,006,IND,"1 - 12","Lise Dobrin","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,0,30,0,"For master's research, taken before a thesis director has been selected."
11553,ANTH,8998,008,IND,"1 - 12","Richard Handler","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,1,30,0,"For master's research, taken before a thesis director has been selected."
11556,ANTH,8998,011,IND,"1 - 12","Adria LaViolette","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,0,30,0,"For master's research, taken before a thesis director has been selected."
11557,ANTH,8998,012,IND,"1 - 12","Daniel Lefkowitz","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,1,30,0,"For master's research, taken before a thesis director has been selected."
11558,ANTH,8998,014,IND,"1 - 12","George Mentore","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,0,30,0,"For master's research, taken before a thesis director has been selected."
13233,ANTH,8998,015,IND,"1 - 12","Jim Igoe","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,0,30,0,"For master's research, taken before a thesis director has been selected."
11560,ANTH,8998,018,IND,"1 - 12","John Shepherd","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,0,30,0,"For master's research, taken before a thesis director has been selected."
11562,ANTH,8998,021,IND,"1 - 12","Patricia Wattenmaker","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,2,30,0,"For master's research, taken before a thesis director has been selected."
11563,ANTH,8998,022,IND,"1 - 12","Kath Weston","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,1,30,0,"For master's research, taken before a thesis director has been selected."
12035,ANTH,8998,023,IND,"1 - 12","Fraser Neiman","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,0,30,0,"For master's research, taken before a thesis director has been selected."
13234,ANTH,8998,024,IND,"1 - 12","Jarrett Zigon","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,0,30,0,"For master's research, taken before a thesis director has been selected."
20742,ANTH,8998,025,IND,"1 - 12","China Scherz","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research, Preparation for Research","",Open,0,30,0,"For master's research, taken before a thesis director has been selected."
10035,ANTH,8999,001,IND,"1 - 12","Frederick Damon","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
11199,ANTH,8999,002,IND,"1 - 12","Ira Bashkow","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research","",Open,1,30,0,"For master's thesis, taken under the supervision of a thesis director."
11200,ANTH,8999,003,IND,"1 - 12","Lise Dobrin","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
20983,ANTH,8999,004,IND,"1 - 12","Gertrude Fraser","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research","",Open,1,30,0,"For master's thesis, taken under the supervision of a thesis director."
11201,ANTH,8999,006,IND,"1 - 12","George Mentore","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
11202,ANTH,8999,007,IND,"1 - 12","Adria LaViolette","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research","",Open,2,30,0,"For master's thesis, taken under the supervision of a thesis director."
11889,ANTH,8999,009,IND,"1 - 12","Eve Danziger","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
12036,ANTH,8999,010,IND,"1 - 12","Fraser Neiman","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
20743,ANTH,8999,011,IND,"1 - 12","China Scherz","TBA","TBA","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Non-Topical Research","",Open,1,30,0,"For master's thesis, taken under the supervision of a thesis director."
