ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10108,AAS,2559,001,SEM,"3","Anne Rotich","MoTuWeThFrSa 10:00am - 3:00pm","New Cabell Hall 315","01/02/2020 - 01/11/2020","","","","","","","","","","","","","New Course in African and African American Studies","Introduction to African Languages and Literatures",Open,7,24,0,"New course in the subject of African and African American Studies"
10079,ANTH,2800,001,Lecture,"3","Susan Palazzo","MoTuWeThFrSa 10:00am - 3:00pm","Brooks Hall 103","01/02/2020 - 01/11/2020","","","","","","","","","","","","","Introduction to Archaeology","",Closed,14,15,0,"Topics include alternative theories of prehistoric culture change, dating methods, excavation and survey techniques, and the reconstruction of the economy, social organization, and religion of prehistoric societies."
10119,ARTS,2580,001,Discussion,"3","William Bennett","MoTuWeThFrSa 9:00am - 3:00pm","Ruffin Hall 120","01/02/2020 - 01/11/2020","","","","","","","","","","","","","Special Topics in Sculpture","The Human Figure",Closed,10,12,0,"An introduction to the specialized materials, methods, processes, and cultural issues as they relate to the history and practice of Sculpture"
10080,ARTS,2610,001,STO,"3","Akemi Ohira","MoTuWeThFrSa 10:00am - 3:30pm","Ruffin Hall 203","01/02/2020 - 01/11/2020","","","","","","","","","","","","","Drawing I","",Closed,19,20,0,"A continued introductory study of the materials and techniques of drawing. Provides training in the coordination of hand and eye and encourages development of visual analysis. Emphasizes understanding form, space, light and composition. May be taken concurrently with ARTS 2000."
10081,COMM,3845,001,Lecture,"3","William Wilkerson","MoTuWeThFrSa 10:00am - 4:15pm","Robertson Hall 221","01/02/2020 - 01/11/2020","","","","","","","","","","","","","Foundations of International Business","",Open,9,20,0,"An introduction to the field of international business through an examination of the practice and theory of international business, focusing on managerial, operational, strategic, ethical, and environmental factors. The student develops an understanding of global trade theory and the various forms of global and regional economic integration; examines the major functions of managing an international business; becomes familiar with the instruments, procedures, and processes of international business; ascertains the modes of international market entry and foreign direct investment; generates an appreciation of the importance of culture on international business; and evaluates ethical issues in international business. 
Prerequisite: Non-Commerce students."
10082,ELA,2910,001,SEM,"3","Karlin Luedtke","MoTuWeThFrSa 10:00am - 3:30pm","Monroe Hall 114","01/02/2020 - 01/11/2020","","","","","","","","","","","","","Academic Adulting: Metacognitive Learning Strategies and Critical Thinking","",Open,15,20,0,"ELA 2910 provides students with a toolkit of methods that can help them attain their academic goals at the UVA. The class introduces metacognitive learning strategies that support student comprehension and knowledge retention across disciplines. The course covers approaches to managing lengthy and complex readings, the analytical and evaluative skills of scholarship, time and stress management techniques, and individually targeted strategies."
10106,ENGL,1910,001,Lecture,"3","Margaret Gardiner","MoTuWeThFrSa 10:00am - 4:00pm","Bryan Hall 328","01/02/2020 - 01/11/2020","","","","","","","","","","","","","Public Speaking","",Open,15,18,0,"The development of skills in the preparation, delivery, and criticism of speeches, with emphasis on the function of audience analysis, evidence, organization, language, and style. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10103,EVSC,2070,001,SEM,"3","Michael Gorman","MoTuWeThFrSa 10:00am - 4:00pm","New Cabell Hall 485","01/02/2020 - 01/11/2020","","","","","","","","","","","","","Earth Systems Technology & Management","",Open,14,20,0,"Earth Systems Engineering Management (ESEM) is a comprehensive perspective that combines engineering, environmental science and psychology to explore how human beings can take care of the ecosystem. Students will listen to lectures and discuss background readings from a variety of perspectives related to ESEM. Then they will apply what they have read to a practical problem: identifying and managing national parks and other national entities."
10083,EVSC,4050,001,Lecture,"3","Stephen Macko","MoTuWeThFrSa 10:00am - 3:30pm","Clark Hall G004","01/02/2020 - 01/11/2020","","","","","","","","","","","","","Topics in Oceanography","",Closed,20,20,0,"Introduces oceanography together with a survey of marine resources and the scientific bases for their management. Prerequisite: One year college-level science."
10044,GBUS,8439,001,Lecture,"1.5","Robert Smelick","MoTuWeThFr 8:00am - 5:00pm","Darden Classroom Bldg 120","01/13/2020 - 01/19/2020","","","","","","","","","","","","","Leadership and Cultures of Trust & Innovation","",Open,48,75,0,"This course uses business cases to explore leadership that is highly effective at building cultures of innovation. It focuses on how leaders can construct environments that encourage employees to search for innovative ways to improve the competitiveness of the enterprise, on a daily basis without external direction and instruction, and how these environments (cultures) can guide both strategic and executive decisions to optimize enterprise performance. It also demonstrates why innovation is increasingly important, not only to technology companies but also to companies across a broad spectrum of industries. Through business cases and filmed interviews, students will examine companies and leaders that have been successful at building cultures of innovation. The course is intended for students who seek to lead a business organization. It may also be useful for students wishing to pursue an investment career, as identifying leadership that creates cultures of innovation is believed by many to be a key ingredient in successful investing. Prerequisites: Restricted to Darden students."
10070,GBUS,8517,001,Lecture,"1.5","Marc Modica","TBA","TBA","01/08/2020 - 01/19/2020","","","","","","","","","","","","","Addressing Tough Problems in Business and Society-India","",Open,23,50,0,"We will explore how businesses and government entities are working separately and together to solve complex societal issues such food and water mgmt, health care, urban planning and farming, and issues around gender and minority rights."
10047,GBUS,8620,001,Lecture,"1.5","Kim Whitler","MoTuWeThFr 8:00am - 5:30pm","Darden Classroom Bldg Room 280","01/13/2020 - 01/19/2020","","","","","","","","","","","","","Constructing Superior Brand Positions","",Open,45,75,0,"This course targets those students who intend to work in consumer marketing, advertising, consulting, or retailing. There are four modules in the course: Marketing Mix and Budgeting Decisions, Branding, Price Strategy and Tactics, and Product Line Policy. This 15-session course focuses on the use of marketing discipline to create and capture value and emphasizes the need for accountability in the marketing function. Prerequisites: Restricted to Darden students."
10048,GBUS,8633,001,Lecture,"1.5","Alexander Cowan","MoTuWeThFr 8:00am - 5:00pm","Darden Classroom Bldg Room I-L","01/13/2020 - 01/19/2020","","","","","","","","","","","","","Software Development","",Open,34,60,0,"For the Darden student who wants to increase their creative confidence on software related projects, Software Development is an experiential SY elective that delivers hands-on coding experience for the non-engineer. Unlike online only options like codeacademy, SID offers a Darden compatible format with the hands-on assistance that students need to acquire the necessary skills in a single quarter."
10049,GBUS,8645,001,Lecture,"1.5","June West, Paul Simko","MoTuWeThFr 8:00am - 5:00pm","TBA","01/06/2020 - 01/19/2020","","","","","","","","","","","","","Honor the Trad of Past While Confront the Chall of the Future-Dubai/Bahrain","",Open,21,50,0,"The course will explore the issues facing leaders in the region through engagements in Dubai in the United Arab Emirates and the Kingdom of Bahrain. These two countries have adopted different approaches to economic development and their vision for the future while considering their long tradition and history. We will explore the current and future plans for economic development, the role of business leaders in shaping these changes and their roles."
10046,GBUS,8721,001,Lecture,"1.5","Shane Dikolli","TBA","TBA","01/05/2020 - 01/19/2020","","","","","","","","","","","","","Australia-Local Culture and International Business Expansion","",Open,30,50,0,"This course will travel to Sydney and Melbourne and is designed to help you: get up-close and first-hand exposure to Australian culture and business climate, through the lens of 3 specific business industries: travel, sport, and wine. To witness the dynamic nature of Australia¿s business innovation and change in four specific businesses across the 3 industries: Qantas, Cricket Australia, Australian Football League, and Giant Step Wine."
