ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10044,AAS,2559,1,Seminar,"3","Cecilia Marquez","MoTuWeThFrSa 9:00AM - 3:00PM","Gibson Hall 142","01/02/2014 - 01/10/2014","","","","","","","","","","","","","New Course in African and African American Studies","Women in Civil Rights Movm't",Open,6,30,0,"New course in the subject of African and African American Studies"
10121,AMST,2500,1,Lecture,"3","Cecilia Marquez","MoTuWeThFrSa 9:00AM - 3:00PM","Gibson Hall 142","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Major Works for American Studies","Women in Civil Rights Movm't",Open,6,30,0,"Topics vary according to instructor. The goal of the course is to introduce students to interdisciplinary work in American Studies by juxtaposing works across disciplinary boundaries and from different methodological perspectives."
10045,ANTH,2500,1,Lecture,"3","Caren Freeman","MoTuWeThFrSa 9:00AM - 3:00PM","Minor Hall 130","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Cultures, Regions, and Civilizations","Modern Korea",Open,12,18,0,"Intensive studies of particular world regions, societies, cultures, and civilizations."
10046,ANTH,2890,1,Lecture,"3","Rachel Most","MoTuWeThFrSa 9:30AM - 3:30PM","Monroe Hall 110","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Unearthing the Past","",Open,11,25,0,"An introduction to prehistory covering 4 million years of human physical evolution and 2.5 million years of human cultural evolution. Provides students with an understanding of how archaeologists reconstruct the rise and fall of ancient civilizations. Covers some major developments in prehistory such as origins of modern humans, the rise of the first complex societies & agriculture, and the emergence of ancient civilizations in North America."
10049,ARTS,2580,1,Workshop,"3","William Bennett","MoTuWeThFrSa 9:00AM - 3:00PM","Ruffin Hall 120","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Special Topics in Sculpture","The Human Figure",Open,9,15,0,"An introduction to the specialized materials, methods, processes, and cultural issues as they relate to the history and practice of Sculpture"
10112,ARTS,2610,1,Studio,"3","Akemi Rollando","MoTuWeThFrSa 9:30AM - 3:30PM","Ruffin Hall 203","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Introduction to Drawing I","",Closed,23,20,1,"Drawing provides students with a foundation of skills, judgement, and observational abilities that are essential to artistic expression. ARTS2000 is required for every Studio Art major and minor and a prerequisite for all other media related courses in Studio Art."
10124,ARTS,2620,1,Studio,"3","Dean Dass","MoTuWeThFrSa 9:00AM - 3:00PM","Ruffin Hall 220","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Introduction to Drawing II","",Open,11,20,0,"Continuation of ARTS 1610 with projects emphasizing on drawing skills and analytical thinking. The majority of assignments will be concept-based to encourage students to develop individual visual language.  Prerequisite: ARTS 1610."
10125,ARTS,2812,1,Studio,"4","William Bennett","MoTuWeThFrSa 9:00AM - 4:00PM","Contact Department","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Introduction to Sculpture II","",Open,1,30,0,"Prerequisite: ARTS 1610, 2620."
10050,BME,4550,1,Lecture,"3","David Chen, Timothy Allen","MoTuWeThFrSa 9:00AM - 3:00PM","TBA","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Special Topics in Biomedical Engineering","Med Prod Design & Innovation",Open,10,18,0,"Applies engineering science, design methods, and system analysis to developing areas and current problems in biomedical engineering. Topics vary by semester. Recent topics include Medical Imaging Systems Theory, BME Advanced Design, BME Electronics Lab, and Systems Biology Modeling and Experimentation.  Prerequisite: third- or fourth-year standing and instructor permission."
10099,CLAS,3559,1,Lecture,"3","Bradford Hays","MoTuWeThFrSa 9:30AM - 3:30PM","Bryan Hall 310","01/02/2014 - 01/10/2014","","","","","","","","","","","","","New Course in Classics","Medieval Manuscripts at UVa",Open,9,12,0,"New course in the subject of classics.  For more details on this class, please visit the department website at http://www.virginia.edu/classics/."
10052,COMM,3845,1,Lecture,"3","William Wilkerson","MoTuWeThFrSa 9:00AM - 3:00PM","Rouss Hall 403","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Foundations of International Business","",Open,19,25,0,"An introduction to the field of international business through an examination of the practice and theory of international business, focusing on managerial, operational, strategic, ethical, and environmental factors. The student develops an understanding of global trade theory and the various forms of global and regional economic integration; examines the major functions of managing an international business; becomes familiar with the instruments, procedures, and processes of international business; ascertains the modes of international market entry and foreign direct investment; generates an appreciation of the importance of culture on international business; and evaluates ethical issues in international business.    Prerequisite: Non-Commerce students."
10095,COMM,4890,501,Lecture,"3","Robert Webb","Mo 8:00AM - 10:30AM","International Study Program","01/01/2014 - 01/10/2014","","","","","","","","","","","","","Global Commerce Immersion: General Topics","Fin.Capitals in HK & Singapore",Open,16,30,0,"Global Commerce courses that do not count in any particular concentration.."
10053,DRAM,3320,1,Seminar,"3","Gweneth West","MoTuWeThFrSa 9:00AM - 3:00PM","Drama Education Bldg 206","01/02/2014 - 01/10/2014","","","","","","","","","","","","","The Fine Art of Dress 1: Conformity & Individuality","",Open,7,15,0,"Expores the cultural influences on fashion choices and expression of identity you create for  the 21st century.  Examination of your own wardrobe and study of the History of Dress serves as grounding for research into selected garments from The Collection of Historic Dress, c. 1795-1965. Working with extant garments  provides insight into these  periods of American history, the cultural influences, and  the people who inhabited these clothes."
10106,ECE,3501,1,Lecture,"3","Harry Powell","MoTuWeThFr 9:00AM - 4:30PM","Rice Hall 240","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Special Topics in Electrical and Computer Engineering","Dataflow Programming",Open,13,25,0,"A third-level  undergraduate course covering a topic not normally covered in the course offerings. The topic usually reflects new developments in the electrical and computer engineering field. Offering is based on student and faculty interests."
10115,EDHS,2850,1,Lecture,"3","Joseph Hart","MoTuWeThFrSa 8:00AM - 2:30PM","Memorial Gymnasium 211","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Medical Terminology","",Open,25,40,0,"The class will cover basics of medical term etymology and a system-based approach to understanding the language of medicine.  The objective of this class is to encourage interdisciplinary communication among medical practitioners and other health care professionals as they prepare for the ""real world"" of medicine."
10101,EDHS,3500,1,Lecture,"3","Lynne Crotts","MoTuWeThFrSa 10:00AM - 4:00PM","McLeod Hall 5060","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Special Topics In Human Services","Mindfulness as a Tool",Open,3,15,0,"Topical offerings in the subject of human services."
10102,EDHS,5500,1,Lecture,"3","Lynne Crotts","MoTuWeThFrSa 10:00AM - 4:00PM","McLeod Hall 5060","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Selected Topics","Mindfulness as a Tool",Open,3,15,0,"These are designed as pilot courses to meet new program requirements, and changing needs in the field. Used also to offer experimental courses, and courses under development, these are announced and offered on a semester-to-semester basis. May be graded or S/U, depending on the instructor, and may be repeated."
10126,EDLF,5993,1,Independent Study,"1 - 6","Carol Spreen","TBA","TBA","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Independent Study","",Open,0,1,0,"Prerequisite: Instructor permission."
10054,ENSP,1060,1,Seminar,"3","Margaret Gardiner","MoTuWeThFrSa 10:00AM - 4:00PM","Bryan Hall 328","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Public Speaking","",Closed,21,20,9,"Through theoretical instruction and practice, students will learn to prepare and deliver public presentations, including techniques for handling speech anxiety, analyzing audience, organizing and composing an effective argument, and improving diction, projection and delivery."
10105,ENWR,3559,1,Lecture,"3","Elizabeth Denton","MoTuWeThFrSa 10:00AM - 5:00PM","Bryan Hall 332","01/02/2014 - 01/10/2014","","","","","","","","","","","","","New Course in Academic, Professional, and Creative Writing","Flash Fiction",Closed,16,18,4,"This course provides the opportunity to offer a new topic in the subject area of academic, professional, and creative writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10081,EVSC,1050,1,Lecture,"3","Robert Swap","MoTuWeThFrSa 9:00AM - 3:00PM","Clark Hall 101","01/02/2014 - 01/10/2014","","","","","","","","","","","","","Ethics, Protocols, and Practice of International Research","",Open,48,50,0,"Ethics, Protocols, and Practice of International Research"
