Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2013 Fall,AAS,1010,African-Amer & African Stds I,"La Fleur,James Daniel",100,3.23,125,0,17,41,17,23,11,1,8,4,3
2013 Fall,AAS,2700,Festivals of the Americas,"Schmidt,Jalane Dawn",001,-,-,0,0,0,1,0,2,2,0,0,1
2013 Fall,AAS,3000,Women and Religion in Africa,"Hoehler-Fatton,Cynthia Heyden",001,-,-,0,1,2,0,0,3,0,2,0,0
2013 Fall,AAS,3200,"Martin, Malcolm and America","Hadley,Mark Andrew",001,-,-,0,2,0,3,1,1,0,1,0,0
2013 Fall,AAS,3280,Reading Black College Campus,"Grandison,Kenrick I",001,-,-,0,0,4,2,0,0,0,0,0,0
2013 Fall,AAS,3500,Intermediate Seminar in AAS,"French,Lynn C",005,-,-,0,0,3,0,0,0,0,0,0,0
2013 Fall,AAS,3500,Intermediate Seminar in AAS,"McDowell,Deborah E",003,-,-,0,2,0,3,1,0,0,2,0,0
2013 Fall,AAS,3500,Intermediate Seminar in AAS,"Pendergrass,Sabrina",002,-,-,0,3,1,1,1,0,0,0,0,0
2013 Fall,AAS,3500,Intermediate Seminar in AAS,"Ross,Marlon B",001,-,-,0,0,1,0,1,1,0,1,0,0
2013 Fall,AAS,3500,Intermediate Seminar in AAS,"Shutt,Lisa Toccafondi",004,2.85,26,0,4,2,4,7,4,0,2,1,2
2013 Fall,AAS,3652,Af Am History since 1865,"Harold,Claudrena N",001,3.83,24,1,18,1,1,3,0,0,0,0,0
2013 Fall,AAS,3749,Food &Meaning in Africa&Diasp.,"Shutt,Lisa Toccafondi",001,3.74,14,0,10,1,1,1,0,1,0,0,0
2013 Fall,AAS,4070,Directed Reading and Research,"Harold,Claudrena N",001,-,-,0,1,0,0,0,0,0,0,0,0
2013 Fall,AAS,4500,Adv Sem Afr-Amer & Afr Stds,"Grandison,Kenrick I",001,-,-,0,1,4,1,0,0,0,0,0,0
2013 Fall,AAS,4570,Adv Research Sem in AAS,"Jackson,Zakiyyah I",001,-,-,0,0,0,1,0,1,0,0,1,1
2013 Fall,AAS,4993,Independent Study,"Apprey,Maurice",002,-,-,1,2,0,0,0,0,0,0,0,0
2013 Fall,AAS,4993,Independent Study,"Harold,Claudrena N",001,-,-,0,1,0,0,0,0,0,0,0,0
2013 Fall,ACCT,2010,Introductory Accounting I,"Kasten,Marshall V",701,-,-,0,3,3,3,0,1,0,0,0,0
2013 Fall,ACCT,2020,Introductory Accounting II,"Montesa,Noel Evangelista",701,-,-,3,2,0,0,0,0,0,0,0,0
2013 Fall,ACCT,3110,Intermediate Accounting I,"Adams,Rebecca Ann",501,-,-,1,0,2,1,0,0,0,0,0,0
2013 Fall,ACCT,3110,Intermediate Accounting I,"Hutton,Leon W",701,-,-,1,3,3,1,0,0,0,0,0,0
2013 Fall,ACCT,3120,Intermediate Accounting II,"Lee,Nammy K",701,2.96,14,2,2,1,1,4,1,0,1,0,2
2013 Fall,ACCT,3140,Cost Accounting,"Cardine,William",701,3.60,11,0,6,0,0,4,0,0,0,0,1
2013 Fall,ACCT,4450,Federal Taxation I,"Krinzman,Paul J",701,-,-,0,2,0,0,3,0,0,2,0,0
2013 Fall,ACCT,5210,Introductory Auditing,"Evans,Richard",701,3.41,12,0,3,2,5,1,0,0,1,0,0
2013 Fall,ACCT,5330,Acct for Non-Bus Organizations,"Evans,Richard",701,3.43,23,0,7,5,4,2,4,1,0,0,0
2013 Fall,ACCT,5410,Fraud Examination,"Kirchert,Cory C.",701,3.45,25,1,4,5,8,6,0,0,0,0,1
2013 Fall,ACCT,5460,Federal Taxation II,"Dittmer,Gary D",701,-,-,0,1,0,0,3,0,0,1,0,1
2013 Fall,AIRS,1100,Foundations of U.S. Air Force,"Kamorski,Michael W",001,4.00,17,17,0,0,0,0,0,0,0,0,0
2013 Fall,AIRS,1100,Foundations of U.S. Air Force,"Kamorski,Michael W",002,4.00,15,15,0,0,0,0,0,0,0,0,0
2013 Fall,AIRS,2100,Evolution of Air & Space Power,"Kamorski,Michael W",001,3.99,22,21,0,1,0,0,0,0,0,0,0
2013 Fall,AIRS,2100,Evolution of Air & Space Power,"Kamorski,Michael W",002,-,-,5,0,0,0,0,0,0,0,0,0
2013 Fall,AIRS,3100,Air Force Leadership & Mgmt,"Hubal,Jennifer M",001,-,-,0,1,0,0,0,0,0,0,0,0
2013 Fall,AIRS,3100,Air Force Leadership & Mgmt,"Hubal,Jennifer M",003,-,-,0,7,0,0,0,0,0,0,0,0
2013 Fall,AIRS,4100,Natl Sec Affairs/Prep Act Duty,"Hiss,Steven T",001,-,-,0,5,0,0,0,0,0,0,0,0
