Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2024 Spring,ECE,3430,Intro Embedded Computer Systms,042681,"Delong,Todd",001,15764,Engineering & Applied Science,3.39,38,6,15,6,3,1,2,1,1,0,3
2024 Spring,RELC,5850,Death and Dying,047094,"Scherz,Paul",001,19897,College & Graduate Arts & Sci,3.92,13,0,11,1,1,0,0,0,0,0,0
2024 Spring,PHYS,1429,Intro Physics 1 Workshop,031036,"Bychkov,Maksim",016,10300,College & Graduate Arts & Sci,3.76,25,2,12,8,0,1,2,0,0,0,0
2024 Spring,NUCO,3310,Pediatric Nursing,043225,"Boitnott,Amy",100,17098,School of Nursing,3.62,42,0,19,16,2,3,0,0,0,0,2
2024 Spring,ARCH,2020,Foundation Studio III,001494,"Dripps,Robin D",004,14269,School of Architecture,3.49,12,0,3,2,5,2,0,0,0,0,0
2024 Spring,ANTH,2160,Culture & Environment,045704,"Weston,Kath",100,19167,College & Graduate Arts & Sci,3.69,60,43,7,0,0,4,0,1,3,0,2
2024 Spring,LAR,6020,Foundation Studio II,020951,"Wettstein,Emily",001,14281,School of Architecture,3.40,9,0,2,2,3,1,0,1,0,0,0
2024 Spring,GCOM,7430,Tax of Part/Flow Thr Entities,015408,"Porter,Susan",001,14589,McIntire School of Commerce,3.45,13,1,1,5,3,1,2,0,0,0,0
2024 Spring,COMM,3120,Intermediate Accounting II,006462,"Winchel,Jennifer",001,14487,McIntire School of Commerce,3.57,36,0,16,8,2,6,3,1,0,0,0
2024 Spring,LAW,7114,Native American Law,041709,"Doran,Michael",1,18660,School of Law,3.60,73,3,21,16,26,7,0,0,0,0,0
2024 Spring,ARCH,7020,Foundation Studio IV,042373,"Stec,Peter",005,14444,School of Architecture,3.81,13,1,5,6,1,0,0,0,0,0,0
2024 Spring,PHS,7051,"Policy Dev, Analysis& Advocacy",045006,"Balkrishnan,Rajesh",002,19391,Medical School - BIMS/PHS,3.91,11,3,6,1,1,0,0,0,0,0,0
2024 Spring,LAW,7002,"Agency, Partnership, & LLCs",021600,"Cohen,George",1,18630,School of Law,3.42,11,2,1,2,2,2,1,1,0,0,0
2024 Spring,FREN,3035,Business French,043755,"Simotas,Spyridon",001,19205,College & Graduate Arts & Sci,3.87,16,1,8,7,0,0,0,0,0,0,0
2024 Spring,ENWR,1510,Writing and Critical Inquiry,013432,"D'Errico,Jon",028,11003,College & Graduate Arts & Sci,3.80,18,0,13,3,1,0,0,0,1,0,0
2024 Spring,CS,3120,Discrete Math and Theory 2,046229,"Floryan,Mark",001,16642,Engineering & Applied Science,3.05,288,2,80,35,35,38,34,14,15,9,26
2024 Spring,EGMT,1530,Engaging Differences,044514,"Mahler,Anne",218,19571,College & Graduate Arts & Sci,3.89,35,14,16,1,2,2,0,0,0,0,0
2024 Spring,COMM,4680,Entrepreneurship,006531,"Ransler,Charles",002,20239,McIntire School of Commerce,3.78,21,0,9,10,1,1,0,0,0,0,0
