Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2015 Fall,AAS,1010,African-Amer & African Stds I,"Levy,Latasha Beatrice",100,3.53,121,10,44,29,12,7,6,5,2,4,2
2015 Fall,AAS,2559,New Course:  AAS,"Hamilton,Njelle Wendyann",001,3.72,15,6,2,4,1,0,0,0,1,0,1
2015 Fall,AAS,2559,New Course:  AAS,"Schmidt,Jalane Dawn",300,-,-,0,1,3,1,3,0,0,0,0,0
2015 Fall,AAS,2559,New Course:  AAS,"Wallace,Maurice O",002,3.46,74,9,30,9,5,5,5,7,2,0,2
2015 Fall,AAS,3200,"Martin, Malcolm and America","Hadley,Mark Andrew",001,3.19,14,0,1,5,1,3,3,0,0,1,0
2015 Fall,AAS,3500,Intermediate Seminar in AAS,"Shutt,Lisa Toccafondi",002,-,-,0,2,3,2,0,0,1,0,0,1
2015 Fall,AAS,3559,New Course:  AAS,"Kahrl,Andrew W",001,2.82,12,0,2,4,2,0,1,0,0,1,2
2015 Fall,AAS,3559,New Course:  AAS,"McDowell,Deborah E",003,-,-,0,1,2,2,0,0,1,1,0,0
2015 Fall,AAS,3559,New Course:  AAS,"Wallace,Maurice O",002,-,-,0,3,1,1,1,0,0,0,0,1
2015 Fall,AAS,3652,African Am History Since 1865,"Kahrl,Andrew W",001,3.47,16,0,3,5,4,1,2,0,0,0,1
2015 Fall,AAS,4070,Directed Reading and Research,"Harold,Claudrena N",001,-,-,0,4,0,0,0,0,0,0,0,0
2015 Fall,AAS,4570,Adv Research Sem in AAS,"Shutt,Lisa Toccafondi",002,2.60,12,0,2,5,0,0,1,0,0,0,4
2015 Fall,AAS,4993,Independent Study,"Apprey,Maurice",001,-,-,2,5,0,0,0,0,0,0,0,0
2015 Fall,AAS,4993,Independent Study,"Harold,Claudrena N",003,-,-,0,1,0,0,0,0,0,0,0,0
2015 Fall,AAS,4993,Independent Study,"Rotich,Anne J",005,-,-,0,0,1,0,0,0,0,0,0,0
2015 Fall,AAS,4993,Independent Study,"Wallace,Maurice O",004,-,-,1,0,0,0,0,0,0,0,0,0
2015 Fall,ACCT,2010,Introductory Accounting I,"Kasten,Marshall V",701,3.72,13,5,3,2,1,1,1,0,0,0,0
2015 Fall,ACCT,2020,Introductory Accounting II,"Montesa,Noel Evangelista",701,4.00,11,5,6,0,0,0,0,0,0,0,0
2015 Fall,ACCT,3110,Intermediate Accounting I,"Hutton,Leon W",701,3.11,15,1,6,2,0,1,0,0,1,0,4
2015 Fall,ACCT,3120,Intermediate Accounting II,"Lee,Nammy K",701,-,-,0,2,0,0,1,0,0,1,0,3
2015 Fall,ACCT,3140,Cost Accounting,"Cardine,William",701,-,-,0,4,0,0,4,0,0,0,0,2
2015 Fall,ACCT,4450,Federal Taxation I,"Dittmer,Gary D",701,3.25,12,0,4,0,0,7,0,0,1,0,0
2015 Fall,ACCT,5210,Introductory Auditing,"Evans,Richard",701,3.55,13,0,3,5,3,1,1,0,0,0,0
2015 Fall,ACCT,5310,Topics in Advanced Accounting,"Brooks,Gary D",701,3.75,15,0,10,0,0,2,1,0,0,0,2
2015 Fall,ACCT,5410,Fraud Examination,"Kirchert,Cory C.",701,3.64,11,1,2,4,2,1,0,0,0,0,1
2015 Fall,AIRS,100,Leadership Laboratory,"Rourke,Nina C",001,-,-,0,0,0,0,0,0,0,0,0,1
2015 Fall,AIRS,1100,Foundations of U.S. Air Force,"Delawder,Colleen M",001,-,-,0,5,0,0,0,0,0,0,0,0
2015 Fall,AIRS,1100,Foundations of U.S. Air Force,"Delawder,Colleen M",002,-,-,0,8,0,0,0,0,0,0,0,1
2015 Fall,AIRS,2100,Evolution of Air & Space Power,"Delawder,Colleen M",001,-,-,0,3,0,0,0,0,0,0,0,0
2015 Fall,AIRS,2100,Evolution of Air & Space Power,"Delawder,Colleen M",002,-,-,0,8,0,0,0,0,0,0,0,1
2015 Fall,AIRS,3100,Air Force Leadership & Mgmt,"Rourke,Nina C",001,-,-,0,6,0,0,0,0,0,0,0,0
2015 Fall,AIRS,3100,Air Force Leadership & Mgmt,"Rourke,Nina C",002,3.92,13,0,12,0,0,1,0,0,0,0,0
2015 Fall,AIRS,4100,Natl Sec Affairs/Prep Act Duty,"Hiss,Steven T",001,4.00,16,0,16,0,0,0,0,0,0,0,0
2015 Fall,ALAR,7010,Research Studio 1,...,001,-,-,0,1,3,2,0,0,0,0,0,0
2015 Fall,ALAR,7010,Research Studio 1,...,002,-,-,0,1,0,2,0,0,0,0,0,0
2015 Fall,ALAR,7010,Research Studio 1,...,003,-,-,1,2,0,2,0,0,0,0,0,0
2015 Fall,ALAR,7010,Research Studio 1,...,006,-,-,1,2,1,2,0,0,0,0,0,0
2015 Fall,ALAR,7010,Research Studio 1,...,007,-,-,0,0,2,0,0,2,0,0,0,0
2015 Fall,ALAR,7010,Research Studio 1,...,008,-,-,0,2,4,2,1,0,0,0,0,0
2015 Fall,ALAR,7010,Research Studio 1,...,010,-,-,0,0,0,4,0,0,0,0,0,0
2015 Fall,ALAR,7010,Research Studio 1,"Alday Sanz,Ignacio Nicolas",006,-,-,1,2,1,2,0,0,0,0,0,0
2015 Fall,ALAR,7010,Research Studio 1,"Bargmann,Julie L",007,-,-,0,0,2,0,0,2,0,0,0,0
2015 Fall,ALAR,7010,Research Studio 1,"Cho,Leena Sangyun",010,-,-,0,0,0,4,0,0,0,0,0,0
2015 Fall,ALAR,7010,Research Studio 1,"Jover Biboum,Margarita",003,-,-,1,2,0,2,0,0,0,0,0,0
