Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2016 Summer,AAS,2224,Black Fem & Masc in US Media,"Shutt,Lisa Toccafondi",001,3.32,18,0,5,6,2,3,0,0,1,0,1
2016 Summer,AAS,2559,New Course:  AAS,"Hunter,Cory",001,3.31,11,0,3,3,0,3,0,0,0,0,2
2016 Summer,AAS,2559,New Course:  AAS,"Shutt,Lisa Toccafondi",002,2.84,12,0,2,3,1,1,1,1,1,0,2
2016 Summer,AAS,3749,Food & Meang in Africa & Diasp,"Shutt,Lisa Toccafondi",001,2.92,12,0,2,2,1,1,2,0,1,1,2
2016 Summer,AAS,4993,Independent Study,"Apprey,Maurice",004,-,-,0,5,0,0,0,0,0,0,0,0
2016 Summer,AAS,4993,Independent Study,"Shutt,Lisa Toccafondi",003,-,-,0,1,0,0,0,0,0,0,0,0
2016 Summer,AAS,4993,Independent Study,"Shutt,Lisa Toccafondi",005,-,-,0,0,1,0,0,0,0,0,0,0
2016 Summer,ACCT,2010,Introductory Accounting I,"Kasten,Marshall V",701,-,-,2,1,2,0,0,0,1,0,0,0
2016 Summer,ACCT,2020,Introductory Accounting II,"Montesa,Noel Evangelista",701,-,-,4,0,0,0,0,0,0,0,0,0
2016 Summer,ACCT,3110,Intermediate Accounting I,"Hutton,Leon W",701,3.64,11,3,5,0,0,2,0,0,1,0,0
2016 Summer,ACCT,3120,Intermediate Accounting II,"Lee,Nammy K",701,-,-,0,1,1,0,2,2,0,0,0,0
2016 Summer,ACCT,3140,Cost Accounting,"Cardine,William",701,-,-,1,3,1,1,1,0,0,0,0,1
2016 Summer,ACCT,5210,Introductory Auditing,"Glenn,James R",701,3.67,11,0,5,2,1,2,0,0,0,0,1
2016 Summer,ACCT,5460,Federal Taxation II,"Dittmer,Gary D",701,3.33,14,0,7,0,0,4,0,0,0,0,3
2016 Summer,ANTH,1010,Introduction to Anthropology,"Nahas,Nathalie Samir",001,3.09,20,0,2,3,10,0,0,1,2,2,0
2016 Summer,ANTH,1010,Introduction to Anthropology,"Rolando Betancourt,Giancarlo Cesar",002,3.62,18,0,5,9,2,1,0,1,0,0,0
2016 Summer,ANTH,1050,Anthropology of Globalization,"Singh,Sheena",001,3.21,16,0,3,2,2,6,2,0,1,0,0
2016 Summer,ANTH,2280,Medical Anthropology,"Kavadias,Dionisios Konstantine",001,3.45,11,0,2,4,1,1,2,0,0,0,1
2016 Summer,ANTH,2557,Culture Through Film,"Questa Rebolledo,Alessandro",001,3.36,16,0,4,7,0,1,2,0,0,2,0
