Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2009 Fall,AAS,1010,African-Amer & African Stds I,"Ferreira,Roquinaldo A",100,3.16,28,0,4,5,6,6,2,4,0,1,0
2009 Fall,AAS,2700,Festivals of the Americas,"Schmidt,Jalane Dawn",1,-,-,0,1,0,1,1,1,0,0,0,1
2009 Fall,AAS,3157,Caribbean Perspectives,"Bonilla,Yarimar",1,-,-,0,1,0,0,0,0,0,0,0,0
2009 Fall,AAS,3200,"Martin, Malcolm and America","Hadley,Mark Andrew",1,-,-,0,0,0,0,0,1,1,0,1,0
2009 Fall,AAS,3500,Intermediate Seminar in AAS,"Chipumuro,Todne Thomas",1,-,-,0,1,2,1,0,0,1,0,0,0
2009 Fall,AAS,3500,Intermediate Seminar in AAS,"Lovelace Jr.,Herbert Timothy",2,-,-,0,2,2,0,1,1,0,0,0,0
2009 Fall,AAS,4070,Directed Reading and Research,"Hoehler-Fatton,Cynthia Heyden",1,-,-,0,2,0,1,0,0,0,0,0,0
2009 Fall,AAS,4500,Adv Sem Afr-Amer & Afr Stds,"Grandison,Kenrick I",1,-,-,0,0,2,1,0,0,0,0,0,0
2009 Fall,AAS,4500,Adv Sem Afr-Amer & Afr Stds,"Woolfork,Lisa",2,-,-,0,0,1,2,0,0,0,0,0,0
2009 Fall,AAS,4570,Adv Research Sem in AAS,"Willis,John Cardon",1,-,-,1,1,1,1,0,0,0,1,0,0
2009 Fall,AAS,5528,Topics in Race Theory,"Marshall,Wende E",1,-,-,0,1,0,0,0,0,0,1,0,0
2009 Fall,ACCT,2010,Introductory Accounting I,"Kasten,Marshall V",1,-,-,0,2,0,0,0,0,0,0,0,0
2009 Fall,ACCT,2020,Introductory Accounting II,"Montesa,Noel Evangelista",1,-,-,1,0,0,0,0,0,0,0,0,0
2009 Fall,ACCT,3110,Intermediate Accounting I,"Adams,Rebecca Ann",1,-,-,0,0,0,1,0,0,0,0,0,0
2009 Fall,ACCT,3110,Intermediate Accounting I,"Hutton,Leon W",2,-,-,0,0,0,0,1,0,0,0,0,1
2009 Fall,ACCT,3120,Intermediate Accounting II,"Kirchert,Cory C.",1,-,-,1,0,0,1,0,0,0,0,0,0
2009 Fall,ACCT,3140,Cost Accounting,"Beachy,Robert Wisler",1,-,-,2,2,0,0,0,0,0,0,0,0
2009 Fall,ACCT,3140,Cost Accounting,"Cardine,William",2,-,-,0,1,0,0,0,0,0,0,0,2
2009 Fall,ACCT,4450,Federal Taxation I,"Hughes,Thomas D",1,-,-,0,1,0,0,0,0,0,0,0,0
2009 Fall,ACCT,5210,Introductory Auditing,"Traylor,Ralph Wilson",1,-,-,2,1,1,0,0,0,0,0,0,0
2009 Fall,ACCT,5210,Introductory Auditing,"Young,Karen",2,-,-,0,2,0,1,2,0,0,0,0,0
2009 Fall,ACCT,5310,Topics in Advanced Accounting,"Parker,Molly V",1,-,-,0,3,0,0,0,0,0,0,0,0
2009 Fall,ACCT,5330,Acct for Non-Bus Organizations,"Evans,Richard",1,-,-,0,3,1,1,0,0,0,0,0,0
2009 Fall,ACCT,5460,Federal Taxation II,"Dittmer,Gary D",1,-,-,0,0,0,0,3,0,0,1,0,0
