Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2010 Fall,AAS,1010,African-Amer & African Stds I,"Ferreira,Roquinaldo A",100,3.28,122,0,42,19,7,32,5,5,2,0,10
2010 Fall,AAS,3157,Caribbean Perspectives,"Bonilla,Yarimar",001,-,-,1,0,2,2,0,0,0,0,0,0
2010 Fall,AAS,3200,"Martin, Malcolm and America","Hadley,Mark Andrew",001,3.26,14,0,2,5,1,1,4,0,1,0,0
2010 Fall,AAS,3456,Supreme Court and Civil Rights,"Hylton,Joseph G",001,3.51,22,0,7,4,5,6,0,0,0,0,0
2010 Fall,AAS,3500,Intermediate Seminar in AAS,"Harold,Claudrena N",002,3.69,69,1,37,13,7,9,1,0,1,0,0
2010 Fall,AAS,3500,Intermediate Seminar in AAS,"Osotsi,Felistas Njoki",001,3.75,17,4,1,8,2,0,0,0,0,0,2
2010 Fall,AAS,4070,Directed Reading and Research,"Hoehler-Fatton,Cynthia Heyden",001,-,-,0,0,0,2,0,0,0,0,0,0
2010 Fall,AAS,4500,Adv Sem Afr-Amer & Afr Stds,"Woolfork,Lisa",001,-,-,0,1,3,1,0,0,0,0,0,0
2010 Fall,AAS,4570,Adv Research Sem in AAS,"Hays,Cassie Megan",001,-,-,0,2,2,1,2,0,0,1,0,1
2010 Fall,AAS,4570,Adv Research Sem in AAS,"Tyler,Dennis",002,-,-,0,0,1,0,3,0,0,0,0,0
2010 Fall,AAS,4993,Independent Study,"Apprey,Maurice",002,-,-,0,2,0,0,0,0,0,0,0,0
2010 Fall,AAS,4993,Independent Study,"Dramé,Kandioura",003,-,-,0,1,0,0,0,0,0,0,0,0
2010 Fall,AAS,4993,Independent Study,"Hoehler-Fatton,Cynthia Heyden",001,-,-,0,1,0,0,0,0,0,0,0,0
2010 Fall,ACCT,2010,Introductory Accounting I,"Kasten,Marshall V",701,2.23,11,1,1,0,1,3,0,0,1,0,4
2010 Fall,ACCT,3110,Intermediate Accounting I,"Adams,Rebecca Ann",501,3.46,11,0,4,1,2,2,0,1,0,0,1
2010 Fall,ACCT,3110,Intermediate Accounting I,"Hutton,Leon W",701,3.66,19,0,12,0,3,2,0,0,1,0,1
2010 Fall,ACCT,3120,Intermediate Accounting II,"Johnson,Margaret L",701,3.76,23,0,18,0,0,1,0,0,2,0,2
2010 Fall,ACCT,3140,Cost Accounting,"Beachy,Robert Wisler",501,-,-,1,4,0,0,0,0,0,0,0,0
2010 Fall,ACCT,3140,Cost Accounting,"Cardine,William",701,3.19,17,0,7,0,0,6,0,0,2,0,2
2010 Fall,ACCT,4450,Federal Taxation I,"Hughes,Thomas D",701,3.09,13,0,2,3,1,2,1,1,1,1,1
2010 Fall,ACCT,5210,Introductory Auditing,"Young,Karen",701,3.47,11,0,5,0,0,4,1,0,0,0,1
2010 Fall,ACCT,5330,Acct for Non-Bus Organizations,"Evans,Richard",701,3.54,17,0,5,4,4,2,1,0,0,0,1
2010 Fall,ACCT,5460,Federal Taxation II,"Dittmer,Gary D",701,2.92,15,0,2,0,0,10,0,0,0,0,3
2010 Fall,AIRS,1100,Foundations of U.S. Air Force,"Hoover,Jared K",001,-,-,1,4,1,0,0,0,0,0,0,0
