Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2011 Fall,AAS,1010,African-Amer & African Stds I,"Ferreira,Roquinaldo A",100,3.62,121,1,38,44,19,13,3,1,0,0,2
2011 Fall,AAS,2559,New Course: AAS,"Shutt,Lisa Toccafondi",001,3.43,16,0,2,6,5,0,1,0,1,0,1
2011 Fall,AAS,2700,Festivals of the Americas,"Schmidt,Jalane Dawn",001,-,-,0,2,5,0,0,1,0,1,0,1
2011 Fall,AAS,3280,Reading Black College Campus,"Grandison,Kenrick I",001,-,-,0,0,2,1,0,1,0,1,1,2
2011 Fall,AAS,3456,Supreme Court and Civil Rights,"Hylton,Joseph G",001,3.59,12,0,2,6,3,1,0,0,0,0,0
2011 Fall,AAS,3500,Intermediate Seminar in AAS,"Boswell,Barbara A",003,-,-,0,5,1,0,0,1,1,0,0,0
2011 Fall,AAS,3500,Intermediate Seminar in AAS,"Harold,Claudrena N",002,3.82,64,3,42,11,3,2,3,0,0,0,0
2011 Fall,AAS,3500,Intermediate Seminar in AAS,"Hultin,Ivar Niklas",001,-,-,0,0,2,5,2,1,0,0,0,0
2011 Fall,AAS,3559,New Course: AAS,"Reynolds,Pamela P",001,-,-,0,4,0,1,0,0,0,0,0,0
2011 Fall,AAS,3652,Af Am History since 1865,"Harold,Claudrena N",001,3.80,20,0,16,0,1,2,1,0,0,0,0
2011 Fall,AAS,4070,Directed Reading and Research,"Harold,Claudrena N",001,-,-,0,5,0,0,0,0,0,0,0,0
2011 Fall,AAS,4500,Adv Sem Afr-Amer & Afr Stds,"Grandison,Kenrick I",002,-,-,0,0,0,2,1,0,0,0,0,0
2011 Fall,AAS,4500,Adv Sem Afr-Amer & Afr Stds,"Woolfork,Lisa",001,-,-,0,1,3,1,1,0,0,0,0,0
2011 Fall,AAS,4570,Adv Research Sem in AAS,"Boswell,Barbara A",002,-,-,0,2,0,0,1,0,0,0,0,0
2011 Fall,AAS,4570,Adv Research Sem in AAS,"Tyler,Dennis",001,-,-,0,0,1,3,1,1,1,0,0,0
2011 Fall,ACCT,2010,Introductory Accounting I,"Kasten,Marshall V",701,3.55,12,3,4,3,0,0,0,0,0,0,2
2011 Fall,ACCT,2020,Introductory Accounting II,"Montesa,Noel Evangelista",701,-,-,1,1,2,0,0,0,0,0,0,0
2011 Fall,ACCT,3110,Intermediate Accounting I,"Adams,Rebecca Ann",501,-,-,1,1,0,2,0,0,0,0,0,0
2011 Fall,ACCT,3110,Intermediate Accounting I,"Hutton,Leon W",701,3.19,12,1,6,0,1,1,0,0,2,0,1
2011 Fall,ACCT,3120,Intermediate Accounting II,"Johnson,Margaret L",701,2.75,12,2,1,1,0,0,2,0,2,3,1
2011 Fall,ACCT,3140,Cost Accounting,"Cardine,William",701,-,-,0,2,0,0,4,0,0,3,0,0
2011 Fall,ACCT,3140,Cost Accounting,"Hulburt,John",501,-,-,0,0,2,0,2,0,0,0,0,0
2011 Fall,ACCT,4450,Federal Taxation I,"Hughes,Thomas D",701,3.09,14,0,4,1,1,4,0,1,3,0,0
2011 Fall,ACCT,5210,Introductory Auditing,"Young,Karen",701,-,-,0,3,0,2,3,1,0,0,0,0
2011 Fall,ACCT,5310,Topics in Advanced Accounting,"Brooks,Gary D",701,3.72,18,0,13,0,0,5,0,0,0,0,0
2011 Fall,ACCT,5330,Acct for Non-Bus Organizations,"Evans,Richard",701,3.25,12,0,1,3,3,3,1,1,0,0,0
2011 Fall,ACCT,5460,Federal Taxation II,"Dittmer,Gary D",701,-,-,0,3,0,0,3,0,0,0,0,1
2011 Fall,AIRS,100,Leadership Laboratory,"Hoover,Jared K",001,-,-,0,0,0,0,0,0,0,0,0,1
2011 Fall,AIRS,1100,Foundations of U.S. Air Force,"Wolfe,Jon G",001,-,-,0,1,2,1,0,1,0,0,0,0
2011 Fall,AIRS,1100,Foundations of U.S. Air Force,"Wolfe,Jon G",002,-,-,1,2,2,1,0,0,0,0,1,0
2011 Fall,AIRS,2100,Evolution of Air & Space Power,"Fulks Jr.,James G",001,-,-,0,1,1,0,0,0,0,0,0,0
2011 Fall,AIRS,2100,Evolution of Air & Space Power,"Fulks Jr.,James G",002,3.88,15,7,4,1,2,0,0,0,0,0,1
2011 Fall,AIRS,3100,Air Force Leadership & Mgmt,"Wolfe,Jon G",001,-,-,2,4,2,0,1,0,0,0,0,0
2011 Fall,AIRS,4100,Natl Sec Affairs/Prep Act Duty,"Wolfe,Jon G",001,3.70,12,0,5,4,2,1,0,0,0,0,0
2011 Fall,ALAR,6710,Studio Workshop,"Dripps,Robin D",001,4.00,28,0,28,0,0,0,0,0,0,0,0
2011 Fall,ALAR,8100,Design Research Seminar,"Barton,Craig E",001,3.36,24,0,1,5,16,0,2,0,0,0,0
2011 Fall,AM,6020,Continuum Mechanics,"Kent,Richard Wesley",001,-,-,1,1,2,0,0,1,0,0,0,0
2011 Fall,AMST,2001,American Cultural Studies,"Chong,Sylvia Shin Huey",001,3.57,56,4,16,13,13,8,1,1,0,0,0
2011 Fall,AMST,2500,Major Works for Amer Studies,"Goff,Lisa",002,3.74,21,0,13,3,2,1,0,0,1,0,1
2011 Fall,AMST,2500,Major Works for Amer Studies,"Williams,Ashley M",001,3.16,25,0,1,7,5,6,3,2,1,0,0
2011 Fall,AMST,3001,Theories & Methods of Amer. St,"Hedstrom,Matthew Sigurd",001,3.37,18,1,2,5,5,3,1,0,1,0,0
2011 Fall,AMST,3180,Intro to Asian Amer Studies,"Chong,Sylvia Shin Huey",001,3.32,15,0,3,3,2,2,4,0,0,0,1
2011 Fall,AMST,4500,Seminar in American Studies,"Greeson,Jennifer Rae",004,-,-,0,0,3,0,0,0,0,0,0,0
2011 Fall,AMST,4500,Seminar in American Studies,"Hale,Grace E",002,-,-,0,3,2,2,1,0,0,0,0,0
2011 Fall,AMST,4500,Seminar in American Studies,"Higginbotham,Carmenita",003,-,-,0,2,6,0,2,0,0,0,0,0
2011 Fall,AMST,4500,Seminar in American Studies,"Shukla,Sandhya",001,-,-,0,2,0,2,2,0,0,0,0,0
2011 Fall,AMST,4993,Independent Study,"Brickhouse,Anna Campbell",001,-,-,0,0,0,0,0,0,0,0,0,1
2011 Fall,AMST,4993,Independent Study,"Chong,Sylvia Shin Huey",003,-,-,0,1,0,0,0,0,0,0,0,0
2011 Fall,AMST,4993,Independent Study,"Hedstrom,Matthew Sigurd",006,-,-,0,2,0,0,0,0,0,0,0,0
2011 Fall,AMST,4993,Independent Study,"Higginbotham,Carmenita",007,-,-,0,1,0,0,0,0,0,0,0,0
2011 Fall,AMST,4993,Independent Study,"Shukla,Sandhya",012,-,-,0,2,0,0,0,0,0,0,0,0
2011 Fall,ANTH,1010,Introduction to Anthropology,"Douglass,Carrie Bess",001,3.13,59,0,1,18,13,14,5,5,1,0,2
2011 Fall,ANTH,1010,Introduction to Anthropology,"Frolander-Ulf,Monica",501,3.11,24,0,6,1,5,5,1,2,2,0,2
2011 Fall,ANTH,1010,Introduction to Anthropology,"Harr,Adam Patrick",002,3.67,36,0,20,7,7,1,0,0,0,0,1
2011 Fall,ANTH,1050,Anthropology of Globalization,"Armengol,Roberto Ignacio",001,3.46,43,1,7,11,15,7,2,0,0,0,0
2011 Fall,ANTH,2190,Desire and World Economics,"Mentore,George P",100,3.05,50,0,3,9,12,9,5,4,6,0,2
2011 Fall,ANTH,2210,Marriage and the Family,"Nelson,Melissa Alejandra",001,3.57,35,0,5,19,7,2,2,0,0,0,0
2011 Fall,ANTH,2230,Fantasy and Social Values,"Wagner,Roy",001,3.54,120,18,16,24,38,17,2,0,0,0,5
2011 Fall,ANTH,2310,Symbol and Ritual,"Douglass,Carrie Bess",001,3.49,39,2,9,13,8,3,1,1,0,0,2
2011 Fall,ANTH,2320,Anthropology of Religion,"Metcalf,Peter",100,3.01,121,3,18,14,20,28,11,9,4,5,9
2011 Fall,ANTH,2400,Language and Culture,"Miller,Rachel Nottingham",501,-,-,0,1,2,0,2,1,0,0,0,0
2011 Fall,ANTH,2400,Language and Culture,"Williams,Ashley M",100,2.97,61,0,11,11,8,9,7,3,5,2,5
2011 Fall,ANTH,2420,Language and Gender,"Contini-Morava,Ellen L",100,3.51,114,0,13,57,26,11,2,2,0,1,2
2011 Fall,ANTH,2430,Languages of the World,"Miller,Rachel Nottingham",501,2.89,20,0,2,5,3,2,2,1,1,2,2
2011 Fall,ANTH,2430,Languages of the World,"Thomas,George",501,2.89,20,0,2,5,3,2,2,1,1,2,2
2011 Fall,ANTH,2500,"Cultures, Regions, Civilizatio","Wellman,Rose Edith",001,3.52,34,0,8,11,11,3,0,0,0,1,0
2011 Fall,ANTH,2557,Culture Through Film,"Lefkowitz,Daniel S",100,3.38,97,4,18,41,11,6,11,1,0,0,5
2011 Fall,ANTH,2559,New Course: ANTH,"Alexy,Allison Megan",002,3.44,41,0,11,15,9,4,0,0,0,0,2
2011 Fall,ANTH,2559,New Course: ANTH,"Alvarado,Rafael Candido",001,3.23,51,2,9,18,9,4,3,1,1,0,4
2011 Fall,ANTH,2800,Introduction to Archaeology,"Laviolette,Adria",100,3.24,75,2,10,24,8,12,5,8,3,1,2
2011 Fall,ANTH,2810,Human Origins,"Hantman,Jeffrey L",100,3.05,120,5,19,23,17,15,10,7,10,6,8
