Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2025 Summer,WGS,3210,"Gender, Sport and Film",043183,"Hagerman,Bonnie",001,12126,College & Graduate Arts & Sci,3.05,12,0,1,3,3,1,0,2,2,0,0
2025 Summer,EDIS,5025,"Curric, Instruct & Assessment",044060,"Baran,John",503,11343,School of Education and HumanDev,3.92,23,0,20,2,0,0,1,0,0,0,0
2025 Summer,GBAC,7219,Capstone II: Business Impact,045285,"Maxham,James",002,12413,McIntire Darden Grad Business,3.40,24,0,3,2,17,2,0,0,0,0,0
2025 Summer,PHYS,2040,Princip of Physics 2 Workshop,030812,"Bychkov,Maksim",001,10748,College & Graduate Arts & Sci,4.00,24,12,12,0,0,0,0,0,0,0,0
2025 Summer,HIST,3281,Genocide,019169,"Rossman,Jeffrey J",002,12388,College & Graduate Arts & Sci,3.76,15,0,7,5,3,0,0,0,0,0,0
2025 Summer,EDIS,5000,The Exceptional Learner,009423,"Myers-Mitchell,H. Nicole",500,11219,School of Education and HumanDev,3.93,16,1,11,4,0,0,0,0,0,0,0
2025 Summer,ANTH,1010,Introduction to Anthropology,000600,"Farmer,Tessa",001,12376,College & Graduate Arts & Sci,3.84,20,1,13,4,0,2,0,0,0,0,0
2025 Summer,STAT,4160,Experimental Design,044445,"Ferrara,Maria",001,12136,College & Graduate Arts & Sci,3.31,26,0,5,4,10,2,2,3,0,0,0
2025 Summer,ACCT,5120,Intermediate Accounting II,045933,"Brooks,Gary",701,12370,Continuing & Prof Studies,3.55,16,0,9,4,0,2,0,0,0,0,1
2025 Summer,ACCT,5110,Intermediate Accounting I,045932,"Hutton,Leon",701,12351,Continuing & Prof Studies,3.77,14,0,8,4,1,0,1,0,0,0,0
2025 Summer,EDIS,6710,Rdng/Wrtng Found Divrse Lrners,009522,"Buckrop,Jordan",500,11244,School of Education and HumanDev,3.77,22,0,10,10,1,0,1,0,0,0,0
2025 Summer,PSPS,6000,Transform Ldrshp in Chng Times,046466,"Dion,Shannon",580,12371,Continuing & Prof Studies,3.83,44,0,21,22,1,0,0,0,0,0,0
2025 Summer,ACCT,5210,Introductory Auditing,000190,"Evans,Richard",701,12353,Continuing & Prof Studies,3.25,21,0,2,8,4,4,1,0,0,1,1
2025 Summer,ACCT,3020,Intro Acct II,045931,"Lahijani,Rich",701,12350,Continuing & Prof Studies,3.78,15,0,11,2,1,0,0,0,1,0,0
2025 Summer,EDIS,5020,Found of Learning & Teaching,009425,"Pease,Jennifer",001,11172,School of Education and HumanDev,4.00,22,3,19,0,0,0,0,0,0,0,0
2025 Summer,ECON,2020,Principles of Econ: Macroecon,007877,"Doyle,Carter",001,12107,College & Graduate Arts & Sci,3.19,35,0,10,7,7,3,0,2,2,3,1
2025 Summer,EDIS,5830,Languages and Literacies,045077,"Heny,Natasha",001,11211,School of Education and HumanDev,3.94,22,1,19,0,2,0,0,0,0,0,0
2025 Summer,STAT,2120,Intro to Statistical Analysis,036655,"Ross,Richard",002,12133,College & Graduate Arts & Sci,3.19,23,0,8,2,4,1,4,0,2,1,1
2025 Summer,PC,5170,Gov Contract Law and Analysis,046616,"Ruth,Justin",701,12338,Continuing & Prof Studies,3.60,5,0,2,1,1,1,0,0,0,0,0
2025 Summer,STAT,3220,Intro to Regression Analysis,040001,"Varanyak,Krista",001,12135,College & Graduate Arts & Sci,3.65,18,0,2,13,2,1,0,0,0,0,0
2025 Summer,ACCT,5450,Federal Taxation I,045935,"Hutchinson,Harvey",701,12354,Continuing & Prof Studies,3.68,13,0,5,6,1,0,0,1,0,0,0
2025 Summer,PSPA,5000,Intro to Public Administration,039947,"Dinglas,Rudy de Leon",701,12359,Continuing & Prof Studies,3.14,5,0,3,1,0,0,0,0,0,0,1
2025 Summer,EDLF,7812,Ldshp for Continuous Improve,042238,"Spicer,David Eddy",500,11257,School of Education and HumanDev,3.78,16,1,8,5,1,0,1,0,0,0,0
2025 Summer,PHYS,2419,Intro Physics 2 Workshop,031079,"Bychkov,Maksim",001,10750,College & Graduate Arts & Sci,3.98,13,6,6,1,0,0,0,0,0,0,0
2025 Summer,PHYS,1429,Intro Physics 1 Workshop,031036,"Bychkov,Maksim",001,10751,College & Graduate Arts & Sci,3.93,14,2,11,0,0,1,0,0,0,0,0
2025 Summer,HR,5030,Strategic Compensation,019927,"Beckwith,Ronald",701,12330,Continuing & Prof Studies,3.12,14,1,9,1,0,0,0,0,0,0,3
2025 Summer,DRAM,2070,Public Speaking,007205,"Davis,Theresa",003,12407,College & Graduate Arts & Sci,3.30,11,1,1,2,3,2,1,1,0,0,0
2025 Summer,PSHM,4700,Econ Finance Healthcare,044365,"Erath,Mark",101,12311,Continuing & Prof Studies,3.34,14,5,4,0,0,1,1,1,1,0,1
2025 Summer,EDIS,5000,The Exceptional Learner,009423,"Wilson,Sarah Emily",502,11283,School of Education and HumanDev,3.87,21,0,17,1,2,1,0,0,0,0,0
2025 Summer,PSPM,5290,Agile Project Management,043656,"Parente,Susan",701,12323,Continuing & Prof Studies,3.75,15,0,7,6,0,2,0,0,0,0,0
2025 Summer,AMST,4601,"Gender, Race, Prison",047976,"Tapia,Ruby",001,12385,College & Graduate Arts & Sci,3.71,16,0,11,1,2,1,0,0,1,0,0
2025 Summer,NESC,8001,Foundations of Neuroscience,047952,"Coutinho-Budd,Jaeda",001,12174,Medical School - BIMS/PHS,3.96,16,7,7,2,0,0,0,0,0,0,0
2025 Summer,ISSS,3411,Topics in Personality Psych,041483,"Berube,Clair",101,12305,Continuing & Prof Studies,3.69,16,3,9,3,0,0,0,0,0,0,1
2025 Summer,DS,6030,Statistical Learning,046346,"Gedeck,Peter",001,12267,School of Data Science,3.92,71,36,26,4,1,4,0,0,0,0,0
2025 Summer,SOC,3130,Intro to Social Statistics,035381,"Bahuguna,Vidushi",001,12273,College & Graduate Arts & Sci,2.84,10,0,0,3,1,2,1,1,1,0,1
2025 Summer,ISHU,3061,Intro to World Religions,041585,"Wright,Luke",101,12293,Continuing & Prof Studies,3.16,21,2,3,6,4,2,1,1,0,0,2
2025 Summer,ENWR,2800,Public Speaking,045101,"Modica,John",001,12396,College & Graduate Arts & Sci,3.97,11,1,9,1,0,0,0,0,0,0,0
2025 Summer,GSGS,3245,"Interning Abroad, Virtually",046083,"Hakala,Ingrid Iksa",501,12638,College & Graduate Arts & Sci,3.95,13,4,8,0,1,0,0,0,0,0,0
2025 Summer,BUS,5100,"Cyber Law, Regulation and Eth",042721,"Broz,Kristen",701,12329,Continuing & Prof Studies,3.45,10,0,4,5,0,0,0,0,0,0,1
2025 Summer,GSVS,2559,New Course: GSVS,043645,"Mangieri,Tina",502,12178,College & Graduate Arts & Sci,3.83,21,0,14,5,1,0,1,0,0,0,0
2025 Summer,STS,4600,Engr Ethcs Prof Responsibility,036750,"Seabrook,Bryn",001,12262,Engineering & Applied Science,2.44,14,0,3,2,1,0,3,0,0,2,3
2025 Summer,PSLP,5310,Strategic Leadership,044297,"Ronayne,Pete",701,12341,Continuing & Prof Studies,3.93,14,2,11,0,0,1,0,0,0,0,0
