Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2022 Fall,DRAM,2110,Lighting Technology,007209,"Kennedy,R.",001,10379,College & Graduate Arts & Sci,3.92,19,0,15,3,1,0,0,0,0,0,0
2022 Fall,GERM,1020,Elementary German,015643,"Trice,Ruth",002,10519,College & Graduate Arts & Sci,3.76,10,0,2,8,0,0,0,0,0,0,0
2022 Fall,GERM,2010,Intermediate German,015678,"Schenberg,Cora",002,10522,College & Graduate Arts & Sci,3.92,19,5,10,3,1,0,0,0,0,0,0
2022 Fall,SOC,3120,Sociology Research Workshop,035380,"Skubby,David",100,10811,College & Graduate Arts & Sci,3.32,55,3,12,12,7,12,2,3,3,0,1
2022 Fall,SPAN,2010,Intermediate Spanish,035853,"Colon,Daniel",009,10826,College & Graduate Arts & Sci,3.69,19,0,6,9,3,1,0,0,0,0,0
2022 Fall,FREN,3034,Adv Oral Expression in French,014360,"Saunders,Gladys",001,14065,College & Graduate Arts & Sci,3.67,14,1,6,3,2,1,1,0,0,0,0
2022 Fall,COMM,3020,Behavior Issues in Mktg & Mgmt,006454,"Ballinger,Gary Andrew",001,14636,McIntire School of Commerce,3.57,46,0,10,18,13,4,1,0,0,0,0
2022 Fall,EDLF,7602,History of American Education,009732,"Alridge,Derrick",1,15439,School of Education and HumanDev,3.68,8,0,5,1,0,1,1,0,0,0,0
2022 Fall,APMA,1110,Single Variable Calculus II,001140,"Pisano,Stacie",004,15526,Engineering & Applied Science,3.51,33,2,12,5,5,7,0,0,1,1,0
2022 Fall,GCOM,7010,Global Strategy and Systems,038175,"Harris,Ira",002,14679,McIntire School of Commerce,3.50,52,0,8,15,26,2,1,0,0,0,0
2022 Fall,GCOM,7710,Corporate Valuation & Finance,038182,"Erwin,Gayle",1,14711,McIntire School of Commerce,3.64,29,0,7,13,8,1,0,0,0,0,0
2022 Fall,NUCO,4420,Professional Nursing,042017,"Toll,Crystal",002,17505,School of Nursing,3.84,12,1,6,4,1,0,0,0,0,0,0
2022 Fall,EDIS,3011,Classroom & Behavior Managemnt,045918,"Cook,Lysandra",002,15282,School of Education and HumanDev,3.98,16,2,13,1,0,0,0,0,0,0,0
2022 Fall,PLAN,3813,Community-Engaged Methods,046273,"Wilson,Barbara",001,10236,School of Architecture,3.70,12,0,8,2,1,0,0,0,0,1,0
2022 Fall,KINE,2000,Intro to Kinesiology,042094,"Saliba,Susan",1,14918,School of Education and HumanDev,3.77,68,0,39,16,9,3,1,0,0,0,0
2022 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"David,Monica",071,13323,College & Graduate Arts & Sci,3.77,18,1,7,7,3,0,0,0,0,0,0
2022 Fall,COMM,3020,Behavior Issues in Mktg & Mgmt,006454,"Foutz,Ying Natasha Zhang",008,14639,McIntire School of Commerce,3.50,43,0,7,15,13,8,0,0,0,0,0
2022 Fall,COMM,3020,Behavior Issues in Mktg & Mgmt,006454,"Ballinger,Gary Andrew",002,14642,McIntire School of Commerce,3.64,48,1,13,21,6,7,0,0,0,0,0
2022 Fall,COMM,3110,Intermediate Accounting I,006461,"Wang,Bingyun",800,14672,McIntire School of Commerce,3.72,24,0,9,10,4,1,0,0,0,0,0
2022 Fall,EDLF,7810,Legal & Educ Policy Context,009813,...,500,15383,School of Education and HumanDev,3.98,17,4,12,1,0,0,0,0,0,0,0
2022 Fall,KOR,2010,Intermediate Korean I,020866,"Han,Rosa",002,11032,College & Graduate Arts & Sci,3.61,17,0,4,9,1,2,1,0,0,0,0
2022 Fall,EDIS,5820,Assessment Of & For Learning,045053,"Hale,Jessica",001,15113,School of Education and HumanDev,3.80,23,1,13,6,1,2,0,0,0,0,0
