Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2025 January,LAW,7692,Persuasion (SC),042283,"Shadel,Molly",1,10001,School of Law,3.51,21,0,0,11,10,0,0,0,0,0,0
2025 January,EVSC,2850,Polar Environments,045761,"Miller,Lauren",001,10139,College & Graduate Arts & Sci,3.89,14,1,9,3,1,0,0,0,0,0,0
2025 January,LAW,7645,Baseball (SC),040196,"Setear,John",1,10004,School of Law,3.58,14,0,1,8,5,0,0,0,0,0,0
2025 January,PSYC,4350,RM in Dev Cog Neuroscience,047381,"Puglia,Meghan",001,10142,College & Graduate Arts & Sci,3.94,12,4,7,0,1,0,0,0,0,0,0
2025 January,ARH,3500,Topics inArchitectural History,001883,"Reilly,Lisa A",501,10067,School of Architecture,3.74,13,0,3,9,1,0,0,0,0,0,0
2025 January,HIST,2013,Why Did They Kill?,046088,"Rossman,Jeffrey",001,10136,College & Graduate Arts & Sci,3.89,23,3,13,6,1,0,0,0,0,0,0
2025 January,STAT,1601,Intro Data Science with R,045055,"Roland,Kristen",002,10133,College & Graduate Arts & Sci,3.89,30,3,17,9,1,0,0,0,0,0,0
2025 January,ISSS,4432,Interpersonal Communication,045544,"Berube,Clair",101,10100,Continuing & Prof Studies,3.78,21,5,13,2,0,0,0,0,0,0,1
2025 January,MDST,2508,Topics in Media Practice,044925,"Clay,Anna",001,10148,College & Graduate Arts & Sci,3.97,11,3,7,1,0,0,0,0,0,0,0
2025 January,PLAP,3420,Virginia Government & Politics,040433,"Stroupe,Kenneth",001,10118,College & Graduate Arts & Sci,3.81,17,3,8,3,2,1,0,0,0,0,0
2025 January,PSYC,2500,Topics in Psych,042301,"Golino,Hudson",001,10097,College & Graduate Arts & Sci,3.97,111,19,81,10,1,0,0,0,0,0,0
2025 January,GSGS,3530,ISO: Study Abroad Topics,047107,"Edmunds,David Stuart",503,10094,College & Graduate Arts & Sci,3.94,16,0,14,1,1,0,0,0,0,0,0
2025 January,PSYC,4500,Spec Tops: Psychology,032600,"Grossmann,Tobias",001,10115,College & Graduate Arts & Sci,3.91,14,3,7,4,0,0,0,0,0,0,0
2025 January,STS,2500,S & T in Soc & Global Context,036734,"Laugelli,Benjamin",001,10121,Engineering & Applied Science,4.00,26,17,9,0,0,0,0,0,0,0,0
2025 January,SLAV,2360,Dracula,035128,"Stepanic,Stanley",001,10124,College & Graduate Arts & Sci,3.78,68,13,38,5,7,2,0,1,1,0,1
2025 January,ARTS,2560,Printmaking: Works On/Of Paper,042207,"Ohira,Akemi",001,10106,College & Graduate Arts & Sci,3.82,11,1,6,2,2,0,0,0,0,0,0
2025 January,LAW,7797,Econ Stcraft& Pub Int Law (SC),045583,"Hayashi,Andrew",1,10032,School of Law,3.50,10,0,0,5,5,0,0,0,0,0,0
2025 January,COMM,4569,GCI: Topics in Management,043879,"Lashley,Kisha",501,10071,McIntire School of Commerce,3.85,18,0,9,9,0,0,0,0,0,0,0
2025 January,MDST,2710,Screenwriting,041013,"Marshall,Matthew",001,10141,College & Graduate Arts & Sci,3.81,27,0,25,0,0,1,0,0,0,0,1
2025 January,PSYC,4100,Neuro of Emotion/Motivation,046687,"Williams,Cedric",001,10113,College & Graduate Arts & Sci,3.54,13,5,2,0,1,4,1,0,0,0,0
2025 January,PHYS,1130,Physics of Sports,046086,"Lindgren,Richard",001,10149,College & Graduate Arts & Sci,3.47,44,3,9,12,9,6,4,0,0,1,0
2025 January,ARCH,3500,Spec Topics in Architecture,001537,"Martin Robles,Ines Maria",501,10069,School of Architecture,3.61,14,1,4,3,5,1,0,0,0,0,0
