Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2016 Fall,AAS,1010,African-Amer & African Stds I,"Otu,Edwin Kwame",100,3.48,120,0,26,47,16,18,6,3,3,0,1
2016 Fall,AAS,1559,New Course:  AAS,"Hamilton,Njelle Wendyann",001,3.40,31,0,10,9,4,5,1,0,0,0,2
2016 Fall,AAS,2224,Black Fem & Masc in US Media,"Shutt,Lisa Toccafondi",001,3.51,17,0,3,6,4,2,1,0,0,0,1
2016 Fall,AAS,2559,New Course:  AAS,"Otu,Edwin Kwame",002,-,-,0,2,2,1,0,1,0,0,0,4
2016 Fall,AAS,2559,New Course:  AAS,"Wallace,Maurice O",001,3.58,76,2,33,15,8,11,2,1,3,0,1
2016 Fall,AAS,3200,"Martin, Malcolm and America","Hadley,Mark Andrew",001,3.16,13,0,3,1,2,2,1,3,0,0,1
2016 Fall,AAS,3500,Intermediate Seminar in AAS,"Hamilton,Njelle Wendyann",001,3.36,13,2,3,2,2,3,0,0,0,0,1
2016 Fall,AAS,3500,Intermediate Seminar in AAS,"Kahrl,Andrew W",002,3.26,16,0,3,3,6,2,0,0,0,0,2
2016 Fall,AAS,3500,Intermediate Seminar in AAS,"Pendergrass,Sabrina",004,3.23,16,0,2,3,5,2,3,0,1,0,0
2016 Fall,AAS,3500,Intermediate Seminar in AAS,"Wallace,Maurice O",003,-,-,0,2,1,2,0,1,0,0,0,1
2016 Fall,AAS,3749,Food & Meang in Africa & Diasp,"Shutt,Lisa Toccafondi",001,3.48,19,0,3,8,4,2,2,0,0,0,0
2016 Fall,AAS,4070,Directed Reading and Research,"Harold,Claudrena N",001,-,-,0,1,0,0,0,0,0,0,0,0
2016 Fall,AAS,4570,Adv Research Sem in AAS,"LeFlouria,Talitha Lynette",001,-,-,2,2,2,2,0,0,0,0,2,0
2016 Fall,AAS,4993,Independent Study,"Apprey,Maurice",001,-,-,0,4,1,0,0,0,0,0,0,0
2016 Fall,AAS,4993,Independent Study,"Apprey,Maurice",006,-,-,0,1,0,0,0,0,0,0,0,0
2016 Fall,AAS,4993,Independent Study,"Shutt,Lisa Toccafondi",002,-,-,0,1,0,1,0,0,0,0,0,0
2016 Fall,AAS,4993,Independent Study,"Wallace,Maurice O",004,-,-,0,2,1,0,0,0,0,0,0,0
2016 Fall,ACCT,2010,Introductory Accounting I,"Kasten,Marshall V",701,3.43,24,3,6,3,3,2,3,1,1,0,2
2016 Fall,ACCT,2020,Introductory Accounting II,"Montesa,Noel Evangelista",701,3.97,11,5,5,1,0,0,0,0,0,0,0
2016 Fall,ACCT,3110,Intermediate Accounting I,"Hutton,Leon W",701,-,-,3,2,0,1,0,0,0,0,0,0
2016 Fall,ACCT,3120,Intermediate Accounting II,"Lee,Nammy K",701,-,-,0,3,1,2,2,0,0,0,0,2
2016 Fall,ACCT,3140,Cost Accounting,"Cardine,William",701,-,-,0,0,0,1,0,0,0,0,1,1
2016 Fall,ACCT,4450,Federal Taxation I,"Tabor,Brent M",701,-,-,1,0,0,0,2,1,0,0,0,4
2016 Fall,ACCT,4700,Federal Accounting,"Hutton,Leon W",701,3.88,21,2,12,6,1,0,0,0,0,0,0
2016 Fall,ACCT,5210,Introductory Auditing,"Evans,Richard",701,-,-,0,2,5,0,1,0,0,0,0,1
2016 Fall,AIRS,1100,Foundations of U.S. Air Force,"Ulman,Christopher Michael",001,3.87,12,4,6,1,0,0,1,0,0,0,0
2016 Fall,AIRS,1100,Foundations of U.S. Air Force,"Ulman,Christopher Michael",002,-,-,0,6,0,0,0,0,0,0,0,0
2016 Fall,AIRS,2100,Evolution of Air & Space Power,"Brown,Daniel Craig",001,-,-,3,1,0,0,0,0,0,0,0,0
2016 Fall,AIRS,2100,Evolution of Air & Space Power,"Brown,Daniel Craig",002,-,-,8,0,1,0,0,0,0,0,0,0
2016 Fall,AIRS,3100,Air Force Leadership & Mgmt,"Delawder,Colleen M",001,-,-,0,5,0,0,0,0,0,0,0,0
2016 Fall,AIRS,3100,Air Force Leadership & Mgmt,"Delawder,Colleen M",002,-,-,0,3,0,0,0,0,0,0,0,0
2016 Fall,AIRS,4100,Natl Sec Affairs/Prep Act Duty,"Donley,Patrick H",001,3.70,13,1,7,3,0,1,0,0,1,0,0
2016 Fall,AIRS,4100,Natl Sec Affairs/Prep Act Duty,"Donley,Patrick H",002,-,-,0,6,0,1,0,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,...,001,-,-,0,1,0,0,0,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,...,002,-,-,0,4,5,0,1,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,...,003,-,-,1,1,1,0,3,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,...,006,-,-,0,0,3,0,1,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,...,007,3.72,11,0,2,8,1,0,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,...,008,-,-,0,0,3,0,0,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,...,010,-,-,0,2,3,3,0,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,"Alday Sanz,Ignacio Nicolas",006,-,-,0,0,3,0,1,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,"Bonvehi Rosich,Montserrat",010,-,-,0,2,3,3,0,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,"Canfora,Anselmo Gianluca",008,-,-,0,0,3,0,0,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,"Cho,Leena Sangyun",007,3.72,11,0,2,8,1,0,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,"Cianchetta,Alessandra",011,-,-,0,3,5,1,0,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,"Crisman,Phoebe",004,-,-,0,3,4,1,0,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,"Dripps,Robin D",002,-,-,0,4,5,0,1,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,"Jover Biboum,Margarita",003,-,-,1,1,1,0,3,0,0,0,0,0
2016 Fall,ALAR,7010,Research Studio 1,"Li,Shiqiao",001,-,-,0,1,0,0,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,...,002,-,-,0,1,1,0,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,...,003,-,-,0,1,2,2,1,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,...,004,-,-,1,2,0,0,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,...,005,-,-,0,0,2,1,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,...,008,-,-,0,0,3,0,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,...,009,-,-,0,1,2,1,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,"Alday Sanz,Ignacio Nicolas",007,-,-,2,1,0,0,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,"Bonvehi Rosich,Montserrat",005,-,-,0,0,2,1,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,"Canfora,Anselmo Gianluca",006,-,-,0,0,2,1,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,"Cho,Leena Sangyun",008,-,-,0,0,3,0,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,"Cianchetta,Alessandra",009,-,-,0,1,2,1,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,"Crisman,Phoebe",003,-,-,0,1,2,2,1,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,"Dripps,Robin D",002,-,-,0,1,1,0,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,"Jover Biboum,Margarita",004,-,-,1,2,0,0,0,0,0,0,0,0
2016 Fall,ALAR,8010,Research Studio 2,"Li,Shiqiao",001,3.70,11,0,4,4,3,0,0,0,0,0,0
2016 Fall,ALAR,8030,Design Studio 3,"Dripps,Robin D",003,-,-,0,1,0,0,0,0,0,0,0,0
2016 Fall,ALAR,8100,Design Research Seminar,"Bargmann,Julie L",002,-,-,0,3,1,1,0,0,0,0,0,0
2016 Fall,ALAR,8100,Design Research Seminar,"Jull,Matthew",001,3.75,17,0,8,5,4,0,0,0,0,0,0
2016 Fall,ALAR,8995,Ind. Design Research Studio,...,001,-,-,0,1,1,0,0,0,0,0,0,0
2016 Fall,ALAR,8995,Ind. Design Research Studio,"Ford,Edward R",001,-,-,0,1,1,0,0,0,0,0,0,0
