Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2014 January,AAS,2559,New Course: AAS,"Marquez,Cecilia",1,-,-,0,1,0,0,1,0,0,1,0,0
2014 January,AMST,2500,Major Works for Amer Studies,"Marquez,Cecilia",1,-,-,0,1,2,0,0,0,0,0,0,0
2014 January,ANTH,2500,"Cultures, Regions, Civilizatio","Freeman,Caren Wendy",1,3.68,12,1,4,4,1,2,0,0,0,0,0
2014 January,ANTH,2890,Unearthing the Past,"Most,Rachel",1,3.92,11,0,8,3,0,0,0,0,0,0,0
2014 January,ARTS,2580,Special Topics in Sculpture,"Bennett,William H",1,-,-,1,5,3,0,0,0,0,0,0,0
2014 January,ARTS,2610,Introduction to Drawing I,"Rollando,Akemi Ohira",1,3.49,22,0,6,6,5,3,1,1,0,0,0
2014 January,ARTS,2620,Introduction to Drawing II,"Dass,Dean A",1,3.77,11,0,4,6,1,0,0,0,0,0,0
2014 January,ARTS,2812,Introduction to Sculpture II,"Bennett,William H",1,-,-,0,1,0,0,0,0,0,0,0,0
2014 January,BME,4550,Spec Topics: Biomedical Engr,"Allen,Timothy E",1,-,-,0,10,0,0,0,0,0,0,0,0
2014 January,CLAS,3559,New Course: CLAS,"Hays,Bradford G",1,-,-,0,9,0,0,0,0,0,0,0,0
2014 January,COMM,3845,Foundations Intl Business,"Wilkerson,William R",1,3.85,19,0,12,5,2,0,0,0,0,0,0
2014 January,COMM,4293,GCI: IT Practicum in Argentina,"Grazioli,Stefano",501,3.95,11,2,7,2,0,0,0,0,0,0,0
2014 January,COMM,4393,GCI: Consumers & Markets,"Cheema,Amar",501,3.53,17,0,4,5,5,3,0,0,0,0,0
2014 January,COMM,4890,GCI: General Topics,"Webb,Robert I",501,3.83,16,2,5,9,0,0,0,0,0,0,0
2014 January,DRAM,3320,The Fine Art of Dress 1,"West,Gweneth L",1,-,-,2,1,1,2,0,1,0,0,0,0
2014 January,ECE,3501,Special Topics ECE,"Powell Jr.,Harry Courtney",1,4.00,13,0,13,0,0,0,0,0,0,0,0
2014 January,EDHS,2850,Medical Terminology,"Hart III,Joseph M",1,3.96,25,0,22,3,0,0,0,0,0,0,0
2014 January,EDHS,3500,Spec Tops: Human Services,"Crotts,Lynne Alison",1,-,-,0,3,0,0,0,0,0,0,0,0
2014 January,ENSP,1060,Public Speaking,"Gardiner,Margaret Elaine",1,3.84,21,0,10,11,0,0,0,0,0,0,0
2014 January,ENSP,3200,"Irish Lit., Music, and Art","Fowler,Elizabeth",501,3.16,23,0,2,5,3,6,6,0,1,0,0
2014 January,ENWR,3559,New Course: ENWR,"Denton,Elizabeth",1,3.82,15,2,4,9,0,0,0,0,0,0,1
2014 January,EVSC,1050,"Ethics,Pro & Prac of Int'l Res","Swap,Robert John",1,3.33,17,0,3,8,1,3,1,0,0,0,1
2014 January,EVSC,2070,Earth Systems Tech & Mgmt,"Gorman,Michael E",1,-,-,0,0,0,1,0,2,0,0,0,0
2014 January,EVSC,4559,New Course: EVSC,"Macko,Stephen A",1,3.56,18,0,4,7,4,3,0,0,0,0,0
2014 January,EVSC,4559,New Course: EVSC,"Ray,G Carleton",2,-,-,1,2,2,1,2,0,0,0,0,0
2014 January,FREN,3553,J-Term in Paris,"Blatt,Ari Jason",501,-,-,0,8,0,0,0,0,0,0,0,0
2014 January,FRTR,2553,J-Term in Paris,"Blatt,Ari Jason",501,4.00,12,0,12,0,0,0,0,0,0,0,0
2014 January,GDS,3559,New Course: GDS,"Germano,David F",1,-,-,0,2,1,0,0,0,0,0,0,0
2014 January,GETR,2770,Berlin and Memory,"Ilsemann,Mark",501,3.76,18,0,9,5,4,0,0,0,0,0,0
2014 January,GNUR,5500,Special Topics,"Snyder,Audrey Elizabeth Wright",501,-,-,1,5,1,0,0,0,0,0,0,0
2014 January,GNUR,6320,Immunocompetence in Vuln Pop,"Brashers,Valentina L",501,4.00,43,39,4,0,0,0,0,0,0,0,0
2014 January,HIEA,3141,Pol & Soc Thought Modern China,"Reed,Bradly W",1,3.51,27,0,8,5,8,6,0,0,0,0,0
