Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2023 Fall,PHYS,2010,Principles of Physics 1,030809,"Sundararajan,Jency",002,10379,College & Graduate Arts & Sci,3.34,97,11,33,13,13,7,6,3,2,1,8
2023 Fall,ARCH,4010,Research Studio,001546,"Sherman,William H.",011,14427,School of Architecture,3.53,13,0,4,2,5,2,0,0,0,0,0
2023 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"donovan,devin",009,10519,College & Graduate Arts & Sci,3.87,15,1,11,1,1,1,0,0,0,0,0
2023 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"D'Errico,Jon",012,10522,College & Graduate Arts & Sci,3.67,18,0,9,4,4,0,0,0,1,0,0
2023 Fall,PHYS,2030,Princip of Physics 1 Workshop,030811,"Bychkov,Maksim",011,10566,College & Graduate Arts & Sci,3.80,24,0,13,8,2,1,0,0,0,0,0
2023 Fall,STAT,2020,Statistics for Biologists,039999,"Ferrara,Maria",001,11400,College & Graduate Arts & Sci,3.58,119,16,35,31,16,9,4,4,4,0,0
2023 Fall,ANTH,2280,Medical Anthropology,000655,"Fontanilla,Julia Alejandra Morales",100,11460,College & Graduate Arts & Sci,3.88,60,0,49,6,1,2,1,1,0,0,0
2023 Fall,STAT,5350,Applied Causal Inference,044075,"Rodu,Jordan",001,13555,College & Graduate Arts & Sci,3.79,20,0,17,1,0,1,0,0,0,0,1
2023 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"Announced,To be",022,10528,College & Graduate Arts & Sci,3.89,14,2,9,2,0,1,0,0,0,0,0
2023 Fall,CHEM,1411,Intro College Chem I Lab,005986,"Morkowchuk,Lisa",006,10609,College & Graduate Arts & Sci,3.28,21,10,1,4,0,0,2,1,0,1,2
2023 Fall,COMM,4263,Cybersecurity as Business Risk,045369,"Lewis,Bryan",001,14636,McIntire School of Commerce,3.68,30,1,5,18,6,0,0,0,0,0,0
2023 Fall,STAT,3220,Intro to Regression Analysis,040001,"Varanyak,Krista",003,12657,College & Graduate Arts & Sci,3.88,80,4,51,20,4,1,0,0,0,0,0
2023 Fall,ASTR,1210,Intro Sky and Solar System,003045,"Pryal,Matthew",005,13048,College & Graduate Arts & Sci,3.64,140,2,70,36,11,9,5,3,0,2,2
2023 Fall,APMA,2120,Multivariable Calculus,001144,"Mahmood,Asif",003,15915,Engineering & Applied Science,3.20,42,5,12,7,4,3,4,1,1,1,4
2023 Fall,MSE,3670,Elec Opticl & Magn Behav Matls,024408,"McDonnell,Stephen",001,15526,Engineering & Applied Science,3.69,10,1,5,0,3,1,0,0,0,0,0
2023 Fall,APMA,1110,Single Variable Calculus II,001140,"Announced,To be",005,15460,Engineering & Applied Science,2.91,40,2,9,6,4,7,2,1,1,0,8
2023 Fall,GCOM,7290,Frontiers in Biotechnology I,046773,"Hastings,Nikki",001,14679,McIntire School of Commerce,3.81,16,0,12,1,1,2,0,0,0,0,0
2023 Fall,EDIS,4345,Tchng Social Studies Elem,046132,"Nussbaum,Ben",001,15303,School of Education and HumanDev,3.94,27,3,23,0,0,0,0,1,0,0,0
2023 Fall,CHEM,1411,Intro College Chem I Lab,005986,"Morkowchuk,Lisa",010,11409,College & Graduate Arts & Sci,3.66,23,12,5,3,0,0,1,1,0,0,1
2023 Fall,COMM,4790,Fundamentals of R.E. Analysis,006542,"Korgaonkar,Sanket",002,14639,McIntire School of Commerce,3.44,38,0,9,7,16,1,4,1,0,0,0
2023 Fall,COMM,3230,Managing Innovation,045750,"Martin,Eric",001,14642,McIntire School of Commerce,3.78,41,0,26,8,3,2,2,0,0,0,0
2023 Fall,GCOM,7380,Data Mgt & Analytics for Accts,044316,"Liang,Yi",002,14672,McIntire School of Commerce,3.74,22,0,9,9,3,1,0,0,0,0,0
2023 Fall,EDLF,7815,Ldshp Equity Dverse Population,046606,...,500,15383,School of Education and HumanDev,3.96,17,9,6,2,0,0,0,0,0,0,0
2023 Fall,ECON,4010,Game Theory,007943,"Engers,Maxim",100,11513,College & Graduate Arts & Sci,3.50,25,0,6,9,5,2,2,1,0,0,0
2023 Fall,ASTR,3410,Archaeo-Astronomy,003081,"Chevalier,Roger",001,11293,College & Graduate Arts & Sci,3.44,28,1,12,5,2,4,2,0,0,0,2
2023 Fall,CHEM,5110,Organic Chemistry III,005768,"Hilinski,Michael",001,10592,College & Graduate Arts & Sci,3.40,17,0,3,5,4,2,3,0,0,0,0
2023 Fall,EDIS,5857,Content Seminar Special Ed,045881,"Morano,Stephanie",001,15166,School of Education and HumanDev,4.00,5,3,2,0,0,0,0,0,0,0,0
2023 Fall,PHYS,2030,Princip of Physics 1 Workshop,030811,"Bychkov,Maxim Aleksandrovich",017,13156,College & Graduate Arts & Sci,4.00,13,3,10,0,0,0,0,0,0,0,0
2023 Fall,ENTP,1010,Intro to Entrepreneurship,043881,"Etienne,Bevin",002,14621,McIntire School of Commerce,3.83,55,0,29,22,4,0,0,0,0,0,0
2023 Fall,EDIS,5000,The Exceptional Learner,009423,"Cook,Bryan",500,15228,School of Education and HumanDev,3.50,21,0,13,4,2,0,0,0,0,0,2
2023 Fall,CS,1112,Introduction to Programming,007058,"Basit,Nada",001,15493,Engineering & Applied Science,3.86,89,19,50,10,4,4,2,0,0,0,0
2023 Fall,ENGL,4520,Seminar Renaissance Literature,012910,"Parker,John",001,19219,College & Graduate Arts & Sci,3.49,11,0,3,4,1,2,0,1,0,0,0
2023 Fall,COMM,3410,Commercial Law I,006470,"Moore,Sherri",002,14633,McIntire School of Commerce,3.35,306,0,84,93,41,20,32,10,10,6,10
2023 Fall,EDIS,3020,The Exceptional Learner,009391,"Announced,To be",501,15377,School of Education and HumanDev,3.86,29,0,24,2,2,0,0,0,1,0,0
2023 Fall,COMM,5140,AcctforDecision Making&Control,006550,"Roberts,Andrea",002,14624,McIntire School of Commerce,3.60,28,0,7,10,9,2,0,0,0,0,0
2023 Fall,MAE,3310,Aerospace Structures,022585,"Momot,Michael",001,15514,Engineering & Applied Science,2.92,131,8,16,20,12,24,18,7,12,4,10
2023 Fall,SPAN,4510,Spec Topics Sem: Literature,035968,"Valverde,Fernando",001,13546,College & Graduate Arts & Sci,3.82,26,3,14,7,1,0,0,0,1,0,0
2023 Fall,COMM,3030,Quantitative & Finan Analysis,006455,"White,Mark A",004,14561,McIntire School of Commerce,3.36,50,0,4,23,5,10,6,1,1,0,0
2023 Fall,COMM,4680,Entrepreneurship,006531,"Martin,Eric",001,14573,McIntire School of Commerce,3.88,43,0,32,7,3,1,0,0,0,0,0
2023 Fall,COMM,4450,Federal Taxation,006512,"Porter,Susan",001,14627,McIntire School of Commerce,3.61,11,3,1,4,2,0,0,1,0,0,0
2023 Fall,MDST,3704,Games and Play,044889,"Duncan,Sean",001,14051,College & Graduate Arts & Sci,2.93,22,1,7,0,6,0,0,1,4,0,3
2023 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"Announced,To be",087,13991,College & Graduate Arts & Sci,3.70,16,0,8,5,1,0,2,0,0,0,0
2023 Fall,PSYC,2600,Intro to Social Psychology,032521,"Wood,Adrienne",002,11824,College & Graduate Arts & Sci,3.74,371,81,175,43,30,14,15,5,2,3,3
2023 Fall,STAT,5330,Data Mining,040819,"Announced,To be",001,12714,College & Graduate Arts & Sci,3.75,34,7,21,2,1,0,1,0,1,0,1
2023 Fall,PHIL,2500,Survey on a PhilosophicalTopic,043637,"Harris,Kimberly",100,11926,College & Graduate Arts & Sci,3.64,45,6,17,13,3,1,2,0,2,0,1
2023 Fall,GETR,3392,Fairy Tales,045570,"Schmid,Marcel",001,12986,College & Graduate Arts & Sci,3.94,30,1,24,4,1,0,0,0,0,0,0
2023 Fall,EGMT,1520,Empirical Engagement,044513,"Announced,To be",104,12669,College & Graduate Arts & Sci,3.88,30,15,12,0,1,1,0,0,1,0,0
2023 Fall,GETR,3464,Stories of Love and Adventure,045859,"McDonald,William",002,14125,College & Graduate Arts & Sci,3.56,30,0,13,7,5,2,0,1,2,0,0
2023 Fall,PHYS,2030,Princip of Physics 1 Workshop,030811,"Bychkov,Maksim",014,10569,College & Graduate Arts & Sci,3.77,25,0,11,11,2,1,0,0,0,0,0
2023 Fall,ANTH,2400,Language and Culture,000667,"Wendte,Nathan",100,12734,College & Graduate Arts & Sci,3.92,120,0,105,9,3,1,0,2,0,0,0
2023 Fall,PLAN,6070,Planning Theory and Practice,031389,"Roberts,Andrea",001,14329,School of Architecture,3.93,27,0,25,0,1,0,1,0,0,0,0
2023 Fall,ARCH,2010,Foundation Studio II,001493,"Scott,Stacy",106,14457,School of Architecture,3.40,13,1,2,1,6,2,1,0,0,0,0
2023 Fall,EDIS,7720,Understanding the Code,009524,"Hayes,Latisha",500,15258,School of Education and HumanDev,3.83,15,2,10,2,0,0,0,0,1,0,0
2023 Fall,ENGL,3924,Vietnam War Lit & Film,044122,"Chong,Sylvia",001,19237,College & Graduate Arts & Sci,3.37,10,4,1,2,1,1,0,0,0,0,1
2023 Fall,LNGS,3250,Intro to Linguistic Theory,022530,"Elson,Mark",001,10254,College & Graduate Arts & Sci,3.32,49,0,16,4,7,13,7,0,1,0,1
2023 Fall,MUSI,3332,Musicianship I,025175,"Carter,Adam",001,10364,College & Graduate Arts & Sci,3.83,12,4,5,1,1,1,0,0,0,0,0
2023 Fall,GREE,2010,Intermediate Greek I,017183,"Dillery,John",001,10215,College & Graduate Arts & Sci,3.44,12,1,1,3,5,1,1,0,0,0,0
2023 Fall,PSYC,5280,Neuropsychopharmacology,046395,"Erisir,Alev",001,19123,College & Graduate Arts & Sci,3.94,23,7,13,2,1,0,0,0,0,0,0
2023 Fall,COLA,1500,College Advising Seminars,006376,"Gilboa,Zvi",039,11684,College & Graduate Arts & Sci,4.00,17,2,15,0,0,0,0,0,0,0,0
2023 Fall,PHYS,2030,Princip of Physics 1 Workshop,030811,"Bychkov,Maksim",008,10563,College & Graduate Arts & Sci,3.89,23,0,16,6,1,0,0,0,0,0,0
2023 Fall,JAPN,2010,Second-Year Japanese I,020742,"Ito,Takuya",001,12548,College & Graduate Arts & Sci,3.71,13,1,5,5,0,1,1,0,0,0,0
2023 Fall,DRAM,1020,Speaking in Public,007178,"Kelly,Colleen",002,12074,College & Graduate Arts & Sci,3.90,16,0,14,1,0,0,1,0,0,0,0
2023 Fall,SPAN,2010,Intermediate Spanish,035853,"Neff,Kate",006,11391,College & Graduate Arts & Sci,3.83,18,0,9,8,1,0,0,0,0,0,0
