Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2019 Spring,AAS,1020,African-Amer & African Stds II,"Harold,Claudrena N",100,3.30,179,0,34,49,30,27,18,8,6,2,5
2019 Spring,AAS,2224,Black Fem & Masc in US Media,"Shutt,Lisa Toccafondi",001,2.99,43,0,10,10,6,6,2,0,3,0,6
2019 Spring,AAS,2224,Black Fem & Masc in US Media,"Shutt,Lisa Toccafondi",002,3.22,45,0,9,11,9,6,4,1,2,0,3
2019 Spring,AAS,2559,New Course:  AAS,"Perry Jr.,Tony Curtis",003,3.39,15,1,5,1,2,1,1,0,0,0,4
2019 Spring,AAS,2559,New Course:  AAS,"Rotich,Anne J",002,3.60,13,0,5,6,0,0,0,2,0,0,0
2019 Spring,AAS,2740,Peoples and Cultures of Africa,"Shutt,Lisa Toccafondi",001,3.33,24,0,11,3,1,4,1,3,0,0,1
2019 Spring,AAS,3000,Women and Religion in Africa,"Hoehler-Fatton,Cynthia Heyden",001,-,-,0,0,1,0,2,1,0,0,0,0
2019 Spring,AAS,3500,Intermediate Seminar in AAS,"Bailey,Telisha Dionne",001,3.69,24,1,16,2,1,0,1,0,0,2,1
2019 Spring,AAS,3500,Intermediate Seminar in AAS,"Hamilton,Njelle Wendyann",004,3.16,17,8,4,1,0,0,0,0,1,0,3
2019 Spring,AAS,3500,Intermediate Seminar in AAS,"Kendall,Nzingha Santiago",002,3.93,20,7,9,1,0,1,0,0,0,0,2
2019 Spring,AAS,3500,Intermediate Seminar in AAS,"Madarieta,Ethan R",009,3.76,24,10,7,5,0,0,0,0,0,0,2
2019 Spring,AAS,3500,Intermediate Seminar in AAS,"Payton,Claire Antone",006,-,-,0,1,3,2,1,1,0,0,1,0
2019 Spring,AAS,3500,Intermediate Seminar in AAS,"Reynolds,Pamela P",005,3.39,21,6,7,1,4,0,0,1,0,0,2
2019 Spring,AAS,3500,Intermediate Seminar in AAS,"Wallace,Maurice O",008,-,-,1,0,0,0,1,0,0,0,0,1
2019 Spring,AAS,3652,African Am History Since 1865,"Kahrl,Andrew W",001,3.00,47,0,12,5,10,8,2,3,1,0,6
2019 Spring,AAS,3810,"Race, Culture & Inequality","Pendergrass,Sabrina",001,3.34,19,0,3,7,4,1,0,1,1,1,1
2019 Spring,AAS,4080,Thesis,"Harold,Claudrena N",001,-,-,0,5,0,0,0,0,0,0,0,0
2019 Spring,AAS,4570,Adv Research Sem in AAS,"Gaines,Kevin Kelly",002,-,-,0,2,0,2,2,0,0,0,0,1
2019 Spring,AAS,4725,Queer Africas,"Otu,Edwin Kwame",001,2.32,14,0,1,3,1,1,2,0,2,1,3
2019 Spring,AAS,4993,Independent Study,"Harold,Claudrena N",001,-,-,0,1,0,0,0,0,0,0,0,0
2019 Spring,AAS,4993,Independent Study,"Shutt,Lisa Toccafondi",002,-,-,0,1,0,0,0,0,0,0,0,1
2019 Spring,ACCT,2010,Introductory Accounting I,"Kasten,Marshall V",701,3.45,21,2,7,3,0,2,1,1,2,0,3
2019 Spring,ACCT,2020,Introductory Accounting II,"Montesa,Noel Evangelista",701,3.69,14,8,4,0,0,0,0,0,0,0,2
2019 Spring,ACCT,3110,Intermediate Accounting I,"Hutton,Leon W",701,-,-,3,3,0,0,1,0,0,0,0,0
2019 Spring,ACCT,3120,Intermediate Accounting II,"Lee,Nammy K",701,3.09,16,0,1,2,4,3,0,2,1,0,3
2019 Spring,ACCT,3140,Cost Accounting,"Cardine,William",701,3.40,14,2,3,1,1,1,1,0,0,0,5
2019 Spring,ACCT,4450,Federal Taxation I,"Falcone,Todd",701,-,-,1,6,1,1,0,0,1,0,0,0
2019 Spring,ACCT,5250,Advanced Auditing,"Evans,Richard",701,3.21,11,0,2,1,4,2,1,0,0,1,0
2019 Spring,ACCT,5310,Topics in Advanced Accounting,"Brooks,Gary D",701,3.86,16,0,13,0,0,0,0,0,1,0,2
2019 Spring,ACCT,5410,Fraud Examination,"Hood,Michael B",701,3.71,14,1,6,4,0,0,2,0,0,0,1
2019 Spring,ACCT,5460,Federal Taxation II,"Dittmer,Gary D",701,-,-,0,5,0,0,1,0,0,1,0,0
2019 Spring,AIRS,1200,Foundations of U.S. Air Force,"Delawder,Colleen M",001,-,-,0,6,2,0,0,0,0,0,0,0
2019 Spring,AIRS,1200,Foundations of U.S. Air Force,"Delawder,Colleen M",002,-,-,0,4,1,0,0,0,0,0,0,0
2019 Spring,AIRS,2200,Evolution of Air & Space Power,"Brown,Daniel Craig",001,3.86,14,6,3,4,1,0,0,0,0,0,0
2019 Spring,AIRS,2200,Evolution of Air & Space Power,"Brown,Daniel Craig",002,-,-,1,3,1,0,0,0,0,0,0,0
2019 Spring,AIRS,3200,Air Force Leadership & Mgmt,"Ulman,Christopher Michael",001,-,-,0,5,0,0,0,0,0,0,0,0
2019 Spring,AIRS,3200,Air Force Leadership & Mgmt,"Ulman,Christopher Michael",002,-,-,0,4,1,1,0,0,0,0,0,0
2019 Spring,AIRS,4200,Natl Sec Affairs/Prep Act Duty,"Donley,Patrick H",001,-,-,0,1,0,1,0,0,0,0,0,0
2019 Spring,AIRS,4200,Natl Sec Affairs/Prep Act Duty,"Donley,Patrick H",002,-,-,0,2,0,1,0,0,0,0,0,0
2019 Spring,ALAR,8020,Design Development Studio,"Comazzi,John Joseph",006,-,-,0,1,4,2,2,1,0,0,0,0
2019 Spring,ALAR,8020,Design Development Studio,"Jull,Matthew",007,-,-,0,3,3,3,0,0,0,0,0,0
2019 Spring,ALAR,8020,Design Development Studio,"Martin Robles,Ines Maria",004,-,-,0,3,1,4,1,1,0,0,0,0
2019 Spring,ALAR,8020,Design Development Studio,"Pancorbo Crespo,Luis Guillermo",002,3.62,13,2,4,2,3,1,1,0,0,0,0
2019 Spring,ALAR,8995,Thesis II,"Cantrell,Bradley E",001,-,-,0,0,2,1,0,0,0,0,0,0
2019 Spring,ALAR,8995,Thesis II,"Lee,Michael George",002,-,-,0,0,0,0,1,0,0,0,0,0
2019 Spring,AMST,2559,New Course: AMST,"Goin,Keara K",002,3.67,29,0,19,2,4,0,2,1,1,0,0
2019 Spring,AMST,2559,New Course: AMST,"Ingle,Sarah Elizabeth",001,3.46,12,0,1,5,3,1,1,0,0,0,1
2019 Spring,AMST,2660,Spirituality in America,"Hedstrom,Matthew Sigurd",100,3.58,120,0,45,39,17,6,6,0,3,1,3
2019 Spring,AMST,3001,Theories & Methods of Amer Std,"Frank,Gillian Avrum",001,2.98,19,0,3,3,3,4,1,0,3,0,2
2019 Spring,AMST,3001,Theories & Methods of Amer Std,"Frank,Gillian Avrum",002,3.03,19,0,1,6,2,4,3,2,0,0,1
2019 Spring,AMST,3323,Hemispheric Latinx Lit&Culture,"Lamas,Carmen E",001,3.55,12,0,3,3,3,2,0,0,0,0,1
2019 Spring,AMST,3407,Racial Borders and Am Cinema,"Dave,Shilpa S",001,-,-,0,2,1,1,3,0,0,0,0,1
2019 Spring,AMST,3425,American Material Culture,"Sewell,Jessica Ellen",001,3.78,31,2,12,13,4,0,0,0,0,0,0
2019 Spring,AMST,3463,Language and New Media,"Williams,Ashley M",001,3.12,30,0,3,7,5,6,4,1,2,0,2
2019 Spring,AMST,3559,New Course: AMST,"Ingle,Sarah Elizabeth",001,2.99,11,0,0,1,4,3,1,0,0,0,2
2019 Spring,AMST,3740,Cultures of Hip-Hop,"Hamilton,John C",001,3.58,32,0,11,9,6,5,0,1,0,0,0
2019 Spring,AMST,4321,Caribbean Latinx,"Lamas,Carmen E",001,3.58,17,0,5,8,1,2,0,0,1,0,0
2019 Spring,AMST,4500,Fourth Year Seminar AMST,"Goff,Lisa",003,-,-,0,2,1,0,3,0,0,2,0,0
2019 Spring,AMST,4500,Fourth Year Seminar AMST,"Ross,Marlon B",004,-,-,0,1,2,5,0,1,0,0,0,0
2019 Spring,AMST,4500,Fourth Year Seminar AMST,"Shukla,Sandhya",002,3.26,22,1,9,5,1,0,2,2,0,0,2
2019 Spring,AMST,4500,Fourth Year Seminar AMST,"Von Eschen,Penny Marie",001,-,-,0,2,1,0,2,0,0,0,0,0
2019 Spring,AMST,4559,New Course: American Studies,"Hamilton,John C",002,-,-,0,2,4,2,0,1,0,0,0,0
2019 Spring,AMST,4999,DMP Thesis Seminar,"Fojas,Camilla Marie",001,-,-,0,8,0,0,0,0,0,0,0,0
2019 Spring,AMST,8001,Grad Seminar in AMST,"Fojas,Camilla Marie",001,-,-,0,6,2,0,0,0,0,0,0,0
2019 Spring,ANTH,1010,Introduction to Anthropology,"Sicoli,Mark A",100,3.68,180,21,92,27,10,16,6,3,2,1,2
2019 Spring,ANTH,2120,The Concept of Culture,"Bashkow,Ira R",100,3.35,121,1,22,26,38,20,8,2,1,1,2
2019 Spring,ANTH,2280,Medical Anthropology,"Tidey,Sylvia",100,3.80,238,3,123,95,9,3,2,2,0,0,1
2019 Spring,ANTH,2325,Anthropology of God,"Mentore,George P",100,3.31,34,0,0,8,17,8,1,0,0,0,0
2019 Spring,ANTH,2410,Sociolinguistics,"Lefkowitz,Daniel S",100,3.69,56,11,20,11,3,3,5,1,0,0,2
2019 Spring,ANTH,2430,Languages of the World,"Beer,Samuel James",100,3.41,121,12,41,21,12,16,6,3,2,1,7
2019 Spring,ANTH,2541,Topics in Linguistics,"Van Luit,Victoria",501,-,-,0,5,3,0,0,0,0,0,0,0
2019 Spring,ANTH,2559,New Course: ANTH,"Lefkowitz,Daniel S",001,-,-,0,2,3,2,0,0,0,0,0,0
2019 Spring,ANTH,2590,Social & Cultural Anthropology,"Andre-Johnson,Cory-Alice",003,-,-,0,1,2,1,1,0,1,0,0,1
2019 Spring,ANTH,2590,Social & Cultural Anthropology,"Peng,Xinyan",002,3.77,29,7,10,7,2,1,0,0,1,0,1
2019 Spring,ANTH,2620,"Sex, Gender and Culture","Cieslak,Jacqueline Elizabeth",001,3.35,31,2,7,6,4,4,3,1,0,0,4
2019 Spring,ANTH,2820,Rise of Civilization,"Wattenmaker,Patricia A",100,3.54,44,1,15,9,11,5,1,1,1,0,0
2019 Spring,ANTH,3020,Using Anthropology,"Seale-Feldman,Aidan S",100,3.61,58,4,22,16,8,2,3,0,1,0,2
2019 Spring,ANTH,3130,"Disease, Epidemics and Society","Shepherd,John R",001,3.43,12,2,2,3,1,3,0,0,0,1,0
2019 Spring,ANTH,3290,Biopolitics,"Seale-Feldman,Aidan S",001,3.82,14,2,4,5,1,0,0,0,0,0,2
2019 Spring,ANTH,3290,Biopolitics,"Seale-Feldman,Aidan S",002,3.76,14,2,6,3,2,1,0,0,0,0,0
2019 Spring,ANTH,3310,Care in Africa,"Scherz,China Rose",001,3.90,32,4,20,6,2,0,0,0,0,0,0
2019 Spring,ANTH,3340,Ecology and Society,"Damon,Frederick H.",001,3.22,15,2,3,3,3,0,0,1,1,1,1
2019 Spring,ANTH,3360,The Museum in Modern Culture,"Howarter,Carolyn Lee",001,3.72,15,6,4,3,0,0,1,0,1,0,0
2019 Spring,ANTH,3370,Power and the Body,"Mentore,George P",100,3.42,20,0,1,13,4,1,0,0,0,0,1
2019 Spring,ANTH,3455,African Languages,"Beer,Samuel James",001,3.10,25,5,5,4,2,2,0,2,1,1,3
2019 Spring,ANTH,3480,Language and Prehistory,"Danziger,Eve",100,3.39,44,1,6,18,5,6,1,3,1,1,2
2019 Spring,ANTH,3589,Topics in Archaeology,"Baltali Tirpan,Sevil Hatice",001,3.60,11,2,2,2,4,1,0,0,0,0,0
2019 Spring,ANTH,3590,Social & Cultural Anthropology,"Greci Green,Adriana",001,-,-,0,1,0,0,0,0,0,0,0,0
2019 Spring,ANTH,3590,Social & Cultural Anthropology,"Werner,Eric",002,3.85,31,6,17,3,2,1,1,0,0,0,1
