Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2025 Spring,LAR,6020,Foundation Studio II,020951,"Gastinger,Breck August",001,10379,School of Architecture,3.48,9,0,2,2,4,0,1,0,0,0,0
2025 Spring,ARCH,2020,Foundation Studio III,001494,"Gonzalez Aranguren,Maria",007,10519,School of Architecture,3.56,13,1,3,3,4,2,0,0,0,0,0
2025 Spring,ARTS,2222,Introduction to New Media II,002859,"Villanueva,Maria",001,10566,College & Graduate Arts & Sci,3.60,11,1,6,1,2,0,0,0,0,0,1
2025 Spring,PHYS,1429,Intro Physics 1 Workshop,031036,"Bychkov,Maksim",007,10826,College & Graduate Arts & Sci,3.72,25,3,16,3,0,2,0,0,0,0,1
2025 Spring,EGMT,1510,Engaging Aesthetics,044512,"Goldblatt,Laura",106,14065,College & Graduate Arts & Sci,3.96,35,0,32,2,1,0,0,0,0,0,0
2025 Spring,MUSI,3400,Ecoacoustics,042047,"Burtner,Matthew",001,14101,College & Graduate Arts & Sci,3.78,21,0,19,0,1,0,0,0,0,0,1
2025 Spring,STS,4600,Engr Ethcs Prof Responsibility,036750,"Seabrook,Bryn",019,15439,Engineering & Applied Science,3.90,28,0,21,6,0,1,0,0,0,0,0
2025 Spring,MATH,1320,Calculus II,022954,"Aitzhanova,Bakhyt",500,12660,College & Graduate Arts & Sci,3.22,21,4,7,0,1,1,2,3,2,0,1
2025 Spring,ECON,4110,Competitive Strategy,045763,"Moore,Michael",001,12908,College & Graduate Arts & Sci,3.58,56,3,15,20,11,4,0,1,1,1,0
2025 Spring,EDIS,3020,The Exceptional Learner,009391,"Myers-Mitchell,H. Nicole",501,17505,School of Education and HumanDev,3.93,30,2,21,7,0,0,0,0,0,0,0
2025 Spring,LAW,7160,Computer Crime,044272,"Bamzai,Aditya",1,10236,School of Law,3.61,77,0,25,20,28,3,1,0,0,0,0
2025 Spring,BIOL,3240,Introduction to Immunology,003549,"Kittlesen,David",001,10595,College & Graduate Arts & Sci,3.40,157,18,41,25,23,17,17,8,4,2,2
2025 Spring,BIOL,2200,Intro Bio w/Lab: Orgnsm & Evol,003471,"Manson,Jessamyn",001,10592,College & Graduate Arts & Sci,3.25,432,35,74,93,65,57,36,28,26,10,8
2025 Spring,PHYS,1429,Intro Physics 1 Workshop,031036,"Bychkov,Maksim",004,10823,College & Graduate Arts & Sci,3.95,25,3,19,2,1,0,0,0,0,0,0
2025 Spring,PHYS,1429,Intro Physics 1 Workshop,031036,"Bychkov,Maksim",019,10836,College & Graduate Arts & Sci,3.48,26,3,15,0,3,2,0,0,1,0,2
2025 Spring,CHEM,1421,Intro College Chemistry II Lab,005994,"Morkowchuk,Lisa",029,12116,College & Graduate Arts & Sci,3.98,24,21,1,2,0,0,0,0,0,0,0
2025 Spring,GDS,4991,Fourth-Year Seminar,041012,"Edmunds,David",001,12914,College & Graduate Arts & Sci,3.62,32,0,24,3,2,0,0,0,1,0,2
2025 Spring,ECE,3250,Electromag Energy Conversion,007678,"Barnes,Adam",001,14994,Engineering & Applied Science,3.47,29,3,10,5,3,3,1,2,2,0,0
2025 Spring,ANTH,3240,The Anthropology of Food,041611,"Jernigan,Kasey",100,19631,College & Graduate Arts & Sci,4.00,58,27,31,0,0,0,0,0,0,0,0
2025 Spring,MATH,1220,A Survey of Calculus II,022945,"Kurtz,Brianna A.",600,10749,College & Graduate Arts & Sci,3.50,21,1,8,2,5,3,1,0,1,0,0
2025 Spring,MATH,1320,Calculus II,022954,"Aitzhanova,Bakhyt",300,10755,College & Graduate Arts & Sci,3.35,23,4,8,1,0,5,0,3,0,2,0
2025 Spring,CHEM,1421,Intro College Chemistry II Lab,005994,"Morkowchuk,Lisa",009,11119,College & Graduate Arts & Sci,3.71,20,14,0,1,3,0,0,2,0,0,0
2025 Spring,PHIL,3800,Feminist Philosophy,044472,"Payton,Dee",001,12044,College & Graduate Arts & Sci,3.61,27,0,13,3,6,4,1,0,0,0,0
2025 Spring,GERM,2020,Intermediate German,015679,"Gutterman,Julia",002,13546,College & Graduate Arts & Sci,3.94,17,2,14,0,0,1,0,0,0,0,0
2025 Spring,CHEM,1421,Intro College Chemistry II Lab,005994,"Morkowchuk,Lisa",038,14561,College & Graduate Arts & Sci,3.88,24,18,3,1,0,0,2,0,0,0,0
2025 Spring,EGMT,1540,Ethical Engagement,044515,"Bernard,Benjamin",215,14573,College & Graduate Arts & Sci,3.74,34,6,18,4,1,2,2,0,0,1,0
2025 Spring,MSE,3070,Kinetics of Materials,045589,"Zhou,Bicheng",001,15917,Engineering & Applied Science,3.90,19,5,10,3,0,1,0,0,0,0,0
2025 Spring,RUSS,3020,Third-Year Russian,034653,"Borovskaya-Ellis,Anna",001,10903,College & Graduate Arts & Sci,3.80,10,0,7,1,1,1,0,0,0,0,0
2025 Spring,CHIN,2020,Intermediate Chinese,006054,"Wang,Jun",001,12669,College & Graduate Arts & Sci,3.96,17,12,4,0,1,0,0,0,0,0,0
2025 Spring,CHEM,2420,Organic Chemistry II,005699,"Serbulea,Vlad",400,12672,College & Graduate Arts & Sci,3.03,113,7,38,13,7,12,4,4,6,7,15
2025 Spring,MATH,2310,Calculus III,023024,"Sonkin,Dmitriy",200,10758,College & Graduate Arts & Sci,3.11,34,0,9,4,7,6,2,2,1,0,3
2025 Spring,PSYC,4500,Spec Tops: Psychology,032600,"Barrentine,Kyle",002,20377,College & Graduate Arts & Sci,3.64,25,1,15,5,1,1,0,1,0,0,1
2025 Spring,CLAS,2020,Roman Civilization,006298,"Hays,Bradford",100,11484,College & Graduate Arts & Sci,3.02,20,0,4,3,3,2,2,2,2,2,0
2025 Spring,PHYS,1425,Intro Physics 1 for Engineers,031032,"Norum,Blaine",001,10817,College & Graduate Arts & Sci,3.32,79,15,9,12,9,22,4,2,3,2,1
2025 Spring,PHYS,1429,Intro Physics 1 Workshop,031036,"Bychkov,Maksim",010,10829,College & Graduate Arts & Sci,3.90,25,5,17,1,0,1,1,0,0,0,0
2025 Spring,LAW,7088,Law and Public Service,040070,"Kim,Annie",2,10254,School of Law,3.55,23,0,8,1,13,1,0,0,0,0,0
2025 Spring,LAW,8807,PT Externship: Directed Study,042592,"Ryan,Anne Sprightley",1,10037,School of Law,3.85,10,0,5,5,0,0,0,0,0,0,0
2025 Spring,LAW,7082,Secured Transactions,021616,"Hynes,Richard",1,10263,School of Law,3.55,51,1,9,20,13,7,1,0,0,0,0
2025 Spring,JPTR,3100,Myths and Legends of Japan,039286,"Heldt,Gustav",001,19097,College & Graduate Arts & Sci,3.46,17,0,3,7,3,2,1,1,0,0,0
2025 Spring,ARAB,1020,Elementary Arabic II,001280,"Maanaki,Bilal",002,10563,College & Graduate Arts & Sci,3.63,15,0,7,6,1,0,0,0,0,0,1
2025 Spring,PHYS,1429,Intro Physics 1 Workshop,031036,"Bychkov,Maksim",020,10838,College & Graduate Arts & Sci,3.73,26,2,16,3,1,2,0,2,0,0,0
2025 Spring,AAS,2500,Topics in Africana Studies,046413,"Mohamed,Naseemah",004,14317,College & Graduate Arts & Sci,3.52,13,0,6,3,3,0,0,0,0,0,1
2025 Spring,DRAM,2620,Sound Design,007233,"Rasbury,Michael",002,11914,College & Graduate Arts & Sci,3.92,12,1,9,1,1,0,0,0,0,0,0
2025 Spring,ECON,2020,Principles of Econ: Macroecon,007877,"Coppock,Lee",002,10638,College & Graduate Arts & Sci,3.03,314,7,40,71,54,43,30,15,20,12,22
2025 Spring,MATH,3250,Ordinary Differential Equatns,023068,"Shapiro,Brandon",200,10764,College & Graduate Arts & Sci,3.48,36,2,13,8,3,2,5,2,0,1,0
2025 Spring,ITAL,1020,Elementary Italian II,020556,"Annunziato,Sarah",004,13943,College & Graduate Arts & Sci,3.82,10,0,4,6,0,0,0,0,0,0,0
