Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2012 Spring,AAS,1020,African-Amer & African Stds II,"Harold,Claudrena N",100,3.71,122,0,61,34,12,8,4,1,1,0,1
2012 Spring,AAS,3250,MotherLands,"Hamilton,Kendra Yvette",100,-,-,1,2,2,1,1,1,0,0,0,0
2012 Spring,AAS,3500,Intermediate Seminar in AAS,"Boswell,Barbara A",001,-,-,0,2,5,0,1,0,0,0,0,0
2012 Spring,AAS,3559,New Course: AAS,"Fleming,Tyler David",005,-,-,0,0,0,0,1,0,0,0,0,1
2012 Spring,AAS,3559,New Course: AAS,"Rose,Justin McCrae",003,3.29,19,2,5,2,3,2,1,0,1,0,3
2012 Spring,AAS,3559,New Course: AAS,"Ross,Marlon B",002,-,-,0,0,1,2,0,2,0,0,0,0
2012 Spring,AAS,3559,New Course: AAS,"Shutt,Lisa Toccafondi",001,3.35,11,0,1,5,0,4,0,1,0,0,0
2012 Spring,AAS,3559,New Course: AAS,"Shutt,Lisa Toccafondi",004,3.35,21,0,8,4,2,2,1,1,3,0,0
2012 Spring,AAS,4080,Thesis,"Harold,Claudrena N",001,-,-,0,5,0,0,0,0,0,0,0,0
2012 Spring,AAS,4501,Adv. Res Sem in Hist & AAS,"Harold,Claudrena N",001,3.46,20,2,2,7,4,2,0,2,0,0,1
2012 Spring,AAS,4570,Adv Research Sem in AAS,"Fleming,Tyler David",003,-,-,0,1,1,0,0,0,0,0,0,1
2012 Spring,AAS,4570,Adv Research Sem in AAS,"Holmes,Kwame Alfred",002,-,-,1,1,2,0,1,2,1,0,1,0
2012 Spring,AAS,4993,Independent Study,"Apprey,Maurice",002,-,-,0,4,1,0,0,0,0,0,0,0
2012 Spring,AAS,4993,Independent Study,"Grandison,Kenrick I",003,-,-,0,0,1,0,0,0,0,0,0,0
2012 Spring,AAS,4993,Independent Study,"Harold,Claudrena N",004,4.00,12,0,12,0,0,0,0,0,0,0,0
2012 Spring,AAS,4993,Independent Study,"Shutt,Lisa Toccafondi",001,-,-,0,1,0,1,1,0,0,0,0,0
2012 Spring,ACCT,2010,Introductory Accounting I,"Kasten,Marshall V",701,3.59,20,4,6,1,2,2,1,0,1,0,3
2012 Spring,ACCT,2020,Introductory Accounting II,"Montesa,Noel Evangelista",701,-,-,6,1,0,0,0,0,0,0,0,0
2012 Spring,ACCT,3110,Intermediate Accounting I,"Hutton,Leon W",701,3.08,14,1,3,1,0,5,0,1,0,0,3
2012 Spring,ACCT,3120,Intermediate Accounting II,"Adams,Rebecca Ann",500,-,-,1,1,0,0,1,0,0,0,0,1
2012 Spring,ACCT,3120,Intermediate Accounting II,"Kirchert,Cory C.",701,3.55,12,2,3,1,2,2,1,0,0,0,1
2012 Spring,ACCT,3140,Cost Accounting,"Cardine,William",701,-,-,0,2,0,0,0,0,0,2,0,4
2012 Spring,ACCT,4450,Federal Taxation I,"Dittmer,Gary D",701,2.71,15,0,4,0,0,2,0,0,8,0,1
2012 Spring,ACCT,5210,Introductory Auditing,"Young,Karen",701,-,-,0,2,2,0,1,0,0,0,0,0
2012 Spring,ACCT,5310,Topics in Advanced Accounting,"Adams,Rebecca Ann",500,-,-,1,2,0,0,2,1,0,0,0,0
2012 Spring,ACCT,5330,Acct for Non-Bus Organizations,"Evans,Richard",701,3.38,13,1,4,1,3,1,1,2,0,0,0
2012 Spring,ACCT,5410,Fraud Examination,"Traylor,Ralph Wilson",500,-,17,0,0,0,0,0,0,0,0,0,0
2012 Spring,ACCT,5460,Federal Taxation II,"Hughes,Thomas D",701,3.39,11,0,3,1,2,5,0,0,0,0,0
2012 Spring,AIRS,1200,Foundations of U.S. Air Force,"Duncan,Jarvora B",001,-,-,2,2,3,1,0,0,0,0,0,0
2012 Spring,AIRS,1200,Foundations of U.S. Air Force,"Duncan,Jarvora B",002,-,-,3,3,3,0,0,0,0,0,0,0
2012 Spring,AIRS,2200,Evolution of Air & Space Power,"Duncan,Jarvora B",001,3.60,11,5,1,0,3,1,1,0,0,0,0
2012 Spring,AIRS,2200,Evolution of Air & Space Power,"Duncan,Jarvora B",002,-,-,4,0,2,0,1,1,0,0,0,0
2012 Spring,AIRS,3200,Air Force Leadership & Mgmt,"Sanford,Vondray L",001,-,-,0,8,0,0,0,0,0,0,0,0
2012 Spring,AIRS,4200,Natl Sec Affairs/Prep Act Duty,"Wolfe,Jon G",001,3.85,12,0,7,3,1,0,0,0,0,0,1
2012 Spring,AMST,2220,Race Id in Am,"Higginbotham,Carmenita",001,3.46,28,0,5,6,12,3,1,0,0,0,1
2012 Spring,AMST,2300,Intro to U.S. Latino Studies,"Chavez,Daniel",001,3.77,28,0,13,8,3,0,1,0,0,0,3
2012 Spring,AMST,3001,Theories & Methods of Amer. St,"Hale,Grace E",002,3.29,14,0,3,0,6,4,0,1,0,0,0
2012 Spring,AMST,3001,Theories & Methods of Amer. St,"Shukla,Sandhya",001,3.79,17,2,10,2,1,1,1,0,0,0,0
2012 Spring,AMST,3559,New Course: AMST,"Goff,Lisa",001,3.30,26,0,7,8,1,4,3,0,1,1,1
2012 Spring,AMST,4500,Seminar in American Studies,"Brickhouse,Anna Campbell",001,-,-,1,4,1,0,0,0,0,1,0,0
2012 Spring,AMST,4500,Seminar in American Studies,"Chong,Sylvia Shin Huey",002,-,-,2,1,0,1,1,0,0,0,0,0
2012 Spring,AMST,4500,Seminar in American Studies,"Greeson,Jennifer Rae",003,-,-,0,5,4,0,0,0,0,0,0,0
2012 Spring,AMST,4993,Independent Study,"Chong,Sylvia Shin Huey",003,-,-,0,0,1,0,0,0,0,0,0,0
2012 Spring,AMST,4999,DMP Thesis Seminar,"Hedstrom,Matthew Sigurd",001,-,-,0,6,0,0,0,0,0,0,0,0
2012 Spring,ANTH,1010,Introduction to Anthropology,"Harr,Adam Patrick",100,3.62,61,0,34,8,4,9,1,3,1,0,1
2012 Spring,ANTH,1010,Introduction to Anthropology,"Helmreich,Stefan",501,3.36,25,0,5,4,9,3,3,1,0,0,0
2012 Spring,ANTH,1010,Introduction to Anthropology,"Stoetzel,John McLean",002,3.58,43,0,6,24,8,4,1,0,0,0,0
2012 Spring,ANTH,2153,North American Indians,"Hantman,Jeffrey L",001,3.44,82,2,17,26,15,8,5,4,0,0,5
2012 Spring,ANTH,2156,Peoples and Cultures of Africa,"Hultin,Ivar Niklas",100,3.33,63,0,9,16,22,10,1,1,1,1,2
2012 Spring,ANTH,2280,Medical Anthropology,"Douglass,Carrie Bess",001,3.33,59,0,6,25,11,6,4,0,4,2,1
2012 Spring,ANTH,2291,Global Culture & Public Health,"Colvin,Christopher James",001,3.75,28,6,13,7,0,1,0,0,0,0,1
2012 Spring,ANTH,2340,Anthropology of Birth & Death,"Khare,Ravindra S",001,3.27,22,0,0,3,12,6,0,0,0,0,1
2012 Spring,ANTH,2360,Don Juan and Castaneda,"Wagner,Roy",001,3.47,148,15,27,28,41,27,8,0,0,0,2
2012 Spring,ANTH,2365,Art and Anthropology,"Douglass,Carrie Bess",001,3.32,28,0,3,12,6,2,2,1,1,0,1
2012 Spring,ANTH,2410,Sociolinguistics,"Williams,Ashley M",100,2.94,119,0,16,18,11,30,18,11,2,5,8
2012 Spring,ANTH,2430,Languages of the World,"Schwegler,Armin",501,3.15,25,2,1,7,6,4,1,0,1,2,1
2012 Spring,ANTH,2470,Jewish Languages/Communties,"Lefkowitz,Daniel S",100,3.59,27,0,7,12,3,1,3,0,0,0,1
2012 Spring,ANTH,2590,Social & Cultural Anthropology,"Armengol,Roberto Ignacio",001,3.41,31,0,4,12,10,2,2,0,0,0,1
2012 Spring,ANTH,2590,Social & Cultural Anthropology,"Goldsmith,Trevor A",300,2.74,17,0,0,0,5,5,3,1,1,0,2
2012 Spring,ANTH,2590,Social & Cultural Anthropology,"Lopez,Sergio Daniel",002,3.63,39,1,9,20,4,3,2,0,0,0,0
2012 Spring,ANTH,2820,Rise of Civilization,"Wattenmaker,Patricia A",100,2.93,56,2,12,11,5,4,3,3,5,3,8
2012 Spring,ANTH,3010,Theory & History Anthropology,"Alexy,Allison Megan",100,2.79,38,4,4,8,4,2,3,3,2,0,8
2012 Spring,ANTH,3175,Native Am Art: Astor Collect,"Hantman,Jeffrey L",001,3.73,16,2,6,4,3,1,0,0,0,0,0
2012 Spring,ANTH,3240,The Anthropology of Food,"Paxson,Heather",501,3.33,33,0,3,10,7,9,4,0,0,0,0
2012 Spring,ANTH,3240,The Anthropology of Food,"Wellman,Rose Edith",001,3.61,37,0,12,13,7,3,2,0,0,0,0
2012 Spring,ANTH,3260,Globalization and Development,"Hultin,Ivar Niklas",100,3.46,116,1,9,62,25,9,2,3,0,0,5
2012 Spring,ANTH,3260,Globalization and Development,"Paxson,Heather",501,3.33,24,0,3,7,6,4,1,1,1,0,1
2012 Spring,ANTH,3370,Power and the Body,"Mentore,George P",100,2.84,58,0,2,18,7,13,1,1,6,2,8
2012 Spring,ANTH,3541,Topics in Linguistics,"Harr,Adam Patrick",001,3.77,25,0,12,7,3,1,0,0,0,0,2
2012 Spring,ANTH,3541,Topics in Linguistics,"Schwegler,Armin",501,3.38,12,1,1,2,6,1,0,1,0,0,0
2012 Spring,ANTH,3559,New Course: ANTH,"Plog,Stephen E",002,-,-,1,3,1,1,0,0,0,0,1,0
2012 Spring,ANTH,3559,New Course: ANTH,"Wattenmaker,Patricia A",001,2.99,17,0,1,3,6,3,1,1,0,0,2
2012 Spring,ANTH,3589,Topics in Archaeology,"Heitman,Carolyn Campbell",001,3.55,35,0,16,5,5,4,1,3,0,0,1
2012 Spring,ANTH,3590,Social & Cultural Anthropology,"Goldsmith,Trevor A",001,2.58,13,0,0,3,0,6,1,0,0,1,2
2012 Spring,ANTH,3590,Social & Cultural Anthropology,"Helmreich,Stefan",501,3.45,26,0,7,3,11,3,2,0,0,0,0
2012 Spring,ANTH,3880,African Archaeology,"Laviolette,Adria",001,-,-,0,2,2,3,0,2,0,0,0,0
2012 Spring,ANTH,3890,Arch American Southwest,"Plog,Stephen E",100,3.27,30,2,3,8,3,8,4,0,1,1,0
2012 Spring,ANTH,4591,Senior Seminar in Anthropology,"Khare,Ravindra S",002,-,-,0,1,3,2,1,0,0,0,0,1
2012 Spring,ANTH,4591,Senior Seminar in Anthropology,"Mentore,George P",001,-,-,0,5,2,1,0,0,0,0,0,1
2012 Spring,ANTH,4591,Senior Seminar in Anthropology,"Pawlowicz,Matthew Christopher",003,3.27,11,0,4,2,1,2,0,0,1,0,1
2012 Spring,ANTH,4993,Indep Study in Anthropology,"Most,Rachel",023,-,-,0,0,1,0,0,0,0,0,0,0
2012 Spring,ANTH,4993,Indep Study in Anthropology,"Wagner,Roy",005,-,-,2,0,0,0,0,0,0,0,0,0
2012 Spring,ANTH,4999,Distinguished Mjrs Thesis Wrtg,"Douglass,Carrie Bess",011,-,-,0,1,0,0,0,0,0,0,0,0
2012 Spring,ANTH,4999,Distinguished Mjrs Thesis Wrtg,"Laviolette,Adria",013,-,-,0,0,1,0,0,0,0,0,0,0
2012 Spring,ANTH,4999,Distinguished Mjrs Thesis Wrtg,"Mentore,George P",002,-,-,0,1,1,0,0,0,0,0,0,0
2012 Spring,ANTH,4999,Distinguished Mjrs Thesis Wrtg,"Most,Rachel",001,-,-,0,1,0,0,0,0,0,0,0,0
2012 Spring,ANTH,4999,Distinguished Mjrs Thesis Wrtg,"Wagner,Roy",019,-,-,1,0,0,0,0,0,0,0,0,0
2012 Spring,ANTH,5220,Economic Anthropology,"Damon,Frederick H.",001,3.48,13,0,6,3,2,0,0,0,0,0,1
2012 Spring,ANTH,5360,World Mental Health,"Merkel Jr.,Richard L",001,3.61,16,7,4,3,0,0,1,0,0,0,1
