Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2022 January,LAW,7828,Corp Law & HBO Succession (SC),046513,"Hwang,Cathy",1ZO,10043,School of Law,3.52,13,0,3,2,8,0,0,0,0,0,0
2022 January,LAW,7624,Virginia/Constitution (SC),040030,"Howard,A. E.",1ZO,10001,School of Law,3.59,14,1,1,6,6,0,0,0,0,0,0
2022 January,LAW,7826,"Truth, Lies and Stats (SC)",046119,"Stevenson,Megan",1,10016,School of Law,3.54,5,0,0,3,2,0,0,0,0,0,0
2022 January,SOC,2498,Prozac Culture,041336,"Davis,Joseph",001,10061,College & Graduate Arts & Sci,3.38,25,0,6,6,5,4,2,1,1,0,0
2022 January,STAT,1601,Intro Data Science with R,045055,"Afriyie,Prince",001,10064,College & Graduate Arts & Sci,3.66,50,0,22,16,4,6,1,0,1,0,0
2022 January,LAW,7600,Admiralty (SC),040007,"Rutherglen,George",1,10004,School of Law,3.55,8,0,0,5,3,0,0,0,0,0,0
2022 January,LAW,7501,Spec Topics Short Course (SC),046387,"Barzun,Charles",1ZO,10019,School of Law,3.46,5,0,0,2,3,0,0,0,0,0,0
2022 January,AAS,2224,Black Fem & Masc in US Media,042659,"Shutt,Lisa",001,10103,College & Graduate Arts & Sci,3.78,13,0,6,5,2,0,0,0,0,0,0
2022 January,LAW,7645,Baseball (SC),040196,"Setear,John",1,10007,School of Law,3.40,12,0,0,3,9,0,0,0,0,0,0
2022 January,ENWR,2559,New Course in Wrtng & Rhtrc,039157,"Popovic,Srda",001,10100,College & Graduate Arts & Sci,3.67,10,0,7,1,1,0,0,0,0,1,0
2022 January,LAW,7812,Title IX Law and Policy (SC),045994,"Dallo,Amanda",1ZO,10025,School of Law,3.54,5,0,1,2,1,1,0,0,0,0,0
2022 January,PSYC,3559,New Course: PSYC,040934,"Meyer,M. Joseph",001,10112,College & Graduate Arts & Sci,3.81,27,3,18,2,1,2,0,1,0,0,0
2022 January,PLAP,3160,Politics of Food,040884,"Freedman,Paul",001,10070,College & Graduate Arts & Sci,3.72,31,0,16,8,2,5,0,0,0,0,0
2022 January,LAW,7797,Econ Stcraft& Pub Int Law (SC),045583,"Hayashi,Andrew",1ZO,10010,School of Law,3.36,8,0,0,2,5,1,0,0,0,0,0
2022 January,PHYS,1130,Physics of Sports,046086,"Lindgren,Richard",001,10124,College & Graduate Arts & Sci,3.33,20,1,7,4,1,0,3,1,3,0,0
2022 January,LAW,7796,Computationl Txt Analysis (SC),045576,"Crabtree,Charles",1,10020,School of Law,3.59,8,0,1,4,3,0,0,0,0,0,0
2022 January,LAW,7665,Adv Admin Law (SC),041314,"Bamzai,Aditya",1,10029,School of Law,3.74,5,0,2,2,1,0,0,0,0,0,0
2022 January,LPPP,3500,Special Topics Social Entrepre,045225,"Randolph,Stephanie",001,10078,Batten Leadership & Public Pol,3.54,13,0,10,0,0,2,0,0,0,0,1
2022 January,PLAP,4500,Special Topics,031588,"Antholis,William",001,10113,College & Graduate Arts & Sci,3.97,10,8,1,1,0,0,0,0,0,0,0
2022 January,HIEA,3141,Pol & Soc Thought Modern China,018300,"Reed,Bradly",001,10101,College & Graduate Arts & Sci,3.78,21,0,12,5,3,1,0,0,0,0,0
2022 January,STS,2500,S & T in Soc & Global Context,036734,"Rogers,Hannah",001,10066,Engineering & Applied Science,3.96,14,3,9,2,0,0,0,0,0,0,0
2022 January,LPPS,3440,Intro Management Consulting,046561,"Boler,Brendan",001,10090,Batten Leadership & Public Pol,3.61,40,3,11,13,9,1,2,1,0,0,0
2022 January,MDST,3320,The Politics of Video Games,044948,"Williams,Bruce",001,10087,College & Graduate Arts & Sci,3.97,19,0,17,2,0,0,0,0,0,0,0
