Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2022 Spring,PLAN,5452,Healthy Cities,043950,"Roe,Jennifer",001,14427,School of Architecture,3.91,14,0,10,4,0,0,0,0,0,0,0
2022 Spring,PLPT,4500,Special Topics,031937,"Koganzon,Rita",001,13555,College & Graduate Arts & Sci,3.63,15,0,6,6,1,1,0,0,1,0,0
2022 Spring,ENWR,1510,Writing and Critical Inquiry,013432,"Burke,Jordan",018,10609,College & Graduate Arts & Sci,3.86,18,0,11,6,1,0,0,0,0,0,0
2022 Spring,COMM,3420,Commercial Law II,006471,"Moore,Sherri",001,14636,McIntire School of Commerce,3.55,68,0,18,31,5,7,4,1,2,0,0
2022 Spring,CS,3240,Advanced Software Development,006903,"McBurney,Paul",001,15915,Engineering & Applied Science,3.46,138,3,65,32,6,8,7,7,3,0,7
2022 Spring,STS,4600,Engr Ethcs Prof Responsibility,036750,"Neeley,Kathryn",006,15526,Engineering & Applied Science,3.31,33,0,8,9,5,5,1,1,2,2,0
2022 Spring,MATH,3350,Applied Linear Algebra,042858,"Stern,Walker",001,11505,College & Graduate Arts & Sci,3.01,28,1,3,5,4,5,3,2,3,1,1
2022 Spring,MDST,2000,Introduction to Media Studies,023487,"Rao,Pallavi",100,11506,College & Graduate Arts & Sci,3.61,239,1,109,61,27,28,3,3,2,2,3
2022 Spring,PHYS,2020,Principles of Physics 2,030810,"Pham,Hung",002,10361,College & Graduate Arts & Sci,2.73,107,3,24,7,4,17,12,6,12,3,19
2022 Spring,COMM,5460,Taxes & Business Strategy,006557,"Seidman,Jeri",002,14739,McIntire School of Commerce,3.40,24,1,5,4,3,11,0,0,0,0,0
2022 Spring,COMM,3330,Mkt Research & Analytic Tech,006475,"Mick,David",003,14639,McIntire School of Commerce,3.94,36,13,16,7,0,0,0,0,0,0,0
2022 Spring,COMM,3720,Intermediate Corporate Finance,006484,"Smith,David",003,14642,McIntire School of Commerce,3.15,38,3,8,5,6,4,4,4,1,1,2
2022 Spring,COMM,4791,Real Estate Investmnt Analysis,040720,"Overstreet,George",001,14672,McIntire School of Commerce,3.84,40,0,19,21,0,0,0,0,0,0,0
2022 Spring,APMA,2120,Multivariable Calculus,001144,"Ma,Hui",004,15383,Engineering & Applied Science,3.08,45,0,10,5,7,9,4,5,1,3,1
2022 Spring,COMM,3040,Strategic Value Creation,006456,"Harris,Ira",007,14621,McIntire School of Commerce,3.37,45,0,8,9,13,10,5,0,0,0,0
2022 Spring,COMM,5160,Govt & Nonprofit Accounting,045977,"McDermott,Katie",001,20219,McIntire School of Commerce,3.72,40,0,19,13,2,6,0,0,0,0,0
2022 Spring,FREN,1010,Elementary French I,014273,"Garnier,Priscille",001,11496,College & Graduate Arts & Sci,3.38,11,0,2,6,0,1,1,0,0,0,1
2022 Spring,CHE,4476,Chemical Engineering Design,005476,"Anderson,Eric",001,15436,Engineering & Applied Science,3.83,42,0,33,3,2,2,1,1,0,0,0
2022 Spring,CHE,4417,Tissue Engineering,044491,"Caliari,Steven",001,15377,Engineering & Applied Science,3.89,15,2,11,0,1,1,0,0,0,0,0
2022 Spring,MDST,3504,Topics in Global Media,042990,"Kokas,Aynne",005,20405,College & Graduate Arts & Sci,3.65,23,2,11,7,1,0,1,0,0,0,1
2022 Spring,COMM,3050,Managerial Decision Making,006457,"Baglioni,Anthony",002,14624,McIntire School of Commerce,3.53,44,0,14,15,6,5,0,4,0,0,0
2022 Spring,COMM,3050,Managerial Decision Making,006457,"Cummiskey,Brendon",005,14627,McIntire School of Commerce,3.54,41,4,7,16,7,5,1,0,0,0,1
2022 Spring,APMA,3080,Linear Algebra,001151,"Li,Meiqin",001,15389,Engineering & Applied Science,3.35,33,4,6,6,3,10,1,1,0,2,0
2022 Spring,STS,4600,Engr Ethcs Prof Responsibility,036750,"Laugelli,Benjamin",004,15917,Engineering & Applied Science,3.87,34,7,16,8,3,0,0,0,0,0,0
2022 Spring,CHEM,2321,Org Lab II Non-Chem Maj/Min,043155,"Chruma,Jason",015,14042,College & Graduate Arts & Sci,3.73,31,8,14,5,1,1,1,0,0,0,1
2022 Spring,SPAN,2010,Intermediate Spanish,035853,"Neff,Kate",005,13946,College & Graduate Arts & Sci,3.78,17,2,9,5,0,0,0,0,0,1,0
2022 Spring,ASTR,3420,Life Beyond the Earth,003082,"Garrod,Rob",001,11851,College & Graduate Arts & Sci,3.65,68,7,21,24,8,3,1,4,0,0,0
2022 Spring,PSYC,5710,Machine Learning & Data Mining,042465,"Golino,Hudson",001,12714,College & Graduate Arts & Sci,3.21,14,6,1,0,2,1,1,0,2,0,1
2022 Spring,PLAN,3050,Planning Methods,031281,"Cockrell,William",001,14388,School of Architecture,3.62,31,0,17,7,2,2,0,0,2,1,0
2022 Spring,ENTP,1010,Intro to Entrepreneurship,043881,"Ransler,Charles",003,14714,McIntire School of Commerce,3.75,53,0,23,21,6,3,0,0,0,0,0
2022 Spring,ECON,3110,Mathematical Microeconomics,007918,"Engers,Maxim",100,18370,College & Graduate Arts & Sci,3.42,12,1,4,3,3,0,0,0,0,0,1
2022 Spring,EGMT,1540,Ethical Engagement,044515,"Teets,Sarah",203,12693,College & Graduate Arts & Sci,3.79,37,0,29,5,0,1,1,0,0,0,1
2022 Spring,EGMT,1520,Empirical Engagement,044513,"Pearson,William",104,12669,College & Graduate Arts & Sci,3.50,29,0,11,4,7,5,1,0,1,0,0
2022 Spring,ARCH,6120,Architectural Theory & Analys,001672,"Dripps,Robin",001,14477,School of Architecture,3.81,34,0,12,22,0,0,0,0,0,0,0
2022 Spring,ENWR,2520,Special Topics in Writing,013448,"Sullivan,Patricia",001,13732,College & Graduate Arts & Sci,3.94,16,3,10,3,0,0,0,0,0,0,0
2022 Spring,DRAM,3820,Video Design I,044178,"Kasra,Mona",001,12734,College & Graduate Arts & Sci,3.75,10,0,5,4,0,0,1,0,0,0,0
2022 Spring,MATH,1220,A Survey of Calculus II,022945,"Mcspirit,Eleanor",800,10254,College & Graduate Arts & Sci,2.86,34,1,4,3,3,7,7,3,2,2,2
2022 Spring,PHYS,2040,Princip of Physics 2 Workshop,030812,"Hagemeier,Andrew",003,10364,College & Graduate Arts & Sci,3.35,25,0,3,7,5,8,2,0,0,0,0
2022 Spring,ASL,1020,Elem Amer Sign Language II,003000,"Propp,Gregory",002,10037,College & Graduate Arts & Sci,3.23,18,0,4,4,2,4,2,1,0,0,1
2022 Spring,PHYS,1429,Intro Physics 1 Workshop,031036,"Jian,Siyu",017,10355,College & Graduate Arts & Sci,3.13,26,0,0,5,10,6,2,2,1,0,0
2022 Spring,MATH,1320,Calculus II,022954,"Ure,Charlotte",300,10263,College & Graduate Arts & Sci,3.32,25,0,10,2,2,5,1,4,1,0,0
2022 Spring,CHEM,3821,Physical Chemistry Lab II,005741,"Gahlmann,Andreas",100,12708,College & Graduate Arts & Sci,3.57,49,1,16,15,8,5,3,0,0,1,0
2022 Spring,FRTR,3584,Topics in French Cinema,014728,"Blatt,Ari",001,12548,College & Graduate Arts & Sci,3.66,20,0,11,7,1,0,0,0,0,0,1
2022 Spring,GCOM,7549,Commerce in the Global Context,045947,"Gallmeyer,Michael F",002,22084,McIntire School of Commerce,3.69,28,2,10,6,10,0,0,0,0,0,0
2022 Spring,COMM,3050,Managerial Decision Making,006457,"Fraser,Cynthia",008,14630,McIntire School of Commerce,3.33,46,0,7,14,10,8,2,3,2,0,0
2022 Spring,CHEM,1421,Intro College Chemistry II Lab,005994,"Morkowchuk,Lisa",007,11493,College & Graduate Arts & Sci,3.88,24,14,6,2,0,1,1,0,0,0,0
2022 Spring,RELG,3605,"Religion, Violence & Strategy",039813,"Niblock,Elliott",001,12242,College & Graduate Arts & Sci,3.88,13,0,10,2,0,1,0,0,0,0,0
2022 Spring,PHIL,3330,Philosophy of Mind,030130,"Ott,Walter",001,13186,College & Graduate Arts & Sci,3.11,28,0,3,5,7,6,5,0,1,0,1
2022 Spring,PHYS,2040,Princip of Physics 2 Workshop,030812,"Pascadlo,Jessica",017,10376,College & Graduate Arts & Sci,3.23,12,0,0,4,4,1,2,1,0,0,0
2022 Spring,MISC,3020,Applied Ldrship in Unit Opns,024257,"Rademacher,Isaac",001,14317,Executive VP & Provost,3.96,14,3,9,2,0,0,0,0,0,0,0
2022 Spring,ENWR,1510,Writing and Critical Inquiry,013432,"Thompson,Anne Marie",023,10612,College & Graduate Arts & Sci,3.78,17,0,7,8,2,0,0,0,0,0,0
2022 Spring,EDIS,2020,Disability in the Media,045467,"Cook,Lysandra",1,19684,School of Education and HumanDev,3.99,40,13,26,1,0,0,0,0,0,0,0
2022 Spring,STAT,3250,Data Analysis with Python,044090,"Brown,Taylor",001,12551,College & Graduate Arts & Sci,3.30,94,0,28,32,7,9,4,2,3,3,6
2022 Spring,SEC,4020,Mobile Security and Forensics,045345,"Holbert,Derek",701,20051,Continuing & Prof Studies,3.51,10,0,6,3,0,0,0,0,0,0,1
2022 Spring,ECON,4220,Intr Finance & Macroeconomics,007962,"Coppock,Lee",001,11323,College & Graduate Arts & Sci,3.09,57,5,5,14,5,9,7,4,6,0,2
2022 Spring,MATH,1220,A Survey of Calculus II,022945,"Kurtz,Brianna",100,10251,College & Graduate Arts & Sci,2.94,23,0,6,0,4,4,3,2,2,1,1
2022 Spring,MESA,1000,From Genghis Khan to Stalin,024011,"Lyons,Shawn",001,12717,College & Graduate Arts & Sci,3.47,15,1,1,6,4,2,1,0,0,0,0
2022 Spring,ASL,2020,Intermed Amer Sign Language II,003002,"Eshgi,Maher",003,11487,College & Graduate Arts & Sci,3.22,15,0,2,4,4,2,0,2,0,1,0
2022 Spring,MDST,3559,New Course: MDST,039189,"Williams,Tyler",006,19289,College & Graduate Arts & Sci,3.75,29,5,15,6,2,0,0,0,0,0,1
2022 Spring,ENWR,1510,Writing and Critical Inquiry,013432,"Wallace,Vallaire",006,10598,College & Graduate Arts & Sci,3.81,18,1,9,6,1,1,0,0,0,0,0
2022 Spring,MAE,2100,Thermodynamics,022573,"Chelliah,Harsha",001,15451,Engineering & Applied Science,3.14,114,10,17,28,13,13,12,6,4,5,6
2022 Spring,AAS,1020,African-Amer & African Stds II,000084,"Crawley,Ashon",100,10001,College & Graduate Arts & Sci,3.87,177,39,98,31,6,0,1,0,0,0,2
2022 Spring,MSE,2090,Intro to Materials Science,024402,"Kelly,Robert",001,16762,Engineering & Applied Science,3.21,108,12,14,23,16,19,6,6,7,1,4
2022 Spring,EDIS,5401,Teaching Secondary English II,040534,"Heny,Natasha",1,14906,School of Education and HumanDev,3.88,19,0,17,0,0,1,1,0,0,0,0
2022 Spring,MUSI,1410,Symphonic Listening,046169,"Rous,Benjamin",100,19234,College & Graduate Arts & Sci,3.78,44,0,33,4,5,1,0,0,0,0,1
2022 Spring,CHEM,1820,Organic Chemistry Accelerated,005667,"Serbulea,Laura",100,10061,College & Graduate Arts & Sci,3.43,86,1,44,12,10,6,1,4,1,0,7
2022 Spring,CHEM,2420,Organic Chemistry II,005699,"Chruma,Jason",100,10064,College & Graduate Arts & Sci,2.59,143,0,9,24,9,23,18,9,24,9,18
2022 Spring,PHYS,2040,Princip of Physics 2 Workshop,030812,"Sousa,Gabriel Lucas Andrade de",014,10373,College & Graduate Arts & Sci,3.62,25,0,5,14,3,2,1,0,0,0,0
2022 Spring,ARTH,1559,New Course in ARTH,043045,"Fiorani,Francesca",100,18439,College & Graduate Arts & Sci,3.61,52,0,14,22,9,6,1,0,0,0,0
2022 Spring,GSVS,4991,Capstone Seminar- GSVS,044017,"Crisman,Phoebe",001,11920,College & Graduate Arts & Sci,3.69,23,4,9,3,5,1,0,1,0,0,0
2022 Spring,ASL,2020,Intermed Amer Sign Language II,003002,"Jennings-arey,Rhonda",001,10040,College & Graduate Arts & Sci,3.43,15,0,6,4,0,3,0,0,1,1,0
2022 Spring,ENWR,2510,Advanced Writing Seminar,013441,"Carey,Tamika",004,12420,College & Graduate Arts & Sci,3.71,15,0,3,10,2,0,0,0,0,0,0
2022 Spring,EVSC,1010,Intro Environmental Sciences,013836,"Smith,Thomas",001,10139,College & Graduate Arts & Sci,3.79,297,24,160,75,20,9,5,2,1,0,1
2022 Spring,PHYS,2419,Intro Physics 2 Workshop,031079,"Sousa,Gabriel Lucas Andrade de",003,11415,College & Graduate Arts & Sci,2.75,22,0,0,2,3,7,4,1,3,1,1
2022 Spring,PHS,4991,GPH Capstone,044464,"Valdez,Rupa",005,19699,College & Graduate Arts & Sci,3.89,20,0,14,5,1,0,0,0,0,0,0
2022 Spring,GNUR,8660,Evidence-Based Practice,039371,"Westphal,Richard",001,17166,School of Nursing,3.74,18,2,2,13,1,0,0,0,0,0,0
2022 Spring,DS,6002,Ethics of Big Data I,043459,"Reia,Jhessica",003,19248,School of Data Science,3.99,23,15,7,1,0,0,0,0,0,0,0
2022 Spring,EVSC,3201,Fundamentals of Ecology Lab,014094,"Porter,Catherine",003,10154,College & Graduate Arts & Sci,3.76,14,1,11,0,1,0,0,0,0,0,1
2022 Spring,ANTH,5401,Linguistic Field Methods,000818,"Mirzayan,Armik",001,11490,College & Graduate Arts & Sci,3.34,13,2,3,3,2,1,1,0,0,0,1
2022 Spring,ENCW,4820,Poetry Program Poetics,012874,"Petrosino,Kiki",001,13003,College & Graduate Arts & Sci,3.86,14,10,3,0,0,0,0,0,1,0,0
2022 Spring,ARCH,3020,Foundation Studio V,001518,"Somers,Schaeffer",002,14394,School of Architecture,3.64,14,0,7,1,4,2,0,0,0,0,0
2022 Spring,PHYS,1429,Intro Physics 1 Workshop,031036,"Khawaja,Adil Umar",014,11335,College & Graduate Arts & Sci,3.31,25,0,0,9,9,4,2,1,0,0,0
2022 Spring,ENGL,2527,Shakespeare,012510,"Kinney,Clare",001,19099,College & Graduate Arts & Sci,3.49,20,0,3,7,6,4,0,0,0,0,0
2022 Spring,ENWR,1510,Writing and Critical Inquiry,013432,"Thomas,Rebecca",009,10601,College & Graduate Arts & Sci,3.75,17,0,12,2,1,0,1,1,0,0,0
2022 Spring,PPL,4010,Research Seminar,032136,"Zaffini,Sarita",002,12110,College & Graduate Arts & Sci,3.82,10,0,4,6,0,0,0,0,0,0,0
2022 Spring,KINE,4601,Athletic Injuries Lab,040719,"Stephens,Stephanie",1,14960,School of Education and HumanDev,3.94,25,5,17,2,0,1,0,0,0,0,0
2022 Spring,ARCH,2500,Special Topics in Architecture,039065,"Correa,Felipe",001,20204,School of Architecture,3.75,101,0,59,26,7,3,4,0,2,0,0
2022 Spring,ARCH,4020,Independent Design Res Studio,001547,"Comazzi,John",004,14400,School of Architecture,3.17,11,0,3,1,4,1,0,0,1,0,1
2022 Spring,ECON,4310,Economics of the Public Sector,007965,"Kripalani,Jessica",100,18364,College & Graduate Arts & Sci,3.63,27,5,6,7,5,3,1,0,0,0,0
2022 Spring,PSYC,2005,Rsch Methods & Data Analysis I,032539,"Clark,Jason",002,12720,College & Graduate Arts & Sci,3.32,168,14,37,45,23,12,12,12,3,2,8
2022 Spring,ECE,6332,VLSI Design,007717,"Stan,Mircea",001,16200,Engineering & Applied Science,3.85,8,0,4,4,0,0,0,0,0,0,0
2022 Spring,MDST,3830,History of Film I,023552,"Marshall,Matthew",001,12991,College & Graduate Arts & Sci,3.90,75,24,44,4,1,0,1,0,0,0,1
2022 Spring,GCOM,7671,Sustainability & Corp Soc Resp,044352,"Burroughs,James",001,14723,McIntire School of Commerce,3.77,49,0,16,30,3,0,0,0,0,0,0
2022 Spring,MSE,7340,Phase Transformations,024445,"Soffa,William",001,19663,Engineering & Applied Science,3.44,18,1,0,7,7,3,0,0,0,0,0
2022 Spring,ENWR,1510,Writing and Critical Inquiry,013432,"Wallace,Samantha",049,12254,College & Graduate Arts & Sci,3.73,18,0,6,9,3,0,0,0,0,0,0
2022 Spring,ECON,2010,Principles of Econ: Microecon,007876,"Doyle,Carter",091,13480,College & Graduate Arts & Sci,3.07,207,3,20,54,26,36,20,18,21,4,5
2022 Spring,KINE,3630,Emergency Medical Care,009126,"Thompson,Xavier",2,15066,School of Education and HumanDev,3.84,28,0,16,10,2,0,0,0,0,0,0
2022 Spring,RELA,3073,Religion & Society in Nigeria,045853,"Ogunnaike,Oludamini",001,19228,College & Graduate Arts & Sci,3.75,10,3,2,4,0,0,1,0,0,0,0
2022 Spring,COMM,4372,Int Comm & Digital Campaign,006697,"Heilman,Carrie",001,14652,McIntire School of Commerce,4.00,30,5,25,0,0,0,0,0,0,0,0
2022 Spring,EDLF,3240,Educ Multicultural Societies,044021,"Saavedra,David",1,15078,School of Education and HumanDev,3.65,24,4,8,7,0,2,2,1,0,0,0
2022 Spring,EDLF,3240,Educ Multicultural Societies,044021,"Sung,Jieun",2,15158,School of Education and HumanDev,3.88,21,0,14,6,1,0,0,0,0,0,0
2022 Spring,ARCH,2020,Foundation Studio III,001494,"Aranguren,Maria Gonzalez",005,14467,School of Architecture,3.57,14,2,1,5,5,1,0,0,0,0,0
2022 Spring,ANTH,3589,Topics in Archaeology,041142,"Wattenmaker,Patricia",001,19376,College & Graduate Arts & Sci,3.43,29,0,2,18,7,0,0,0,0,1,1
2022 Spring,SPAN,3010,Grammar and Composition I,035893,"Silva,Sergio",006,11359,College & Graduate Arts & Sci,3.88,10,0,6,4,0,0,0,0,0,0,0
2022 Spring,HIAF,3501,Introductory History Workshop,046576,"Burrill,Emily",001,20462,College & Graduate Arts & Sci,3.59,16,0,8,6,1,0,0,0,0,0,1
2022 Spring,LPPP,4991,Capstone Seminar,042163,"Stam,Allan",005,16977,Batten Leadership & Public Pol,3.78,12,2,4,4,2,0,0,0,0,0,0
