Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2022 Summer,ISIN,4510,Sp Tps Conduct Inquiry: So Sci,043255,"Levine,Stephen",101,10522,Continuing & Prof Studies,3.67,14,0,6,4,2,2,0,0,0,0,0
2022 Summer,SPAN,2010,Intermediate Spanish,035853,"Benitez,Jesus Galindo",2,10609,College & Graduate Arts & Sci,3.90,13,0,10,2,1,0,0,0,0,0,0
2022 Summer,ARTH,2470,Art Now,045938,"Robbins,Christa",001,10361,College & Graduate Arts & Sci,3.66,11,2,4,1,2,2,0,0,0,0,0
2022 Summer,EDIS,6200,Principles of Curric Design,045847,"Patrick,Jane",501,10236,School of Education and HumanDev,3.53,15,0,9,2,2,1,0,0,0,0,1
2022 Summer,ENGL,3560,Studies in Mod & Contemp Lit,039235,"Fowler,Charity",001,11293,College & Graduate Arts & Sci,3.24,10,0,3,2,0,2,1,1,1,0,0
2022 Summer,CS,4750,Database Systems,006934,"Smith,Mary",001,10823,Engineering & Applied Science,3.39,19,0,4,4,2,9,0,0,0,0,0
2022 Summer,GNUR,6056,Health Policy,016935,"Acquaviva,Kimberly",001,10749,School of Nursing,3.96,8,2,5,1,0,0,0,0,0,0,0
2022 Summer,EDIS,5080,Differentiating Instruction,045846,"Isley,Deanna",501,10894,School of Education and HumanDev,3.83,23,2,13,6,1,0,1,0,0,0,0
2022 Summer,NUCO,2330,Health Assessment,029379,"Apple,Ashley",001,10788,School of Nursing,3.96,24,0,21,3,0,0,0,0,0,0,0
2022 Summer,NUCO,4056,Introduction to Health Policy,045043,"Toll,Crystal",001,10791,School of Nursing,3.91,45,14,24,5,1,0,0,0,1,0,0
2022 Summer,CHEM,1420,Intro College Chemistry II,005650,"Morris,David",001,10773,College & Graduate Arts & Sci,3.38,13,0,5,2,2,2,0,0,2,0,0
2022 Summer,GNUR,8680,Culturally Sensitive Approach,045529,"Mitchell,Emma",001,10776,School of Nursing,3.96,17,5,11,0,1,0,0,0,0,0,0
2022 Summer,SOC,3120,Sociology Research Workshop,035380,"Nicholls,Heidi",001,10752,College & Graduate Arts & Sci,3.47,17,1,4,4,4,3,0,0,1,0,0
2022 Summer,GNUR,6620,Pediatric Seminar I,044770,"Boitnott,Amy",001,10758,School of Nursing,3.59,11,0,0,8,3,0,0,0,0,0,0
2022 Summer,EDIS,5230,Reading Writing Instr Spec Ed,009444,"Williams,Mira",500,10155,School of Education and HumanDev,3.90,17,2,12,1,2,0,0,0,0,0,0
2022 Summer,PSPA,5050,Environm Policies & Practices,041408,"Greene,Celeste",701,10569,Continuing & Prof Studies,3.93,10,6,3,0,1,0,0,0,0,0,0
2022 Summer,SPAN,3030,Cultural Conversations,035895,"Wellbeloved,Elizabeth A.",502,10364,College & Graduate Arts & Sci,3.87,21,4,8,9,0,0,0,0,0,0,0
2022 Summer,PC,5170,Gov Contract Law and Analysis,046616,"McKeen,Peter",701,10563,Continuing & Prof Studies,4.00,6,2,4,0,0,0,0,0,0,0,0
2022 Summer,GETR,3392,Fairy Tales,045570,"Schmid,Marcel",001,11299,College & Graduate Arts & Sci,3.95,12,0,10,2,0,0,0,0,0,0,0
2022 Summer,PSYC,2600,Intro to Social Psychology,032521,"Joy-Gaba,Jennifer",2,10575,College & Graduate Arts & Sci,3.40,23,2,4,6,5,3,1,0,1,1,0
2022 Summer,SPAN,2020,Advanced Intermediate Spanish,035854,"Florez-Murillo,David",2,10612,College & Graduate Arts & Sci,3.45,15,0,7,3,1,2,1,0,0,0,1
2022 Summer,DS,6002,Ethics of Big Data I,043459,"Cummings,Lauren Rene",001,11308,School of Data Science,4.00,40,12,28,0,0,0,0,0,0,0,0
2022 Summer,CS,1110,Introduction to Programming,006846,"Pettit,Raymond",001,10820,Engineering & Applied Science,3.49,20,4,5,3,3,1,3,0,0,1,0
2022 Summer,STS,4500,STS and Engineering Practice,036749,"Baritaud,Catherine",001,10832,Engineering & Applied Science,3.55,13,0,4,5,1,1,2,0,0,0,0
2022 Summer,CHEM,4410,Biological Chemistry I,005755,"Grisham,Charles",001,10418,College & Graduate Arts & Sci,3.92,18,2,11,5,0,0,0,0,0,0,0
2022 Summer,CHEM,1411,Intro College Chem I Lab,005986,"Morris,David",001,10406,College & Graduate Arts & Sci,3.95,17,0,14,3,0,0,0,0,0,0,0
2022 Summer,EDIS,5000,The Exceptional Learner,009423,...,502,10233,School of Education and HumanDev,3.91,35,0,26,8,1,0,0,0,0,0,0
