Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2023 Spring,COMM,1800,Foundations of Commerce,006438,"Hoopes,Charlotte",001,14427,McIntire School of Commerce,3.58,164,11,61,38,24,15,7,6,0,0,2
2023 Spring,GCOM,7360,Analytics and Fraud,042487,"Negangard,Eric",001,14504,McIntire School of Commerce,3.48,28,0,5,7,12,4,0,0,0,0,0
2023 Spring,JAPN,2020,Second-Year Japanese II,020743,"Ito,Takuya",002,11460,College & Graduate Arts & Sci,3.36,10,0,2,2,4,1,0,0,1,0,0
2023 Spring,GSVS,3150,Sustainability Leadership,045765,"Trimble,Andrea",001,13555,College & Graduate Arts & Sci,3.91,10,1,6,3,0,0,0,0,0,0,0
2023 Spring,PHYS,8710,Nuclear Physics I,030963,"Liuti,Simonetta",001,13937,College & Graduate Arts & Sci,3.96,16,3,11,2,0,0,0,0,0,0,0
2023 Spring,PST,4999,Thesis/Political & Soc Thought,039788,"Reed,Isaac",001,10609,College & Graduate Arts & Sci,3.85,20,0,15,3,1,0,1,0,0,0,0
2023 Spring,STS,4600,Engr Ethcs Prof Responsibility,036750,"Baritaud,Catherine",009,15526,Engineering & Applied Science,3.74,16,0,6,8,1,1,0,0,0,0,0
2023 Spring,ENWR,1510,Writing and Critical Inquiry,013432,"Webb-Destefano,Kathryn",041,11893,College & Graduate Arts & Sci,3.98,18,5,12,1,0,0,0,0,0,0,0
2023 Spring,KINE,3630,Emergency Medical Care,009126,"Thompson,Xavier",001,14711,School of Education and HumanDev,3.69,19,0,8,8,2,0,0,0,1,0,0
2023 Spring,EDLF,5330,Quan Methods & Data Analysis I,009718,"Bartanen,Brendan",001,14739,School of Education and HumanDev,3.62,6,0,2,2,1,1,0,0,0,0,0
2023 Spring,MATH,1310,Calculus I,022953,"Yan,Shengkuan",100,10236,College & Graduate Arts & Sci,2.64,23,0,4,3,3,1,1,7,0,0,4
2023 Spring,HIEA,4501,Seminar in East Asian History,018308,"Reed,Bradly",001,13323,College & Graduate Arts & Sci,3.98,12,1,10,1,0,0,0,0,0,0,0
2023 Spring,CHEM,1421,Intro College Chemistry II Lab,005994,"Morkowchuk,Lisa",035,12902,College & Graduate Arts & Sci,3.90,24,15,4,4,0,0,1,0,0,0,0
2023 Spring,COMM,3420,Commercial Law II,006471,"Moore,Sherri",001,14451,McIntire School of Commerce,3.48,53,0,6,28,7,7,3,2,0,0,0
