ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10933,AAS,2224,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","Bryan Hall 330","07/13/2015 - 08/06/2015","","","","","","","","","","","","","Black Femininities and Masculinities in the US Media","",Closed,18,18,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
12479,AAS,2559,001,Seminar,"3","Ava Purkiss","MoTuWeThFr 1:00PM - 3:15PM","Cocke Hall 101","06/15/2015 - 07/10/2015","","","","","","","","","","","","","New Course in African and African American Studies","Black Health, Sport&Recreation",Open,18,20,0,"New course in the subject of African and African American Studies"
10983,AAS,3500,002,Seminar,"3","Latasha Levy","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 132","07/13/2015 - 08/06/2015","","","","","","","","","","","","","Intermediate Seminar in African-American & African Studies","Freedom Summer",Open,7,30,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
10934,AAS,3749,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","Bryan Hall 310","05/18/2015 - 06/12/2015","","","","","","","","","","","","","Food and Meaning in Africa and the Diaspora","",Open,7,18,0,"This course investigates the traditions and symbolics of food and eating in Africa and throughout the African Diaspora -- wherever people of African descent have migrated or have been forced to move. This course will help students to investigate the way the foods people eat' or don't eat' hold meaning for people within a variety of cultural contexts.Topics will include symbol, taboo, sexuality, bodies, ritual, kinship & beauty, among others."
10944,AAS,4993,003,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","05/18/2015 - 06/12/2015","","","","","","","","","","","","","Independent Study","",Open,0,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
10978,AAS,4993,004,Independent Study,"1 - 12","Maurice Apprey","TBA","TBA","07/13/2015 - 08/06/2015","","","","","","","","","","","","","Independent Study","",Open,0,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
11144,AAS,4993,005,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","07/13/2015 - 08/06/2015","","","","","","","","","","","","","Independent Study","",Open,0,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
10062,ACCT,2010,701,Lecture,"3","Gary Brooks","Tu 6:30PM - 9:30PM","Web-Based Course-No class mtgs","05/19/2015 - 08/04/2015","","","","","","","","","","","","","Introductory Accounting","",Open,10,24,0,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities."
10063,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 9:30PM","Web-Based Course-No class mtgs","05/18/2015 - 08/03/2015","","","","","","","","","","","","","Introductory Accounting II","",Open,8,24,0,"Continuation of ACCT 2010. Approximately one third of the course deals with additional financial accounting topics, emphasizing managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized.  Prerequisite: ACCT 2010."
10065,ACCT,3120,701,Lecture,"3","Nammy Lee","We 6:30PM - 10:00PM","Northern Virginia Center","05/20/2015 - 08/05/2015","","","","","","","","","","","","","Intermediate Accounting II","",Open,13,24,0,"Continuation of ACCT 3110, emphasizing accounting for the equities of a firm's investors and creditors. Covers special problem areas in financial accounting including accounting for leases, pensions, and income taxes.  Prerequisite: ACCT 3110."
10066,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 9:30PM","Web-Based Course-No class mtgs","05/19/2015 - 08/04/2015","","","","","","","","","","","","","Cost Accounting","",Open,14,24,0,"Addresses analysis of cost behavior and volume profit relationships; responsibility accounting and reporting flexible budgets; and the use of standard costs to guide and control performance.  Prerequisite: ACCT 2020."
