ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10083,GSGS,3365,1,Seminar,"3","","","","Conscious Social Change: Contemplation and Innovation for Social Change","",Open,8,30,0,"This course offers an experiential social venture incubator integrating mindfulness-based leadership and contemplative practices and social entrepreneurship tools. Students will work in teams to develop a business plan for a real or hypothetical social-purpose venture. Daily contemplative practice, interactive personal leadership work and dialogue will allow students to explore both the inner and external dimensions of becoming change leaders."
10157,HIEA,3141,001,Lecture,"3","","","","Political and Social Thought in Modern China","",Closed,20,20,0,"Studies political and social thought from the early 20th century to the present, as reflected in written sources (including fiction), art, and films."
10159,HIST,4559,1,Lecture,"3","","","","New Course in General History","Migration in Modern South Asia",Open,4,15,0,"This course provides the opportunity to offer a new topic in the subject area of general history."
10086,HIST,4591,1,Seminar,"3","","","","Topics in History","Perpetrators of Genocide",Open,14,15,0,"Topics courses are small, discussion-oriented classes available to any student with sufficient background and interest in a particular field of historical study.  Offered irregularly, they are open to majors or non-majors on an equal basis."
10026,LAW,7600,1,Lecture,"1","","","","Admiralty (SC)","",Open,10,11,0,"This short course will examine the basic substantive and procedural doctrines in federal maritime law and compare them to analogous doctrines in other areas of law. Among the topics to be covered are: jurisdiction in admiralty, carriage of goods by sea, collision, personal injury and wrongful death, salvage, and piracy."
10041,LAW,7608,1,Lecture,"1","","","","Plea Bargaining (SC)","",Open,10,11,0,"This short course will focus on plea bargaining and the guilty plea system in modern America."
10043,LAW,7610,1,Lecture,"1","","","","French Public and Private Law (SC)","",Open,11,20,0,"This short course will study the various sources of French Law, the French Civil Code, the increasing significance of case law and the impact of the European Convention of Human Rights, Towards a European Civil Code, basic principles of contracts and new directions, key notions on torts (recent trends in case law) and modern trends in family law (spouse, so-called Pacs, effects of foreign polygamy and repudiation in France, inheritance)."
10021,LAW,7624,1,Lecture,"1","","","","Virginia and the Constitution (SC)","",Open,12,16,0,"In the 400 years since its first settlement, Virginia has been intimately intertwined with the central themes of American constitutionalism - the idea of rights, the balance between national and state power, the nature of religious liberty, the problem of race and discrimination, etc. In this short course, we will consider selected persons, documents, and events which illuminate those themes."
10042,LAW,7637,1,Lecture,"2","","","","Trial Advocacy College (SC)","",Open,46,51,0,"The Trial Advocacy College is a week-long course offered each January through the offices of Virginia Continuing Legal Education (CLE). This advocacy skills, hands-on course is the most advanced advocacy training offered at the law school. Each student gets to practice every aspect of advocacy culminating in a jury trial."
10022,LAW,7645,1,Lecture,"1","","","","Baseball (SC)","",Closed,16,16,0,"This course examines the effect of various laws and law-like rules on Major League Baseball.  Suitable for non-experts and will include (optional) session aimed at bringing them up to speed."
10027,LAW,7690,1,Lecture,"1","","","","Health Care Marketplace: Competition, Regulation, and Reform (SC)","",Open,11,16,0,"This short course will examine salient features of the legal and economic framework in which we provide medical care in the United States."
