ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10012,GBUS,8510,001,Lecture,"1.5","","","","Global Business Experience","GBE: India",Open,0,30,0,"Global Business Experience is a one-week course that focuses on business issues in variety of countries outside of the United States. The courses are offered at midterm break in March. Each section offered under the Global Business Experience heading provides the opportunity for students to visit a different country and experience business practices and cultures other than those of their native countries. Both first-year students and second-year students may participate. Based on a unifying theme and a specific geographic location, each course includes structured classes and practitioner presentations as well as visits to companies, governmental agencies, and important cultural sites. Each Global Business Experience course is intended to give students a better perspective on the countries visited and, through comparison, on their country of origin. While the countries may vary from year to year, in the recent past, programs have been offered in Argentina, Bahrain, China, Czech Republic, India, Mexico, Spain, and Sweden."
10018,GBUS,8510,2,Lecture,"1.5","","","","Global Business Experience","GBE: Cuba",Open,0,40,0,"Global Business Experience is a one-week course that focuses on business issues in variety of countries outside of the United States. The courses are offered at midterm break in March. Each section offered under the Global Business Experience heading provides the opportunity for students to visit a different country and experience business practices and cultures other than those of their native countries. Both first-year students and second-year students may participate. Based on a unifying theme and a specific geographic location, each course includes structured classes and practitioner presentations as well as visits to companies, governmental agencies, and important cultural sites. Each Global Business Experience course is intended to give students a better perspective on the countries visited and, through comparison, on their country of origin. While the countries may vary from year to year, in the recent past, programs have been offered in Argentina, Bahrain, China, Czech Republic, India, Mexico, Spain, and Sweden."
10019,GBUS,8510,3,Lecture,"1.5","","","","Global Business Experience","GBE: Russia",Open,0,40,0,"Global Business Experience is a one-week course that focuses on business issues in variety of countries outside of the United States. The courses are offered at midterm break in March. Each section offered under the Global Business Experience heading provides the opportunity for students to visit a different country and experience business practices and cultures other than those of their native countries. Both first-year students and second-year students may participate. Based on a unifying theme and a specific geographic location, each course includes structured classes and practitioner presentations as well as visits to companies, governmental agencies, and important cultural sites. Each Global Business Experience course is intended to give students a better perspective on the countries visited and, through comparison, on their country of origin. While the countries may vary from year to year, in the recent past, programs have been offered in Argentina, Bahrain, China, Czech Republic, India, Mexico, Spain, and Sweden."
10053,GBUS,8515,001,Lecture,"1.5","","","","Economy in Transition-Cuba","",Open,24,30,0,"Deeper understanding of Cuba's history, business context and economy, political and social context, and culture, with the ability to compare this to their own home and other global contexts that they have experienced. Insights into economic and social transition in the case of Cuba and how to think about what this kind of transition looks like in isolated or emerging economies."
10054,GBUS,8516,001,Lecture,"1.5","","","","Adapting Products, Services and Business Models Emerging Mkts-Russia","",Open,27,30,0,"Explore how companies adapt their business models to the unique markets. What factors contribute to success, survival, and failure of multinational corporations entering and operating in this market? The Russian economy is an excellent example of an emergent market with local and international companies working in cooperation. We will explore Russian financial and investment processes, production systems and their impact on production capacity."
10055,GBUS,8517,001,Lecture,"1.5","","","","Navigating Difficult Waters: Addressing Tough Problems in Bus and Society","",Open,18,30,0,"In this course we will take a look at how business, government and NGOs address tough social and business problems in Singapore and Sri Lanka.  These two countries are a study in contrast considering their socioeconomic trajectories, yet both are grappling with compelling challenges."
10052,GBUS,8633,001,Lecture,"1.5","","","","Software Development","",Open,23,40,0,"For the Darden student who wants to increase their creative confidence on software related projects, Software Development is an experiential SY elective that delivers hands-on coding experience for the non-engineer.  Unlike online only options like codeacademy, SID offers a Darden compatible format with the hands-on assistance that students need to acquire the necessary skills in a single quarter."
10110,GDS,2559,1,Lecture,"3","","","","New Course in Global Development Studies","Critical Public Health",Open,5,35,0,"This course provides the opportunity to offer new topics in the subject of Global Development Studies."
10151,GNUR,6320,1,Lecture,"3","","","","AG-AC Seminar II: Immunology","",Closed,34,30,0,"Examines the immune system and phenomena of concern to nurses who work with immunocompromised individuals. Focuses on the critical thinking and clinical decision-making needed to work with individuals whose immune system is compromised (e.g., cancer, AIDS, transplant, and septic patients).  Prerequisite: Graduate standing or instructor permission."
10082,GSGS,2211,1,Lecture,"3","","","","Environment, Health, and Development in Africa","",Open,19,20,0,"This course explores the changing relationships between people in Africa, their environments, and global neighbors since 1900. Issues covered include imperialism, conservation, the Green Revolution, HIV/AIDS, petroleum, Chinese investments, and recent viral epidemics. Course focus is on Africa, but issues are global and comparative, and learning therefore applicable to other places."
