ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10825,AAS,2224,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","Minor Hall 130","07/11/2016 - 08/04/2016","","","","","","","","","","","","","Black Femininities and Masculinities in the US Media","",Closed,18,18,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
12228,AAS,2559,001,Seminar,"3","Cory Hunter","MoTuWeThFr 1:00PM - 3:15PM","Minor Hall 130","06/13/2016 - 07/08/2016","","","","","","","","","","","","","New Course in African and African American Studies","Black Gospel Music in America",Open,11,20,0,"New course in the subject of African and African American Studies"
12229,AAS,2559,002,Seminar,"3","Lisa Shutt","MoTuWeThFr 10:30AM - 12:45PM","Minor Hall 130","07/11/2016 - 08/04/2016","","","","","","","","","","","","","New Course in African and African American Studies","",Open,12,20,0,"New course in the subject of African and African American Studies"
10826,AAS,3749,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 10:30AM - 12:45PM","Minor Hall 130","05/16/2016 - 06/10/2016","","","","","","","","","","","","","Food and Meaning in Africa and the Diaspora","",Open,12,18,0,"This course investigates the traditions and symbolics of food and eating in Africa and throughout the African Diaspora -- wherever people of African descent have migrated or have been forced to move. This course will help students to investigate the way the foods people eat' or don't eat' hold meaning for people within a variety of cultural contexts.Topics will include symbol, taboo, sexuality, bodies, ritual, kinship & beauty, among others."
10834,AAS,4993,003,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","05/16/2016 - 06/10/2016","","","","","","","","","","","","","Independent Study","",Open,1,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
10864,AAS,4993,004,Independent Study,"1 - 12","Maurice Apprey","TBA","TBA","07/11/2016 - 08/04/2016","","","","","","","","","","","","","Independent Study","",Open,5,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
10975,AAS,4993,005,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","07/11/2016 - 08/04/2016","","","","","","","","","","","","","Independent Study","",Open,1,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
12189,ACCT,2010,701,Lecture,"3","Marshall Kasten","Mo 12:00AM - 12:01AM","Web-Based Course-No class mtgs","05/16/2016 - 08/04/2016","","","","","","","","","","","","","Introductory Accounting I","",Open,6,24,0,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities."
12190,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/16/2016 - 08/01/2016","","","","","","","","","","","","","Introductory Accounting II","",Open,4,24,0,"Continuation of ACCT 2010. Approximately one third of the course deals with additional financial accounting topics, emphasizing managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized.  Prerequisite: ACCT 2010."
12191,ACCT,3110,701,Lecture,"3","Leon Hutton","We 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/18/2016 - 08/03/2016","","","","","","","","","","","","","Intermediate Accounting I","",Open,11,24,0,"An intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and the processes through which these principles evolve.  Prerequisite: ACCT 2020."
